Datasource,Vax_dose1,Month_vax1,Followup_vax1,Age_P25,Age_P50,Age_p75,Age_mean,Age_min,Age_max
TEST,Pfizer,5,6465,56,65,70,62,20,93
TEST,Pfizer,4,4832,77,82,84,78,15,96
TEST,Moderna,6,583,37,38,46,42,20,59
TEST,Pfizer,6,4600,40,51,57,48,15,84
TEST,Pfizer,3,2046,85,88,90,85,34,96
TEST,Pfizer,1,1775,37,54,65,54,21,91
TEST,AstraZeneca,3,3700,56,75,78,65,35,79
TEST,Moderna,3,700,59,66,73,64,31,83
TEST,AstraZeneca,4,4628,70,73,75,71,27,79
TEST,Moderna,5,1565,57,58,66,59,20,79
TEST,Pfizer,2,1091,42,52,61,51,21,92
TEST,AstraZeneca,5,3012,60,63,68,61,29,78
TEST,J&J,6,467,59,60,62,61,59,66
TEST,J&J,5,436,60,63,65,63,59,68
TEST,AstraZeneca,2,2095,41,47,51,44,24,54
TEST,Moderna,4,603,54,65,70,62,40,73
TEST,AstraZeneca,6,175,52,59,62,57,48,68
TEST,J&J,4,323,74,74,75,75,71,79
TEST,Moderna,1,111,29,42,54,42,21,62
TEST,Moderna,2,200,37,46,54,45,28,61
