sex,dose,type_vax,COVID19,month,Ageband,Persontime,year
F,0,,0,November,0-4,1350,2019
F,0,,0,December,0-4,1426,2019
F,0,,0,January,0-4,1390,2020
F,0,,0,February,0-4,1293,2020
F,0,,0,March,0-4,1419,2020
F,0,,0,April,0-4,1302,2020
F,0,,0,May,0-4,1349,2020
F,0,,0,June,0-4,1276,2020
F,0,,0,July,0-4,1312,2020
F,0,,0,August,0-4,1333,2020
F,0,,0,September,0-4,1220,2020
F,0,,0,October,0-4,1245,2020
F,0,,0,November,0-4,1133,2020
F,0,,0,January,40-49,7098,2019
F,0,,0,January,50-59,7707,2019
F,0,,0,February,50-59,6938,2019
F,0,,0,March,50-59,7603,2019
F,0,,0,April,50-59,7324,2019
F,0,,0,May,50-59,7516,2019
F,0,,0,June,50-59,7163,2019
F,0,,0,July,50-59,7351,2019
F,0,,0,August,50-59,7417,2019
F,0,,0,September,50-59,7218,2019
F,0,,0,October,50-59,7454,2019
F,0,,0,November,50-59,7241,2019
F,0,,0,December,50-59,7535,2019
F,0,,0,January,50-59,7612,2020
F,0,,0,February,50-59,7154,2020
F,0,,0,March,50-59,7662,2020
F,0,,0,April,50-59,7397,2020
F,0,,0,May,50-59,7589,2020
F,0,,0,June,50-59,7244,2020
F,0,,0,July,50-59,7500,2020
F,0,,0,August,50-59,7531,2020
F,0,,0,September,50-59,7204,2020
F,0,,0,October,50-59,7407,2020
F,0,,0,November,50-59,7172,2020
F,0,,0,December,50-59,7324,2020
F,0,,0,January,50-59,6910,2021
F,0,,1,January,50-59,180,2021
F,0,,1,February,50-59,256,2021
F,0,,1,March,50-59,279,2021
F,0,,1,April,50-59,263,2021
F,0,,1,May,50-59,167,2021
F,1,pfizer,1,May,50-59,71,2021
F,1,pfizer,1,June,50-59,153,2021
F,2,pfizer,1,June,50-59,61,2021
F,0,,0,February,40-49,6387,2019
F,0,,0,March,40-49,7092,2019
F,0,,0,April,40-49,6856,2019
F,0,,0,May,40-49,7081,2019
F,0,,0,June,40-49,6761,2019
F,0,,0,July,40-49,6947,2019
F,0,,0,August,40-49,6971,2019
F,0,,0,September,40-49,6749,2019
F,0,,0,October,40-49,7026,2019
F,0,,0,November,40-49,6794,2019
F,0,,0,December,40-49,6977,2019
F,0,,0,January,40-49,7023,2020
F,0,,0,February,50-59,5907,2021
F,0,,0,March,50-59,6075,2021
F,0,,0,April,50-59,5672,2021
F,0,,0,May,50-59,5049,2021
F,1,pfizer,0,May,50-59,674,2021
F,1,pfizer,0,June,50-59,1938,2021
M,0,,0,January,70-79,4082,2019
M,0,,0,February,70-79,3706,2019
M,0,,0,March,70-79,4084,2019
M,0,,0,April,70-79,3917,2019
M,0,,0,May,70-79,4034,2019
M,0,,0,June,70-79,3907,2019
M,0,,0,July,70-79,4052,2019
M,0,,0,August,70-79,4118,2019
M,0,,0,September,70-79,3914,2019
M,0,,0,October,70-79,4149,2019
M,0,,0,November,70-79,4062,2019
M,0,,0,December,70-79,4286,2019
M,0,,0,January,70-79,4401,2020
M,0,,0,February,70-79,4120,2020
M,0,,0,March,70-79,4416,2020
M,0,,0,April,70-79,4382,2020
M,0,,0,May,70-79,4512,2020
M,0,,0,June,70-79,4288,2020
M,0,,0,July,70-79,4342,2020
M,0,,0,August,70-79,4297,2020
M,0,,0,September,70-79,4021,2020
M,0,,0,October,70-79,4130,2020
M,0,,0,November,70-79,3999,2020
M,0,,0,December,70-79,3951,2020
M,0,,0,January,70-79,3849,2021
M,0,,0,February,70-79,3488,2021
M,0,,0,March,70-79,3724,2021
M,0,,0,April,70-79,2212,2021
M,1,pfizer,0,April,70-79,107,2021
M,1,pfizer,0,May,70-79,552,2021
M,0,,0,January,30-39,4107,2019
M,0,,0,February,30-39,3662,2019
M,0,,0,March,30-39,4052,2019
M,0,,0,April,30-39,3984,2019
M,0,,0,May,30-39,4168,2019
M,0,,0,June,30-39,4070,2019
M,0,,0,July,30-39,4198,2019
M,0,,0,August,30-39,4261,2019
M,0,,0,September,30-39,4217,2019
M,0,,0,October,30-39,4378,2019
M,0,,0,November,30-39,4121,2019
M,0,,0,December,30-39,4214,2019
M,0,,0,January,30-39,4136,2020
M,0,,0,February,30-39,3843,2020
M,0,,0,March,30-39,4127,2020
M,0,,0,April,30-39,3985,2020
M,0,,0,May,30-39,4152,2020
M,0,,0,June,30-39,4015,2020
M,0,,0,July,30-39,4122,2020
M,0,,0,August,30-39,4007,2020
M,0,,0,September,30-39,3824,2020
M,0,,0,October,30-39,3874,2020
M,0,,0,November,30-39,3712,2020
M,0,,0,December,30-39,3711,2020
M,0,,0,January,30-39,3607,2021
M,0,,0,February,30-39,3227,2021
M,0,,0,March,30-39,3496,2021
M,0,,0,April,30-39,3327,2021
M,0,,0,May,30-39,3274,2021
M,0,,0,June,30-39,2767,2021
M,1,moderna,0,June,30-39,147,2021
M,0,,0,January,40-49,7277,2019
M,0,,0,February,40-49,6457,2019
M,0,,0,March,40-49,7103,2019
M,0,,0,April,40-49,6751,2019
M,0,,0,May,40-49,6880,2019
M,0,,0,June,40-49,6642,2019
M,0,,0,July,40-49,6790,2019
M,0,,0,August,40-49,6600,2019
M,0,,0,September,40-49,6314,2019
M,0,,0,October,40-49,6491,2019
M,0,,0,November,40-49,6354,2019
M,0,,0,December,40-49,6646,2019
M,0,,0,January,40-49,6554,2020
M,0,,0,February,40-49,6019,2020
M,0,,0,March,40-49,6476,2020
M,0,,0,April,40-49,6346,2020
M,0,,0,May,40-49,6515,2020
M,0,,0,June,40-49,6269,2020
M,0,,0,July,40-49,6523,2020
M,0,,0,August,40-49,6503,2020
