sex,month,Ageband,Persontime,Persontime_covid_severity_1_plus,Persontime_covid_severity_2_plus,Persontime_covid_severity_3_plus,Persontime_covid_severity_4_plus,covid_severity_1_plus_b,covid_severity_2_plus_b,covid_severity_3_plus_b,covid_severity_4_plus_b
0,2020-10,12-17,1,0,1,1,1,1,0,0,0
0,2020-11,12-17,30,0,30,30,30,0,0,0,0
0,2020-11,5-11,25,0,25,25,25,1,0,0,0
0,2020-12,12-17,31,2,31,31,31,0,0,0,0
0,2020-12,5-11,38,0,38,38,38,1,0,0,0
0,2021-01,12-17,57,31,57,57,57,1,0,0,0
0,2021-01,5-11,62,27,62,62,62,0,0,0,0
0,2021-02,12-17,56,28,56,56,56,0,0,0,0
0,2021-02,5-11,56,34,56,56,56,0,0,0,0
0,2021-03,12-17,62,56,62,62,62,0,0,0,0
0,2021-03,5-11,62,62,62,62,62,0,0,0,0
0,2021-04,12-17,60,60,60,60,60,0,0,0,0
0,2021-04,5-11,60,60,60,60,60,0,0,0,0
0,2021-05,12-17,62,62,62,62,62,0,0,0,0
0,2021-05,5-11,62,62,62,62,62,0,0,0,0
0,2021-06,12-17,56,56,56,56,56,0,0,0,0
0,2021-06,5-11,60,60,60,60,60,0,0,0,0
1,2020-12,12-17,35,0,31,31,35,2,1,1,0
1,2021-01,12-17,62,2,31,31,62,0,0,0,0
1,2021-02,12-17,56,31,31,31,56,0,0,0,0
1,2021-03,12-17,62,62,62,62,62,0,0,0,0
1,2021-04,12-17,60,60,60,60,60,0,0,0,0
1,2021-05,12-17,62,62,62,62,62,0,0,0,0
1,2021-06,12-17,60,60,60,60,60,0,0,0,0
