sex,ageband_at_date_vax_1,type_vax,Dose,history_covid,year,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b
0,50-59,Pfizer,1,0,2021,1844,1844,1844,1844,1844,1844,1844,1844,1844,1844,1844,1844,1844,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,Pfizer,2,0,2021,1838,1838,1838,1838,1838,1838,1838,1838,1838,1838,1838,1838,1838,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,Pfizer,1,1,2021,118,118,118,118,118,118,118,118,118,118,118,118,118,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,Pfizer,1,0,2021,991,991,991,991,991,991,991,991,991,991,991,991,991,0,0,0,0,0,0,0,0,0,0,0,0
1,30-39,Moderna,1,0,2021,114,114,114,114,114,114,114,114,114,114,114,114,114,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,Pfizer,1,0,2021,1321,1321,1321,1321,1321,1321,1321,1293,1321,1321,1321,1293,1321,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,Pfizer,1,0,2021,2555,2555,2555,2555,2555,2555,2555,2555,2555,2555,2555,2555,2555,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,Pfizer,2,0,2021,6986,6986,6986,6986,6986,6986,6986,6986,6986,6986,6986,6986,6986,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,Pfizer,2,0,2021,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,Pfizer,1,0,2021,813,813,813,813,813,813,813,813,813,813,813,813,813,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,AstraZeneca,1,0,2021,990,990,990,990,990,990,990,990,990,990,990,990,990,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,AstraZeneca,2,0,2021,171,171,171,171,171,171,171,171,171,171,171,171,171,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,Moderna,1,0,2021,388,388,388,388,388,388,388,388,388,388,388,388,388,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,Moderna,2,0,2021,578,578,578,578,578,578,578,578,578,578,578,578,578,0,0,0,0,0,0,0,0,0,0,0,0
1,30-39,Moderna,2,0,2021,106,106,106,106,106,106,106,106,106,106,106,106,106,0,0,0,0,0,0,0,0,0,0,0,0
1,40-49,Pfizer,1,0,2021,741,741,741,741,741,741,741,741,741,741,741,741,741,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,Pfizer,1,0,2021,1751,1751,1751,1751,1751,1751,1751,1751,1751,1751,1751,1751,1751,0,0,0,0,0,0,0,0,0,0,0,0
