sex,ageband_at_study_entry,month,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b
0,0-4,2020-01,1319,1319,1319,1319,1319,1319,1319,1319,1319,1319,1319,1319,1319,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-02,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-03,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-04,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-05,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-06,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-07,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-08,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-09,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-10,1195,1195,1195,1195,1195,1195,1195,1195,1195,1195,1195,1195,1195,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-11,1072,1072,1072,1072,1072,1072,1072,1072,1072,1072,1072,1072,1072,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-12,1085,1085,1085,1085,1085,1085,1085,1085,1085,1085,1085,1085,1085,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2021-01,1085,1085,1085,1085,1085,1085,1085,1085,1085,1085,1085,1085,1085,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2021-02,980,980,980,980,980,980,980,980,980,980,980,980,980,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2021-03,1085,1085,1085,1085,1085,1085,1085,1085,1085,1085,1085,1085,1085,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2021-04,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2021-05,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2021-06,930,930,930,930,930,930,930,930,930,930,930,930,930,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2020-01,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2020-02,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2020-03,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2020-04,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2020-05,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2020-06,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2020-07,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2020-08,1178,1178,1178,1178,1178,1178,1178,1178,1178,1178,1178,1178,1178,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2020-09,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2020-10,1178,1178,1178,1178,1178,1178,1178,1178,1178,1178,1178,1178,1178,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2020-11,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2020-12,1178,1178,1178,1178,1178,1178,1178,1178,1178,1178,1178,1178,1178,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2021-01,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2021-02,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2021-03,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2021-04,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2021-05,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2021-06,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020-01,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020-02,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020-03,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020-04,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020-05,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020-06,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020-07,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020-08,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020-09,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020-10,1848,1848,1848,1848,1848,1848,1848,1848,1848,1848,1848,1848,1848,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020-11,1731,1731,1731,1731,1731,1731,1731,1731,1731,1731,1731,1731,1731,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020-12,1748,1748,1748,1748,1748,1748,1748,1748,1748,1748,1748,1748,1748,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2021-01,1702,1702,1702,1702,1702,1702,1702,1702,1702,1702,1702,1702,1702,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2021-02,1506,1506,1506,1506,1506,1506,1506,1506,1506,1506,1506,1506,1506,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2021-03,1643,1643,1643,1643,1643,1643,1643,1643,1643,1643,1643,1643,1643,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2021-04,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2021-05,1643,1643,1643,1643,1643,1643,1643,1643,1643,1643,1643,1643,1643,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2021-06,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,0,0,0,0,0,0,0,0,0,0,0,0
1,5-11,2020-01,2705,2705,2705,2705,2705,2705,2705,2705,2705,2705,2705,2705,2705,0,0,0,0,0,0,0,0,0,0,0,0
1,5-11,2020-02,2512,2512,2512,2512,2512,2512,2512,2512,2512,2512,2512,2512,2512,0,0,0,0,0,0,0,0,0,0,0,0
1,5-11,2020-03,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,0,0,0,0,0,0,0,0,0,0,0,0
1,5-11,2020-04,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,0,0,0,0,0,0,0,0,0,0,0,0
1,5-11,2020-05,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,0,0,0,0,0,0,0,0,0,0,0,0
1,5-11,2020-06,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,0,0,0,0,0,0,0,0,0,0,0,0
1,5-11,2020-07,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,0,0,0,0,0,0,0,0,0,0,0,0
1,5-11,2020-08,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,0,0,0,0,0,0,0,0,0,0,0,0
1,5-11,2020-09,2563,2563,2563,2563,2563,2563,2563,2563,2563,2563,2563,2563,2563,0,0,0,0,0,0,0,0,0,0,0,0
1,5-11,2020-10,2604,2604,2604,2604,2604,2604,2604,2604,2604,2604,2604,2604,2604,0,0,0,0,0,0,0,0,0,0,0,0
1,5-11,2020-11,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,0,0,0,0,0,0,0,0,0,0,0,0
1,5-11,2020-12,2469,2469,2469,2469,2469,2469,2469,2469,2469,2469,2469,2469,2469,0,0,0,0,0,0,0,0,0,0,0,0
1,5-11,2021-01,2418,2418,2418,2418,2418,2418,2418,2418,2418,2418,2418,2418,2418,0,0,0,0,0,0,0,0,0,0,0,0
