sex,Dose,Ageband,type_vax,Period,COVID19,CV,COVCANCER,COVCOPD,COVHIV,COVCKD,COVDIAB,COVOBES,COVSICKLE,IMMUNOSUPPR,any_risk_factors,year,Persontime,Persontime_ADEM_broad,Persontime_ACUASEARTHRITIS_broad,Persontime_DM1_narrow,Persontime_DM1_broad,Persontime_HF_narrow,Persontime_HF_broad,Persontime_CAD_narrow,Persontime_CAD_broad,Persontime_ARR_narrow,Persontime_ARR_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_broad,Persontime_PERICARD_narrow,Persontime_PERICARD_broad,Persontime_AKI_narrow,Persontime_AKI_broad,Persontime_MENINGOENC_narrow,Persontime_MENINGOENC_broad,Persontime_ARD_narrow,Persontime_ARD_broad,Persontime_CHILBLAIN_narrow,Persontime_CHILBLAIN_broad,Persontime_MIS_broad,Persontime_Hemostroke_narrow,Persontime_Hemostroke_broad,Persontime_Ischstroke_narrow,Persontime_Ischstroke_broad,Persontime_VTE_narrow,Persontime_VTE_broad,Persontime_CONTRDIVERTIC,Persontime_CONTRHYPERT,Persontime_MIS_KD_narrow,Persontime_MIS_KD_broad,Persontime_DEATH,Persontime_ArterialNoTP,Persontime_VTENoTP,Persontime_ArterialVTENoTP,ADEM_broad_b,ACUASEARTHRITIS_broad_b,DM1_narrow_b,DM1_broad_b,HF_narrow_b,HF_broad_b,CAD_narrow_b,CAD_broad_b,ARR_narrow_b,ARR_broad_b,MYOCARD_narrow_b,MYOCARD_broad_b,PERICARD_narrow_b,PERICARD_broad_b,AKI_narrow_b,AKI_broad_b,MENINGOENC_narrow_b,MENINGOENC_broad_b,ARD_narrow_b,ARD_broad_b,CHILBLAIN_narrow_b,CHILBLAIN_broad_b,MIS_broad_b,Hemostroke_narrow_b,Hemostroke_broad_b,Ischstroke_narrow_b,Ischstroke_broad_b,VTE_narrow_b,VTE_broad_b,CONTRDIVERTIC_b,CONTRHYPERT_b,MIS_KD_narrow_b,MIS_KD_broad_b,DEATH_b,ArterialNoTP_b,VTENoTP_b,ArterialVTENoTP_b,Persontime_GENCONV_narrow,Persontime_GENCONV_broad,Persontime_ANAPHYL_broad,GENCONV_narrow_b,GENCONV_broad_b,ANAPHYL_broad_b
0,0,0-4,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,9192,9192,9192,9192,9192,9192,9192,9192,9192,9192,9192,9192,9192,9192,9192,9192,9192,9192,9192,9192,9192,9192,9192,9192,9192,9192,9192,9192,9192,9192,9192,9192,9192,9192,9192,9192,9192,9192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9192,9192,9192,0,0,0
0,0,0-4,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,6566,6566,6566,6566,6566,6566,6566,6566,6566,6566,6566,6566,6566,6566,6566,6566,6566,6566,6566,6566,6566,6566,6566,6566,6566,6566,6566,6566,6566,6566,6566,6566,6566,6566,6566,6566,6566,6566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6566,6566,6566,0,0,0
0,0,12-17,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19512,19512,19512,0,0,0
0,0,12-17,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,17083,17083,17083,17083,17083,17083,17083,17083,17083,17083,17083,17083,17083,17083,17083,17083,17083,17083,17083,17083,17083,17083,17083,17083,17083,17083,17083,17083,17083,17083,17083,17083,17083,17083,17083,17083,17083,17083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17083,17083,17083,0,0,0
0,0,12-17,0,0,1,0,0,0,0,0,0,0,0,0,0,2020,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,62,62,0,0,0
0,0,18-24,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,23093,23093,23093,23093,23093,23093,23093,23093,23093,23093,23093,23093,23093,23093,23093,23093,23093,23093,23093,23093,23093,23093,23093,23093,23093,23093,23093,23093,23093,23093,23093,23093,23093,23093,23093,23093,23093,23093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23093,23093,23093,0,0,0
0,0,18-24,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,20509,20509,20509,20509,20509,20509,20509,20509,20509,20180,20180,20509,20509,20509,20509,20509,20509,20509,20509,20509,20509,20509,20509,20509,20509,20509,20509,20509,20509,20509,20509,20509,20509,20509,20509,20509,20509,20509,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20509,20509,20509,0,0,0
0,0,25-29,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,23633,23633,23633,23633,23633,23633,23633,23633,23633,23633,23633,23633,23633,23633,23633,23633,23633,23633,23633,23633,23633,23633,23633,23633,23633,23633,23633,23633,23633,23633,23633,23633,23633,23633,23633,23633,23633,23633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23633,23633,23633,0,0,0
0,0,25-29,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,21966,21966,21966,21966,21966,21966,21966,21966,21966,21966,21966,21966,21966,21966,21966,21966,21966,21966,21966,21966,21966,21966,21966,21966,21966,21966,21966,21966,21966,21966,21966,21858,21966,21966,21966,21966,21966,21966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21966,21966,21966,0,0,0
0,0,30-39,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,47605,47605,47605,47605,47605,47605,47605,47605,47605,47605,47605,47605,47605,47605,47605,47605,47605,47605,47605,47605,47605,47605,47605,47605,47605,47605,47605,47605,47605,47605,47605,47605,47605,47605,47605,47605,47605,47605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47605,47605,47605,0,0,0
0,0,30-39,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,42166,42166,42166,42166,42166,42166,42166,42166,42166,42166,42166,42166,42166,42166,42166,42166,42166,42166,42166,42166,42166,42166,42166,42166,42166,42166,42166,42166,42166,42166,42166,41976,42166,42166,42166,42166,42166,42166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,42166,42166,42166,0,0,0
0,0,30-39,0,0,1,0,0,0,0,0,0,0,0,0,0,2020,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,42,0,0,0
0,0,40-49,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,68999,68999,68999,68999,68609,68999,68999,68999,68999,68999,68999,68999,68999,68999,68999,68999,68841,68999,68999,68999,68999,68999,68999,68999,68999,68999,68999,68999,68999,68999,68999,66552,68999,68999,68999,68999,68999,68999,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,68969,68969,68969,1,1,1
0,0,40-49,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,62111,62111,62111,62111,61725,62111,62111,62111,61817,62111,62111,62111,62111,62111,62111,62111,61963,62111,62111,62111,62111,62111,62111,62111,62111,62111,62111,62111,62111,62111,62111,59272,62111,62111,62111,62111,62111,62111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,62081,62081,62111,1,1,0
0,0,40-49,0,0,0,0,0,0,0,0,1,0,0,0,1,2019,365,365,365,365,0,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,365,365,0,0,0
0,0,40-49,0,0,0,0,0,0,0,0,1,0,0,0,1,2020,366,366,366,366,0,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,366,366,0,0,0
0,0,40-49,0,0,0,0,1,0,0,0,0,0,0,0,1,2019,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,365,365,0,0,0
