"",Parameters,IT-ARS,IT-ARS
"","",N,%
AstraZeneca dose 1,Persons,198,17.2%
AstraZeneca dose 2,Persons,84,42.4%
Other vaccine dose 2,Persons,2,1%
Amongst persons with AstraZeneca dose 2 distance,Min,70,""
Amongst persons with AstraZeneca dose 2 distance,P25,82,""
Amongst persons with AstraZeneca dose 2 distance,P50,84,""
Amongst persons with AstraZeneca dose 2 distance,P75,86,""
Amongst persons with AstraZeneca dose 2 distance,Max,89,""
Janssen dose 1,Persons,35,3%
Janssen dose 2,Persons,0,0%
Other vaccine dose 2,Persons,0,0%
Moderna dose 1,Persons,125,10.9%
Moderna dose 2,Persons,63,50.4%
Other vaccine dose 2,Persons,0,0%
Amongst persons with Moderna dose 2 distance,Min,24,""
Amongst persons with Moderna dose 2 distance,P25,27,""
Amongst persons with Moderna dose 2 distance,P50,29,""
Amongst persons with Moderna dose 2 distance,P75,31,""
Amongst persons with Moderna dose 2 distance,Max,44,""
Pfizer dose 1,Persons,794,68.9%
Pfizer dose 2,Persons,359,45.2%
Other vaccine dose 2,Persons,1,0.1%
Amongst persons with Pfizer dose 2 distance,Min,16,""
Amongst persons with Pfizer dose 2 distance,P25,20,""
Amongst persons with Pfizer dose 2 distance,P50,21,""
Amongst persons with Pfizer dose 2 distance,P75,23,""
Amongst persons with Pfizer dose 2 distance,Max,61,""
