 ,Parameters,Test,perc_Test
"","",N,%
Study population,N,2583,""
Person years of follow-up,PY,5773,""
Age in years,Min,1,""
Age in years,P25,30,""
Age in years,P50,50,""
Age in years,Mean,48,""
Age in years,P75,66,""
Age in years,Max,96,""
Age in categories,0-4,63,2.4%
Age in categories,5-11,156,6%
Age in categories,12-17,133,5.1%
Age in categories,18-24,151,5.8%
Age in categories,25-29,120,4.6%
Age in categories,30-39,252,9.8%
Age in categories,40-49,412,16%
Age in categories,50-59,413,16%
Age in categories,60-69,360,13.9%
Age in categories,70-79,268,10.4%
Age in categories,80+,255,9.9%
Age in categories,60+,883,34.2%
Person years across age categories,0-4,139,2.4%
Person years across age categories,5-11,360,6.2%
Person years across age categories,12-17,283,4.9%
Person years across age categories,18-24,342,5.9%
Person years across age categories,25-29,270,4.7%
Person years across age categories,30-39,573,9.9%
Person years across age categories,40-49,929,16.1%
Person years across age categories,50-59,943,16.3%
Person years across age categories,60-69,817,14.2%
Person years across age categories,70-79,584,10.1%
Person years across age categories,80+,532,9.2%
Person years across age categories,60+,1934,33.5%
Person years across sex,Male,2984,51.7%
Person years across sex,Female,2789,48.3%
At risk population at January 1-2020,Cardiovascular disease,0,0%
At risk population at January 1-2020,Cancer,11,0.4%
At risk population at January 1-2020,Chronic lung disease,3,0.1%
At risk population at January 1-2020,HIV,0,0%
At risk population at January 1-2020,Chronic kidney disease,1,0%
At risk population at January 1-2020,Diabetes,4,0.2%
At risk population at January 1-2020,Severe obesity,0,0%
At risk population at January 1-2020,Sickle cell disease,0,0%
At risk population at January 1-2020,Use of immunosuppressants,1,0%
At risk population at January 1-2020,Any risk factors,20,0.8%
