 ,Parameters,Pfizer,perc_Pfizer,Moderna,perc_Moderna,AstraZeneca,perc_AstraZeneca,Janssen,perc_Janssen
"","",N,%,N,%,N,%,N,%
Study population,N,841,68.9%,139,11.4%,205,16.8%,35,2.9%
Person-years of follow-up between first and second dose,PY,60,52.6%,12,10.5%,39,34.2%,3,2.6%
Month of first vaccination,"",1,"",1,"",2,"",4,""
2021 January,N,48,5.7%,4,2.9%,0,0%,0,0%
2021 February,N,28,3.3%,3,2.2%,24,11.7%,0,0%
2021 March,N,80,9.5%,21,15.1%,46,22.4%,0,0%
2021 April,N,177,21%,22,15.8%,60,29.3%,5,14.3%
2021 May,N,204,24.3%,50,36%,67,32.7%,10,28.6%
2021 June,N,304,36.1%,39,28.1%,8,3.9%,20,57.1%
Age in years,Min,15,"",20,"",24,"",59,""
Age in years,P25,50,"",43,"",54,"",60,""
Age in years,P50,62,"",57,"",64,"",62,""
Age in years,Mean,62,"",54,"",63,"",64,""
Age in years,P75,80,"",65,"",73,"",65,""
Age in years,Max,96,"",83,"",79,"",79,""
Age in categories,12-17,10,1.2%,0,0%,0,0%,0,0%
Age in categories,18-24,34,4%,6,4.3%,1,0.5%,0,0%
Age in categories,25-29,23,2.7%,5,3.6%,3,1.5%,0,0%
Age in categories,30-39,54,6.4%,21,15.1%,5,2.4%,0,0%
Age in categories,40-49,81,9.6%,16,11.5%,28,13.7%,0,0%
Age in categories,50-59,181,21.5%,40,28.8%,28,13.7%,8,22.9%
Age in categories,60-69,144,17.1%,31,22.3%,52,25.4%,22,62.9%
Age in categories,70-79,100,11.9%,17,12.2%,88,42.9%,5,14.3%
Age in categories,80+,214,25.4%,3,2.2%,0,0%,0,0%
Age in categories,60+,458,54.4%,51,36.7%,140,68.3%,27,77.2%
Person years across age categories,12-17,0,0%,0,0%,0,0%,0,0%
Person years across age categories,18-24,1,1.7%,0,0%,0,0%,0,0%
Person years across age categories,25-29,2,3.4%,1,9.1%,0,0%,0,0%
Person years across age categories,30-39,3,5.1%,1,9.1%,1,2.6%,0,0%
Person years across age categories,40-49,5,8.5%,1,9.1%,5,13.2%,0,0%
Person years across age categories,50-59,12,20.3%,4,36.4%,6,15.8%,1,25%
Person years across age categories,60-69,12,20.3%,3,27.3%,7,18.4%,2,50%
Person years across age categories,70-79,7,11.9%,1,9.1%,19,50%,1,25%
Person years across age categories,80+,17,28.8%,0,0%,0,0%,0,0%
Person years across age categories,60+,36,61%,4,36.4%,26,68.4%,3,75%
Person years across sex,Female,34,56.7%,6,54.5%,21,55.3%,2,66.7%
Person years across sex,Male,26,43.3%,5,45.5%,17,44.7%,1,33.3%
At risk population at date of vaccination,Cardiovascular disease,431,51.2%,63,45.3%,90,43.9%,15,42.9%
At risk population at date of vaccination,Cancer,44,5.2%,19,13.7%,6,2.9%,1,2.9%
At risk population at date of vaccination,Chronic lung disease,73,8.7%,14,10.1%,13,6.3%,2,5.7%
At risk population at date of vaccination,HIV,1,0.1%,3,2.2%,0,0%,0,0%
At risk population at date of vaccination,Chronic kidney disease,7,0.8%,3,2.2%,0,0%,0,0%
At risk population at date of vaccination,Diabetes,94,11.2%,16,11.5%,7,3.4%,1,2.9%
At risk population at date of vaccination,Severe obesity,6,0.7%,0,0%,0,0%,0,0%
At risk population at date of vaccination,Sickle cell disease,1,0.1%,0,0%,0,0%,0,0%
At risk population at date of vaccination,Use of immunosuppressants,114,13.6%,18,12.9%,23,11.2%,6,17.1%
At risk population at date of vaccination,Any risk factors,501,59.6%,75,54%,110,53.7%,18,51.4%
