 ,Parameters,Test,perc_Test
"","",N,%
Study population,N,6,""
Person years of follow-up,PY,3,""
Month of first diagnosis,2020-10,1,16.7
Month of first diagnosis,2020-11,1,16.7
Month of first diagnosis,2020-12,3,50
Month of first diagnosis,2021-01,1,16.7
Age in years,Min,10,""
Age in years,P25,11,""
Age in years,P50,14,""
Age in years,Mean,13,""
Age in years,P75,15,""
Age in years,Max,17,""
Age in categories,0-4,0,0%
Age in categories,5-11,2,33.3%
Age in categories,12-17,4,66.7%
Age in categories,18-24,0,0%
Age in categories,25-29,0,0%
Age in categories,30-39,0,0%
Age in categories,40-49,0,0%
Age in categories,50-59,0,0%
Age in categories,60-69,0,0%
Age in categories,70-79,0,0%
Age in categories,80+,0,0%
Person years across age categories,0-4,2,66.7%
Person years across age categories,5-11,1,33.3%
At risk population at first covid diagnosis,Cardiovascular disease,0,""
At risk population at first covid diagnosis,Cancer,0,""
At risk population at first covid diagnosis,Chronic lung disease,0,""
At risk population at first covid diagnosis,HIV,0,""
At risk population at first covid diagnosis,Chronic kidney disease,0,""
At risk population at first covid diagnosis,Diabetes,0,""
At risk population at first covid diagnosis,Severe obesity,0,""
At risk population at first covid diagnosis,Sickle cell disease,0,""
At risk population at first covid diagnosis,Use of immunosuppressants,0,""
At risk population at first covid diagnosis,Any risk factors,0,""
