 ,Parameters,Italy_ARS,perc_Italy_ARS
"","",N,%
Study population,N,379,""
Person years of follow-up,PY,490,""
Age in years,Min,0,""
Age in years,P25,5,""
Age in years,P50,9,""
Age in years,Mean,9,""
Age in years,P75,14,""
Age in years,Max,17,""
Age in categories,0-4,86,22.7%
Age in categories,5-11,148,39.1%
Age in categories,12-17,145,38.3%
Person years across age categories,Followup_0-4,114,23.3%
Person years across age categories,Followup_5-11,210,42.9%
Person years across age categories,Followup_12-17,166,33.9%
Person years across sex,Male,216,44.1%
Person years across sex,Female,274,55.9%
At risk population at January 1-2020,Cardiovascular disease,3,0.8%
At risk population at January 1-2020,Cancer,1,0.3%
At risk population at January 1-2020,Chronic lung disease,26,6.9%
At risk population at January 1-2020,HIV,0,0%
At risk population at January 1-2020,Chronic kidney disease,1,0.3%
At risk population at January 1-2020,Diabetes,0,0%
At risk population at January 1-2020,Severe obesity,0,0%
At risk population at January 1-2020,Sickle cell disease,0,0%
At risk population at January 1-2020,Use of immunosuppressants,11,2.9%
At risk population at January 1-2020,Any risk factors,36,9.5%
