DAP,AESI,Sex,Age in 2020,Person years,IR narrow,LL narrow,UL narrow
TEST,MIS_KD_narrow,Female,5-11,0,0,0,317026.64
TEST,MIS_KD_narrow,Female,12-17,0,0,0,324665.84
TEST,MIS_KD_narrow,Male,12-17,0,0,0,339386.2
TEST,MIS_KD_narrow,Female,18-24,0,0,0,744399.57
TEST,MIS_KD_narrow,Male,18-24,0,0,0,161167.85
TEST,MIS_KD_narrow,Female,25-29,0,0,0,304145.2
TEST,MIS_KD_narrow,Male,25-29,0,0,0,293543.19
TEST,MIS_KD_narrow,Female,30-39,0,0,0,175666.65
TEST,MIS_KD_narrow,Male,30-39,0,0,0,112939.08
TEST,MIS_KD_narrow,Female,40-49,0,0,0,133138.66
TEST,MIS_KD_narrow,Male,40-49,0,0,0,175666.65
TEST,MIS_KD_narrow,Female,50-59,0,0,0,81757.48
TEST,MIS_KD_narrow,Male,50-59,0,0,0,115356.44
TEST,MIS_KD_narrow,Female,60-69,0,0,0,128811.02
TEST,MIS_KD_narrow,Male,60-69,0,0,0,426380.77
TEST,MIS_KD_narrow,Female,70-79,0,0,0,1141833.24
TEST,MIS_KD_narrow,Male,70-79,0,0,0,650900.11
TEST,MIS_KD_narrow,Female,80+,0,0,0,425035.72
TEST,MIS_KD_narrow,Male,80+,0,0,0,6416015.34
TEST,MYOCARD_narrow,Female,5-11,0,0,0,317026.64
TEST,MYOCARD_narrow,Female,12-17,0,0,0,324665.84
TEST,MYOCARD_narrow,Male,12-17,0,0,0,339386.2
TEST,MYOCARD_narrow,Female,18-24,0,0,0,744399.57
TEST,MYOCARD_narrow,Male,18-24,0,0,0,161167.85
TEST,MYOCARD_narrow,Female,25-29,0,0,0,304145.2
TEST,MYOCARD_narrow,Male,25-29,0,0,0,293543.19
TEST,MYOCARD_narrow,Female,30-39,0,0,0,175666.65
TEST,MYOCARD_narrow,Male,30-39,0,0,0,112939.08
TEST,MYOCARD_narrow,Female,40-49,0,0,0,133138.66
TEST,MYOCARD_narrow,Male,40-49,0,0,0,175666.65
TEST,MYOCARD_narrow,Female,50-59,0,0,0,81757.48
TEST,MYOCARD_narrow,Male,50-59,0,0,0,115356.44
TEST,MYOCARD_narrow,Female,60-69,0,0,0,128811.02
TEST,MYOCARD_narrow,Male,60-69,1,149692.62,3789.89,834033.91
TEST,MYOCARD_narrow,Female,70-79,0,0,0,1141833.24
TEST,MYOCARD_narrow,Male,70-79,0,0,0,650900.11
TEST,MYOCARD_narrow,Female,80+,0,0,0,425035.72
TEST,MYOCARD_narrow,Male,80+,0,0,0,6416015.34
TEST,PERICARD_narrow,Female,5-11,0,0,0,317026.64
TEST,PERICARD_narrow,Female,12-17,0,0,0,324665.84
TEST,PERICARD_narrow,Male,12-17,0,0,0,339386.2
TEST,PERICARD_narrow,Female,18-24,0,0,0,744399.57
TEST,PERICARD_narrow,Male,18-24,0,0,0,161167.85
TEST,PERICARD_narrow,Female,25-29,0,0,0,304145.2
TEST,PERICARD_narrow,Male,25-29,0,0,0,293543.19
TEST,PERICARD_narrow,Female,30-39,0,0,0,175666.65
TEST,PERICARD_narrow,Male,30-39,0,0,0,112939.08
TEST,PERICARD_narrow,Female,40-49,0,0,0,133138.66
TEST,PERICARD_narrow,Male,40-49,0,0,0,175666.65
TEST,PERICARD_narrow,Female,50-59,0,0,0,81757.48
TEST,PERICARD_narrow,Male,50-59,0,0,0,115356.44
TEST,PERICARD_narrow,Female,60-69,0,0,0,128811.02
TEST,PERICARD_narrow,Male,60-69,1,149692.62,3789.89,834033.91
TEST,PERICARD_narrow,Female,70-79,0,0,0,1141833.24
TEST,PERICARD_narrow,Male,70-79,0,0,0,650900.11
TEST,PERICARD_narrow,Female,80+,0,0,0,425035.72
TEST,PERICARD_narrow,Male,80+,0,0,0,6416015.34
