DAP,AESI,Sex,Age in 2020,history_covid,Person years,IR narrow,LL narrow,UL narrow
TEST,MIS_KD_narrow,Male,18-24,0,0,0,0,962402.3
TEST,MIS_KD_narrow,Female,25-29,0,0,0,0,615234.35
TEST,MIS_KD_narrow,Female,30-39,0,0,0,0,262643.9
TEST,MIS_KD_narrow,Male,30-39,0,0,0,0,1981416.5
TEST,MIS_KD_narrow,Female,40-49,0,0,0,0,115455.29
TEST,MIS_KD_narrow,Female,40-49,1,0,0,0,1060915.92
TEST,MIS_KD_narrow,Male,40-49,0,0,0,0,106679.59
TEST,MIS_KD_narrow,Female,50-59,0,0,0,0,113990.12
TEST,MIS_KD_narrow,Male,50-59,0,0,0,0,97635.02
TEST,MIS_KD_narrow,Male,50-59,1,0,0,0,1213840.74
TEST,MIS_KD_narrow,Female,60-69,0,0,0,0,94353.17
TEST,MIS_KD_narrow,Female,60-69,1,0,0,0,1604003.83
TEST,MIS_KD_narrow,Male,60-69,0,0,0,0,106679.59
TEST,MIS_KD_narrow,Female,70-79,0,0,0,0,32798.52
TEST,MIS_KD_narrow,Male,70-79,0,0,0,0,47127.08
TEST,MIS_KD_narrow,Male,70-79,1,0,0,0,1566701.42
TEST,MYOCARD_narrow,Male,18-24,0,0,0,0,962402.3
TEST,MYOCARD_narrow,Female,25-29,0,0,0,0,615234.35
TEST,MYOCARD_narrow,Female,30-39,0,0,0,0,262643.9
TEST,MYOCARD_narrow,Male,30-39,0,0,0,0,1981416.5
TEST,MYOCARD_narrow,Female,40-49,0,0,0,0,115455.29
TEST,MYOCARD_narrow,Female,40-49,1,0,0,0,1060915.92
TEST,MYOCARD_narrow,Male,40-49,0,0,0,0,106679.59
TEST,MYOCARD_narrow,Female,50-59,0,0,0,0,113990.12
TEST,MYOCARD_narrow,Male,50-59,0,0,0,0,97635.02
TEST,MYOCARD_narrow,Male,50-59,1,0,0,0,1213840.74
TEST,MYOCARD_narrow,Female,60-69,0,0,0,0,94353.17
TEST,MYOCARD_narrow,Female,60-69,1,0,0,0,1604003.83
TEST,MYOCARD_narrow,Male,60-69,0,0,0,0,106679.59
TEST,MYOCARD_narrow,Female,70-79,0,0,0,0,32798.52
TEST,MYOCARD_narrow,Male,70-79,0,0,0,0,47127.08
TEST,MYOCARD_narrow,Male,70-79,1,0,0,0,1566701.42
TEST,PERICARD_narrow,Male,18-24,0,0,0,0,962402.3
TEST,PERICARD_narrow,Female,25-29,0,0,0,0,615234.35
TEST,PERICARD_narrow,Female,30-39,0,0,0,0,262643.9
TEST,PERICARD_narrow,Male,30-39,0,0,0,0,1981416.5
TEST,PERICARD_narrow,Female,40-49,0,0,0,0,115455.29
TEST,PERICARD_narrow,Female,40-49,1,0,0,0,1060915.92
TEST,PERICARD_narrow,Male,40-49,0,0,0,0,106679.59
TEST,PERICARD_narrow,Female,50-59,0,0,0,0,113990.12
TEST,PERICARD_narrow,Male,50-59,0,0,0,0,97635.02
TEST,PERICARD_narrow,Male,50-59,1,0,0,0,1213840.74
TEST,PERICARD_narrow,Female,60-69,0,0,0,0,94353.17
TEST,PERICARD_narrow,Female,60-69,1,0,0,0,1604003.83
TEST,PERICARD_narrow,Male,60-69,0,0,0,0,106679.59
TEST,PERICARD_narrow,Female,70-79,0,0,0,0,32798.52
TEST,PERICARD_narrow,Male,70-79,0,0,0,0,47127.08
TEST,PERICARD_narrow,Male,70-79,1,0,0,0,1566701.42
