DAP,AESI,Sex,Age in 2020,history_covid,Person years,IR narrow,LL narrow,UL narrow
TEST,MIS_KD_narrow,Female,50-59,0,0,0,0,1077890.58
TEST,MIS_KD_narrow,Male,50-59,0,0,0,0,1020729.71
TEST,MIS_KD_narrow,Female,60-69,0,0,0,0,352712.88
TEST,MIS_KD_narrow,Female,60-69,1,0,0,0,3742675.61
TEST,MIS_KD_narrow,Male,60-69,0,0,0,0,590948.78
TEST,MIS_KD_narrow,Female,70-79,0,0,0,0,683940.72
TEST,MIS_KD_narrow,Male,70-79,0,0,0,0,1069335.89
TEST,MYOCARD_narrow,Female,50-59,0,0,0,0,1077890.58
TEST,MYOCARD_narrow,Male,50-59,0,0,0,0,1020729.71
TEST,MYOCARD_narrow,Female,60-69,0,0,0,0,352712.88
TEST,MYOCARD_narrow,Female,60-69,1,0,0,0,3742675.61
TEST,MYOCARD_narrow,Male,60-69,0,0,0,0,590948.78
TEST,MYOCARD_narrow,Female,70-79,0,0,0,0,683940.72
TEST,MYOCARD_narrow,Male,70-79,0,0,0,0,1069335.89
TEST,PERICARD_narrow,Female,50-59,0,0,0,0,1077890.58
TEST,PERICARD_narrow,Male,50-59,0,0,0,0,1020729.71
TEST,PERICARD_narrow,Female,60-69,0,0,0,0,352712.88
TEST,PERICARD_narrow,Female,60-69,1,0,0,0,3742675.61
TEST,PERICARD_narrow,Male,60-69,0,0,0,0,590948.78
TEST,PERICARD_narrow,Female,70-79,0,0,0,0,683940.72
TEST,PERICARD_narrow,Male,70-79,0,0,0,0,1069335.89
