DAP,AESI,Sex,Age in 2020,history_covid,Person years,IR narrow,LL narrow,UL narrow
TEST,MIS_KD_narrow,Female,18-24,0,0,0,0,1705523.06
TEST,MIS_KD_narrow,Male,18-24,0,0,0,0,598828.1
TEST,MIS_KD_narrow,Female,25-29,0,0,0,0,660472.17
TEST,MIS_KD_narrow,Male,25-29,0,0,0,0,1727388.74
TEST,MIS_KD_narrow,Female,30-39,0,0,0,0,444674.33
TEST,MIS_KD_narrow,Male,30-39,0,0,0,0,612437.83
TEST,MIS_KD_narrow,Female,40-49,1,0,0,0,1320944.33
TEST,MIS_KD_narrow,Female,40-49,0,0,0,0,534667.94
TEST,MIS_KD_narrow,Male,40-49,0,0,0,0,265752.11
TEST,MIS_KD_narrow,Female,50-59,0,0,0,0,148715.59
TEST,MIS_KD_narrow,Male,50-59,0,0,0,0,123611.3
TEST,MIS_KD_narrow,Female,60-69,0,0,0,0,123838.53
TEST,MIS_KD_narrow,Male,60-69,0,0,0,0,120623.39
TEST,MIS_KD_narrow,Female,70-79,0,0,0,0,230712.88
TEST,MIS_KD_narrow,Male,70-79,0,0,0,0,206334.34
TEST,MIS_KD_narrow,Female,80+,0,0,0,0,463011.42
TEST,MYOCARD_narrow,Female,18-24,0,0,0,0,1705523.06
TEST,MYOCARD_narrow,Male,18-24,0,0,0,0,598828.1
TEST,MYOCARD_narrow,Female,25-29,0,0,0,0,660472.17
TEST,MYOCARD_narrow,Male,25-29,0,0,0,0,1727388.74
TEST,MYOCARD_narrow,Female,30-39,0,0,0,0,444674.33
TEST,MYOCARD_narrow,Male,30-39,0,0,0,0,612437.83
TEST,MYOCARD_narrow,Female,40-49,1,0,0,0,1320944.33
TEST,MYOCARD_narrow,Female,40-49,0,0,0,0,534667.94
TEST,MYOCARD_narrow,Male,40-49,0,0,0,0,265752.11
TEST,MYOCARD_narrow,Female,50-59,0,0,0,0,148715.59
TEST,MYOCARD_narrow,Male,50-59,0,0,0,0,126394.3
TEST,MYOCARD_narrow,Female,60-69,0,0,0,0,123838.53
TEST,MYOCARD_narrow,Male,60-69,0,0,0,0,120623.39
TEST,MYOCARD_narrow,Female,70-79,0,0,0,0,230712.88
TEST,MYOCARD_narrow,Male,70-79,0,0,0,0,206334.34
TEST,MYOCARD_narrow,Female,80+,0,0,0,0,463011.42
TEST,PERICARD_narrow,Female,18-24,0,0,0,0,1705523.06
TEST,PERICARD_narrow,Male,18-24,0,0,0,0,598828.1
TEST,PERICARD_narrow,Female,25-29,0,0,0,0,660472.17
TEST,PERICARD_narrow,Male,25-29,0,0,0,0,1727388.74
TEST,PERICARD_narrow,Female,30-39,0,0,0,0,444674.33
TEST,PERICARD_narrow,Male,30-39,0,0,0,0,612437.83
TEST,PERICARD_narrow,Female,40-49,1,0,0,0,1320944.33
TEST,PERICARD_narrow,Female,40-49,0,0,0,0,534667.94
TEST,PERICARD_narrow,Male,40-49,0,0,0,0,265752.11
TEST,PERICARD_narrow,Female,50-59,0,0,0,0,148715.59
TEST,PERICARD_narrow,Male,50-59,0,0,0,0,126394.3
TEST,PERICARD_narrow,Female,60-69,0,0,0,0,123838.53
TEST,PERICARD_narrow,Male,60-69,0,0,0,0,120623.39
TEST,PERICARD_narrow,Female,70-79,0,0,0,0,230712.88
TEST,PERICARD_narrow,Male,70-79,0,0,0,0,206334.34
TEST,PERICARD_narrow,Female,80+,0,0,0,0,463011.42
