DAP,AESI,Sex,Age in 2020,history_covid,Person years,IR narrow,LL narrow,UL narrow
TEST,MIS_KD_narrow,Female,12-17,0,0,0,0,3962833
TEST,MIS_KD_narrow,Female,12-17,1,0,0,0,33684080.52
TEST,MIS_KD_narrow,Male,12-17,0,0,0,0,1513891.26
TEST,MIS_KD_narrow,Female,18-24,0,0,0,0,149873.55
TEST,MIS_KD_narrow,Male,18-24,0,0,0,0,500878.52
TEST,MIS_KD_narrow,Male,18-24,1,0,0,0,7925666
TEST,MIS_KD_narrow,Female,25-29,0,0,0,0,262643.9
TEST,MIS_KD_narrow,Female,25-29,1,0,0,0,1684204.03
TEST,MIS_KD_narrow,Male,25-29,0,0,0,0,234732.27
TEST,MIS_KD_narrow,Male,25-29,1,0,0,0,2694726.44
TEST,MIS_KD_narrow,Female,30-39,0,0,0,0,88409.66
TEST,MIS_KD_narrow,Female,30-39,1,0,0,0,10364332.47
TEST,MIS_KD_narrow,Male,30-39,0,0,0,0,141827.71
TEST,MIS_KD_narrow,Male,30-39,1,0,0,0,774346.68
TEST,MIS_KD_narrow,Female,40-49,0,0,0,0,61467.3
TEST,MIS_KD_narrow,Female,40-49,1,0,0,0,874911.18
TEST,MIS_KD_narrow,Male,40-49,0,0,0,0,129803.78
TEST,MIS_KD_narrow,Male,40-49,1,0,0,0,935668.9
TEST,MIS_KD_narrow,Female,50-59,0,0,0,0,29795.74
TEST,MIS_KD_narrow,Female,50-59,1,0,0,0,1095417.25
TEST,MIS_KD_narrow,Male,50-59,0,0,0,0,72516.86
TEST,MIS_KD_narrow,Male,50-59,1,0,0,0,14970702.45
TEST,MIS_KD_narrow,Female,60-69,0,0,0,0,35078.45
TEST,MIS_KD_narrow,Female,60-69,1,0,0,0,1480618.92
TEST,MIS_KD_narrow,Male,60-69,0,0,0,0,41216.37
TEST,MIS_KD_narrow,Male,60-69,1,0,0,0,1531094.57
TEST,MIS_KD_narrow,Female,70-79,0,0,0,0,48085.77
TEST,MIS_KD_narrow,Female,70-79,1,0,0,0,1924804.6
TEST,MIS_KD_narrow,Male,70-79,0,0,0,0,55492.72
TEST,MIS_KD_narrow,Female,80+,0,0,0,0,12843.04
TEST,MIS_KD_narrow,Female,80+,1,0,0,0,852761.53
TEST,MIS_KD_narrow,Male,80+,0,0,0,0,16379.32
TEST,MYOCARD_narrow,Female,12-17,0,0,0,0,3962833
TEST,MYOCARD_narrow,Female,12-17,1,0,0,0,33684080.52
TEST,MYOCARD_narrow,Male,12-17,0,0,0,0,1513891.26
TEST,MYOCARD_narrow,Female,18-24,0,0,0,0,149873.55
TEST,MYOCARD_narrow,Male,18-24,0,0,0,0,500878.52
TEST,MYOCARD_narrow,Male,18-24,1,0,0,0,7925666
TEST,MYOCARD_narrow,Female,25-29,0,0,0,0,262643.9
TEST,MYOCARD_narrow,Female,25-29,1,0,0,0,1684204.03
TEST,MYOCARD_narrow,Male,25-29,0,0,0,0,234732.27
TEST,MYOCARD_narrow,Male,25-29,1,0,0,0,2694726.44
TEST,MYOCARD_narrow,Female,30-39,0,0,0,0,88409.66
TEST,MYOCARD_narrow,Female,30-39,1,0,0,0,10364332.47
TEST,MYOCARD_narrow,Male,30-39,0,0,0,0,141827.71
TEST,MYOCARD_narrow,Male,30-39,1,0,0,0,774346.68
TEST,MYOCARD_narrow,Female,40-49,0,0,0,0,61467.3
TEST,MYOCARD_narrow,Female,40-49,1,0,0,0,874911.18
TEST,MYOCARD_narrow,Male,40-49,0,0,0,0,137066.45
TEST,MYOCARD_narrow,Male,40-49,1,0,0,0,935668.9
TEST,MYOCARD_narrow,Female,50-59,0,0,0,0,29795.74
TEST,MYOCARD_narrow,Female,50-59,1,0,0,0,1095417.25
TEST,MYOCARD_narrow,Male,50-59,0,0,0,0,72516.86
TEST,MYOCARD_narrow,Male,50-59,1,0,0,0,14970702.45
TEST,MYOCARD_narrow,Female,60-69,0,0,0,0,35078.45
TEST,MYOCARD_narrow,Female,60-69,1,0,0,0,1480618.92
TEST,MYOCARD_narrow,Male,60-69,0,0,0,0,41216.37
TEST,MYOCARD_narrow,Male,60-69,1,0,0,0,1952700.32
TEST,MYOCARD_narrow,Female,70-79,0,0,0,0,48085.77
TEST,MYOCARD_narrow,Female,70-79,1,0,0,0,1924804.6
TEST,MYOCARD_narrow,Male,70-79,0,0,0,0,55492.72
TEST,MYOCARD_narrow,Female,80+,0,0,0,0,12843.04
TEST,MYOCARD_narrow,Female,80+,1,0,0,0,852761.53
TEST,MYOCARD_narrow,Male,80+,0,0,0,0,16379.32
TEST,PERICARD_narrow,Female,12-17,0,0,0,0,3962833
TEST,PERICARD_narrow,Female,12-17,1,0,0,0,33684080.52
TEST,PERICARD_narrow,Male,12-17,0,0,0,0,1513891.26
TEST,PERICARD_narrow,Female,18-24,0,0,0,0,149873.55
