DAP,AESI,Sex,Age in 2020,Person years,IR narrow,LL narrow,UL narrow
TEST,MIS_KD_narrow,Female,0-4,0,0,0,6483.63
TEST,MIS_KD_narrow,Male,0-4,0,0,0,6453.2
TEST,MIS_KD_narrow,Female,12-17,0,0,0,4411.37
TEST,MIS_KD_narrow,Male,12-17,0,0,0,3578.75
TEST,MIS_KD_narrow,Female,18-24,0,0,0,4306.6
TEST,MIS_KD_narrow,Male,18-24,0,0,0,3717.38
TEST,MIS_KD_narrow,Female,25-29,0,0,0,3728.28
TEST,MIS_KD_narrow,Male,25-29,0,0,0,4617.74
TEST,MIS_KD_narrow,Female,30-39,0,0,0,1975.81
TEST,MIS_KD_narrow,Male,30-39,0,0,0,2379.91
TEST,MIS_KD_narrow,Female,40-49,0,0,0,1437.16
TEST,MIS_KD_narrow,Male,40-49,0,0,0,1518.58
TEST,MIS_KD_narrow,Female,5-11,0,0,0,4285.37
TEST,MIS_KD_narrow,Male,5-11,0,0,0,2980.83
TEST,MIS_KD_narrow,Female,50-59,0,0,0,1307.73
TEST,MIS_KD_narrow,Male,50-59,0,0,0,1361.43
TEST,MIS_KD_narrow,Female,60-69,0,0,0,1524.84
TEST,MIS_KD_narrow,Male,60-69,0,0,0,1797.3
TEST,MIS_KD_narrow,Female,70-79,0,0,0,2125.48
TEST,MIS_KD_narrow,Male,70-79,0,0,0,2379.91
TEST,MIS_KD_narrow,Female,80+,0,0,0,2183.41
TEST,MIS_KD_narrow,Male,80+,0,0,0,3082.44
TEST,MYOCARD_narrow,Female,0-4,0,0,0,6483.63
TEST,MYOCARD_narrow,Male,0-4,0,0,0,6453.2
TEST,MYOCARD_narrow,Female,12-17,0,0,0,4411.37
TEST,MYOCARD_narrow,Male,12-17,0,0,0,3578.75
TEST,MYOCARD_narrow,Female,18-24,0,0,0,4306.6
TEST,MYOCARD_narrow,Male,18-24,0,0,0,3717.38
TEST,MYOCARD_narrow,Female,25-29,0,0,0,3728.28
TEST,MYOCARD_narrow,Male,25-29,0,0,0,4617.74
TEST,MYOCARD_narrow,Female,30-39,0,0,0,1975.81
TEST,MYOCARD_narrow,Male,30-39,1,649.31,16.44,3617.73
TEST,MYOCARD_narrow,Female,40-49,0,0,0,1437.16
TEST,MYOCARD_narrow,Male,40-49,1,414.31,10.49,2308.4
TEST,MYOCARD_narrow,Female,5-11,0,0,0,4285.37
TEST,MYOCARD_narrow,Male,5-11,0,0,0,2980.83
TEST,MYOCARD_narrow,Female,50-59,0,0,0,1307.73
TEST,MYOCARD_narrow,Male,50-59,0,0,0,1368.66
TEST,MYOCARD_narrow,Female,60-69,0,0,0,1524.84
TEST,MYOCARD_narrow,Male,60-69,0,0,0,1797.3
TEST,MYOCARD_narrow,Female,70-79,0,0,0,2125.48
TEST,MYOCARD_narrow,Male,70-79,0,0,0,2379.91
TEST,MYOCARD_narrow,Female,80+,0,0,0,2183.41
TEST,MYOCARD_narrow,Male,80+,0,0,0,3082.44
TEST,PERICARD_narrow,Female,0-4,0,0,0,6483.63
TEST,PERICARD_narrow,Male,0-4,0,0,0,6453.2
TEST,PERICARD_narrow,Female,12-17,0,0,0,4411.37
TEST,PERICARD_narrow,Male,12-17,0,0,0,3578.75
TEST,PERICARD_narrow,Female,18-24,0,0,0,4306.6
TEST,PERICARD_narrow,Male,18-24,0,0,0,3717.38
TEST,PERICARD_narrow,Female,25-29,0,0,0,3728.28
TEST,PERICARD_narrow,Male,25-29,0,0,0,4617.74
TEST,PERICARD_narrow,Female,30-39,0,0,0,1975.81
TEST,PERICARD_narrow,Male,30-39,1,649.31,16.44,3617.73
TEST,PERICARD_narrow,Female,40-49,0,0,0,1437.16
TEST,PERICARD_narrow,Male,40-49,1,414.31,10.49,2308.4
TEST,PERICARD_narrow,Female,5-11,0,0,0,4285.37
TEST,PERICARD_narrow,Male,5-11,0,0,0,2980.83
TEST,PERICARD_narrow,Female,50-59,0,0,0,1307.73
TEST,PERICARD_narrow,Male,50-59,0,0,0,1368.66
TEST,PERICARD_narrow,Female,60-69,0,0,0,1524.84
TEST,PERICARD_narrow,Male,60-69,0,0,0,1797.3
TEST,PERICARD_narrow,Female,70-79,0,0,0,2125.48
TEST,PERICARD_narrow,Male,70-79,0,0,0,2379.91
TEST,PERICARD_narrow,Female,80+,0,0,0,2183.41
TEST,PERICARD_narrow,Male,80+,0,0,0,3082.44
