 ,Parameters,Pfizer,perc_Pfizer
"","",N,%
Study population,N,10,100%
Person-years of follow-up,PY,0,NaN%
Month of first vaccination,"",4,""
2021 April,N,1,10%
2021 June,N,9,90%
Age in years,Min,15,""
Age in years,P25,15,""
Age in years,P50,16,""
Age in years,Mean,16,""
Age in years,P75,17,""
Age in years,Max,17,""
Age in categories,12-17,10,100%
Person years across age categories,12-17,0,NaN%
Person years across sex,Female,0,NaN%
Person years across sex,Male,0,NaN%
COVID-19 diagnosis/test in past year,"N, %",1,10%
At risk population at date of vaccination,Cardiovascular disease,3,30%
At risk population at date of vaccination,Cancer,1,10%
At risk population at date of vaccination,Chronic lung disease,2,20%
At risk population at date of vaccination,HIV,0,0%
At risk population at date of vaccination,Chronic kidney disease,0,0%
At risk population at date of vaccination,Diabetes,0,0%
At risk population at date of vaccination,Severe obesity,0,0%
At risk population at date of vaccination,Sickle cell disease,0,0%
At risk population at date of vaccination,Use of immunosuppressants,1,10%
At risk population at date of vaccination,Any risk factors,4,40%
