DAP,AESI/NCO,Coding system,Code,Meaning,Count
TEST_ER_HOSP,B_COAGDIS_AESI,ICD9CM,325,hospitalisation_primary,2
TEST_ER_HOSP,B_COAGDIS_AESI,ICD9CM,43411,hospitalisation_primary,4
TEST_ER_HOSP,B_COAGDIS_AESI,ICD9CM,434,exemption,3
TEST_ER_HOSP,B_COAGDIS_AESI,ICD9CM,43491,emergency_room_diagnosis,8
TEST_ER_HOSP,B_COAGDIS_AESI,ICD9CM,43401,hospitalisation_primary,3
TEST_ER_HOSP,B_COAGDIS_AESI,ICD9CM,452,hospitalisation_secondary,2
TEST_ER_HOSP,B_COAGDIS_AESI,ICD9CM,45111,hospitalisation_secondary,2
TEST_ER_HOSP,B_COAGDIS_AESI,ICD9CM,43491,hospitalisation_primary,1
TEST_ER_HOSP,B_COAGDIS_AESI,ICD9CM,41050,hospitalisation_primary,1
TEST_ER_HOSP,B_COAGDIS_AESI,ICD9CM,431,hospitalisation_primary,6
TEST_ER_HOSP,B_COAGDIS_AESI,ICD9CM,41001,hospitalisation_primary,3
TEST_ER_HOSP,B_COAGDIS_AESI,ICD9CM,4538,hospitalisation_secondary,2
TEST_ER_HOSP,B_COAGDIS_AESI,ICD9CM,41090,hospitalisation_secondary,2
TEST_ER_HOSP,B_COAGDIS_AESI,ICD9CM,431,emergency_room_diagnosis,4
TEST_ER_HOSP,B_COAGDIS_AESI,ICD9CM,45342,hospitalisation_secondary,2
TEST_ER_HOSP,B_COAGDIS_AESI,ICD9CM,45119,hospitalisation_secondary,1
TEST_ER_HOSP,B_COAGDIS_AESI,ICD9CM,45183,emergency_room_diagnosis,1
TEST_ER_HOSP,B_COAGDIS_AESI,ICD9CM,41091,emergency_room_diagnosis,6
TEST_ER_HOSP,B_COAGDIS_AESI,ICD9CM,41041,hospitalisation_primary,2
TEST_ER_HOSP,B_COAGDIS_AESI,ICD9CM,41071,hospitalisation_primary,5
TEST_ER_HOSP,B_COAGDIS_AESI,ICD9CM,4510,emergency_room_diagnosis,2
TEST_ER_HOSP,B_COAGDIS_AESI,ICD9CM,43401,hospitalisation_secondary,1
TEST_ER_HOSP,B_COAGDIS_AESI,ICD9CM,41071,emergency_room_diagnosis,7
TEST_ER_HOSP,B_COAGDIS_AESI,ICD9CM,41010,hospitalisation_secondary,1
TEST_ER_HOSP,B_COAGDIS_AESI,ICD9CM,431,hospitalisation_secondary,1
TEST_ER_HOSP,B_COAGDIS_AESI,ICD9CM,41031,hospitalisation_primary,1
TEST_ER_HOSP,B_COAGDIS_AESI,ICD9CM,41021,hospitalisation_primary,2
TEST_ER_HOSP,B_COAGDIS_AESI,ICD9CM,43381,hospitalisation_secondary,1
TEST_ER_HOSP,B_COAGDIS_AESI,ICD9CM,453,exemption,2
TEST_ER_HOSP,B_COAGDIS_AESI,ICD9CM,43400,hospitalisation_primary,1
TEST_ER_HOSP,B_TTS_AESI,ICD9CM,325,hospitalisation_primary,4
TEST_ER_HOSP,B_TTS_AESI,ICD9CM,434,exemption,3
TEST_ER_HOSP,B_TTS_AESI,ICD9CM,43411,hospitalisation_primary,4
TEST_ER_HOSP,B_TTS_AESI,ICD9CM,43401,hospitalisation_primary,4
TEST_ER_HOSP,B_TTS_AESI,ICD9CM,43491,emergency_room_diagnosis,8
TEST_ER_HOSP,B_TTS_AESI,ICD9CM,452,hospitalisation_secondary,4
TEST_ER_HOSP,B_TTS_AESI,ICD9CM,45111,hospitalisation_secondary,2
TEST_ER_HOSP,B_TTS_AESI,ICD9CM,43491,hospitalisation_primary,2
TEST_ER_HOSP,B_TTS_AESI,ICD9CM,41050,hospitalisation_primary,1
TEST_ER_HOSP,B_TTS_AESI,ICD9CM,41001,hospitalisation_primary,3
TEST_ER_HOSP,B_TTS_AESI,ICD9CM,4538,hospitalisation_secondary,4
TEST_ER_HOSP,B_TTS_AESI,ICD9CM,41090,hospitalisation_secondary,4
TEST_ER_HOSP,B_TTS_AESI,ICD9CM,45119,hospitalisation_secondary,1
TEST_ER_HOSP,B_TTS_AESI,ICD9CM,45342,hospitalisation_secondary,4
TEST_ER_HOSP,B_TTS_AESI,ICD9CM,45183,emergency_room_diagnosis,1
TEST_ER_HOSP,B_TTS_AESI,ICD9CM,41041,hospitalisation_primary,2
