"","**Group**","**B_COAGDIS_AESI**","**counts**","**persontime**","**IR**","**lb**","**ub**"
"1","2019/2020 before COVID-19 infection","Total (all ages/gender)","31","2101892","538.69","366.02","764.63"
"2",NA,"Gender specific",NA,NA,NA,NA,NA
"3",NA,"F","17","1073802","578.25","336.85","925.83"
"4",NA,"M","14","1028090","497.38","271.92","834.52"
"5",NA,"Age specific (years)",NA,NA,NA,NA,NA
"6",NA,"0-4","0","66037","0.00","0.00","2040.32"
"7",NA,"5-11","0","130124","0.00","0.00","1035.45"
"8",NA,"12-17","0","115900","0.00","0.00","1162.52"
"9",NA,"18-24","0","124645","0.00","0.00","1080.96"
"10",NA,"25-29","0","111074","0.00","0.00","1213.03"
"11",NA,"30-39","1","208907","174.84","4.43","974.14"
"12",NA,"40-49","1","320930","113.81","2.88","634.11"
"13",NA,"50-59","2","341643","213.82","25.89","772.39"
"14",NA,"60-69","6","278266","787.56","289.02","1714.18"
"15",NA,"70-79","14","210492","2429.31","1328.13","4075.97"
"16",NA,"80+","7","193874","1318.77","530.21","2717.17"
"17","2019/2020 after COVID-19 infection before vaccination","Total (all ages/gender)","0.00","3176","0.00","0.00","42423.28"
"18",NA,"Gender specific",NA,NA,NA,NA,NA
"19",NA,"F","0","2124","0.00","0.00","63435.18"
"20",NA,"M","0","1052","0.00","0.00","128076.35"
"21",NA,"Age specific (years)",NA,NA,NA,NA,NA
"22",NA,"5-11","0","102","0.00","0.00","1320944.33"
"23",NA,"12-17","0","97","0.00","0.00","1389034.25"
"24",NA,"18-24","0","333","0.00","0.00","404613.58"
"25",NA,"25-29","0","254","0.00","0.00","530457.96"
"26",NA,"30-39","0","557","0.00","0.00","241896.45"
"27",NA,"40-49","0","455","0.00","0.00","296123.78"
"28",NA,"50-59","0","716","0.00","0.00","188179.22"
"29",NA,"60-69","0","261","0.00","0.00","516231.12"
"30",NA,"70-79","0","119","0.00","0.00","1132238.00"
"31",NA,"80+","0","282","0.00","0.00","477788.38"
