"","**Group**","**V_THROMBOSISARTERIALALGOR_AESI**","**counts**","**persontime**","**IR**","**lb**","**ub**"
"1","2019/2020 before COVID-19 infection","Total (all ages/gender)","32","2101215","556.25","380.47","785.26"
"2",NA,"Gender specific",NA,NA,NA,NA,NA
"3",NA,"F","20","1073064","680.76","415.83","1051.38"
"4",NA,"M","12","1028151","426.30","220.28","744.66"
"5",NA,"Age specific (years)",NA,NA,NA,NA,NA
"6",NA,"0-4","0","66037","0.00","0.00","2040.32"
"7",NA,"5-11","0","130124","0.00","0.00","1035.45"
"8",NA,"12-17","0","115900","0.00","0.00","1162.52"
"9",NA,"18-24","0","124645","0.00","0.00","1080.96"
"10",NA,"25-29","0","111074","0.00","0.00","1213.03"
"11",NA,"30-39","0","209055","0.00","0.00","644.50"
"12",NA,"40-49","1","321155","113.73","2.88","633.66"
"13",NA,"50-59","2","341643","213.82","25.89","772.39"
"14",NA,"60-69","3","278829","392.98","81.04","1148.46"
"15",NA,"70-79","15","209877","2610.46","1461.05","4305.55"
"16",NA,"80+","11","192876","2083.07","1039.86","3727.19"
"17","2019/2020 after COVID-19 infection before vaccination","Total (all ages/gender)","0.00","3190","0.00","0.00","42237.09"
"18",NA,"Gender specific",NA,NA,NA,NA,NA
"19",NA,"F","0","2124","0.00","0.00","63435.18"
"20",NA,"M","0","1066","0.00","0.00","126394.30"
"21",NA,"Age specific (years)",NA,NA,NA,NA,NA
"22",NA,"5-11","0","102","0.00","0.00","1320944.33"
"23",NA,"12-17","0","97","0.00","0.00","1389034.25"
"24",NA,"18-24","0","333","0.00","0.00","404613.58"
"25",NA,"25-29","0","254","0.00","0.00","530457.96"
"26",NA,"30-39","0","557","0.00","0.00","241896.45"
"27",NA,"40-49","0","455","0.00","0.00","296123.78"
"28",NA,"50-59","0","716","0.00","0.00","188179.22"
"29",NA,"60-69","0","261","0.00","0.00","516231.12"
"30",NA,"70-79","0","133","0.00","0.00","1013055.05"
"31",NA,"80+","0","282","0.00","0.00","477788.38"
