"","**Group**","**V_VTEALGORITHM_AESI**","**counts**","**persontime**","**IR**","**lb**","**ub**"
"1","2019/2020 before COVID-19 infection","Total (all ages/gender)","245","2021469","4426.79","3889.79","5017.21"
"2",NA,"Gender specific",NA,NA,NA,NA,NA
"3",NA,"F","138","1027214","4906.91","4122.41","5797.26"
"4",NA,"M","107","994255","3930.76","3221.35","4749.92"
"5",NA,"Age specific (years)",NA,NA,NA,NA,NA
"6",NA,"0-4","0","66037","0.00","0.00","2040.32"
"7",NA,"5-11","0","130124","0.00","0.00","1035.45"
"8",NA,"12-17","6","113721","1927.08","707.21","4194.45"
"9",NA,"18-24","4","122965","1188.14","323.73","3042.12"
"10",NA,"25-29","5","109432","1668.84","541.87","3894.53"
"11",NA,"30-39","8","206861","1412.54","609.84","2783.27"
"12",NA,"40-49","25","313153","2915.91","1887.02","4304.45"
"13",NA,"50-59","36","330132","3982.95","2789.61","5514.08"
"14",NA,"60-69","45","262541","6260.45","4566.42","8376.98"
"15",NA,"70-79","52","193918","9794.35","7314.89","12843.98"
"16",NA,"80+","64","172585","13544.63","10431.02","17296.19"
"17","2019/2020 after COVID-19 infection before vaccination","Total (all ages/gender)","1.0","2785","13114.90","332.04","73071.55"
"18",NA,"Gender specific",NA,NA,NA,NA,NA
"19",NA,"F","1","1754","20823.83","527.21","116022.96"
"20",NA,"M","0","1031","0.00","0.00","130685.08"
"21",NA,"Age specific (years)",NA,NA,NA,NA,NA
"22",NA,"5-11","0","102","0.00","0.00","1320944.33"
"23",NA,"12-17","0","97","0.00","0.00","1389034.25"
"24",NA,"18-24","0","333","0.00","0.00","404613.58"
"25",NA,"25-29","0","254","0.00","0.00","530457.96"
"26",NA,"30-39","0","557","0.00","0.00","241896.45"
"27",NA,"40-49","0","455","0.00","0.00","296123.78"
"28",NA,"50-59","0","558","0.00","0.00","241462.94"
"29",NA,"60-69","1","31","1178225.81","29830.09","6564654.03"
"30",NA,"70-79","0","116","0.00","0.00","1161520.02"
"31",NA,"80+","0","282","0.00","0.00","477788.38"
