"","**Group**","**G_UTI_COV**","**counts**","**persontime**","**IR**","**lb**","**ub**"
"1","2019/2020 before COVID-19 infection","Total (all ages/gender)","20","2101788","347.56","212.30","536.78"
"2",NA,"Gender specific",NA,NA,NA,NA,NA
"3",NA,"F","10","1073926","340.11","163.09","625.47"
"4",NA,"M","10","1027862","355.35","170.40","653.50"
"5",NA,"Age specific (years)",NA,NA,NA,NA,NA
"6",NA,"0-4","1","65400","558.49","14.14","3111.69"
"7",NA,"5-11","1","129723","281.56","7.13","1568.76"
"8",NA,"12-17","0","115900","0.00","0.00","1162.52"
"9",NA,"18-24","0","124645","0.00","0.00","1080.96"
"10",NA,"25-29","2","110330","662.10","80.18","2391.75"
"11",NA,"30-39","0","208556","0.00","0.00","646.04"
"12",NA,"40-49","2","319668","228.52","27.67","825.49"
"13",NA,"50-59","0","342442","0.00","0.00","393.46"
"14",NA,"60-69","4","277875","525.78","143.26","1346.20"
"15",NA,"70-79","3","212716","515.12","106.23","1505.41"
"16",NA,"80+","7","194533","1314.30","528.42","2707.96"
"17","2019/2020 after COVID-19 infection before vaccination","Total (all ages/gender)","0.00","3194","0.00","0.00","42184.20"
"18",NA,"Gender specific",NA,NA,NA,NA,NA
"19",NA,"F","0","2107","0.00","0.00","63947.00"
"20",NA,"M","0","1087","0.00","0.00","123952.46"
"21",NA,"Age specific (years)",NA,NA,NA,NA,NA
"22",NA,"5-11","0","102","0.00","0.00","1320944.33"
"23",NA,"12-17","0","97","0.00","0.00","1389034.25"
"24",NA,"18-24","0","333","0.00","0.00","404613.58"
"25",NA,"25-29","0","254","0.00","0.00","530457.96"
"26",NA,"30-39","0","557","0.00","0.00","241896.45"
"27",NA,"40-49","0","455","0.00","0.00","296123.78"
"28",NA,"50-59","0","716","0.00","0.00","188179.22"
"29",NA,"60-69","0","261","0.00","0.00","516231.12"
"30",NA,"70-79","0","116","0.00","0.00","1161520.02"
"31",NA,"80+","0","303","0.00","0.00","444674.33"
