"","**Group**","**I_INFLUENZA_COV**","**counts**","**persontime**","**IR**","**lb**","**ub**"
"1","2019/2020 before COVID-19 infection","Total (all ages/gender)","13","2105362","225.53","120.09","385.67"
"2",NA,"Gender specific",NA,NA,NA,NA,NA
"3",NA,"F","4","1077604","135.58","36.94","347.13"
"4",NA,"M","9","1027758","319.85","146.25","607.17"
"5",NA,"Age specific (years)",NA,NA,NA,NA,NA
"6",NA,"0-4","2","65205","1120.31","135.68","4046.96"
"7",NA,"5-11","0","130124","0.00","0.00","1035.45"
"8",NA,"12-17","1","115655","315.81","8.00","1759.58"
"9",NA,"18-24","1","123887","294.83","7.46","1642.66"
"10",NA,"25-29","1","110473","330.62","8.37","1842.12"
"11",NA,"30-39","1","208447","175.22","4.44","976.29"
"12",NA,"40-49","1","320738","113.88","2.88","634.49"
"13",NA,"50-59","0","342311","0.00","0.00","393.61"
"14",NA,"60-69","1","279155","130.84","3.31","729.00"
"15",NA,"70-79","1","213582","171.01","4.33","952.82"
"16",NA,"80+","4","195785","746.23","203.32","1910.64"
"17","2019/2020 after COVID-19 infection before vaccination","Total (all ages/gender)","1.0","3167","11533.00","291.99","64257.74"
"18",NA,"Gender specific",NA,NA,NA,NA,NA
"19",NA,"F","0","2124","0.00","0.00","63435.18"
"20",NA,"M","1","1043","35019.18","886.61","195114.36"
"21",NA,"Age specific (years)",NA,NA,NA,NA,NA
"22",NA,"5-11","0","102","0.00","0.00","1320944.33"
"23",NA,"12-17","0","97","0.00","0.00","1389034.25"
"24",NA,"18-24","0","333","0.00","0.00","404613.58"
"25",NA,"25-29","0","254","0.00","0.00","530457.96"
"26",NA,"30-39","0","557","0.00","0.00","241896.45"
"27",NA,"40-49","0","455","0.00","0.00","296123.78"
"28",NA,"50-59","0","716","0.00","0.00","188179.22"
"29",NA,"60-69","0","261","0.00","0.00","516231.12"
"30",NA,"70-79","1","89","410393.26","10390.26","2286564.89"
"31",NA,"80+","0","303","0.00","0.00","444674.33"
