"","**Group**","**M_FRACTURES_COV**","**counts**","**persontime**","**IR**","**lb**","**ub**"
"1","2019/2020 before COVID-19 infection","Total (all ages/gender)","44","2096308","766.63","557.04","1029.17"
"2",NA,"Gender specific",NA,NA,NA,NA,NA
"3",NA,"F","24","1069889","819.34","524.96","1219.11"
"4",NA,"M","20","1026419","711.70","434.72","1099.16"
"5",NA,"Age specific (years)",NA,NA,NA,NA,NA
"6",NA,"0-4","1","65646","556.39","14.09","3100.03"
"7",NA,"5-11","3","128630","851.86","175.67","2489.50"
"8",NA,"12-17","1","115447","316.38","8.01","1762.75"
"9",NA,"18-24","3","123542","886.95","182.91","2592.03"
"10",NA,"25-29","0","111074","0.00","0.00","1213.03"
"11",NA,"30-39","1","208740","174.98","4.43","974.92"
"12",NA,"40-49","6","319058","686.87","252.07","1495.02"
"13",NA,"50-59","5","340834","535.82","173.98","1250.42"
"14",NA,"60-69","5","278115","656.65","213.21","1532.41"
"15",NA,"70-79","8","211381","1382.34","596.80","2723.76"
"16",NA,"80+","11","193841","2072.70","1034.69","3708.64"
"17","2019/2020 after COVID-19 infection before vaccination","Total (all ages/gender)","0.00","3211","0.00","0.00","41960.86"
"18",NA,"Gender specific",NA,NA,NA,NA,NA
"19",NA,"F","0","2124","0.00","0.00","63435.18"
"20",NA,"M","0","1087","0.00","0.00","123952.46"
"21",NA,"Age specific (years)",NA,NA,NA,NA,NA
"22",NA,"5-11","0","102","0.00","0.00","1320944.33"
"23",NA,"12-17","0","97","0.00","0.00","1389034.25"
"24",NA,"18-24","0","333","0.00","0.00","404613.58"
"25",NA,"25-29","0","254","0.00","0.00","530457.96"
"26",NA,"30-39","0","557","0.00","0.00","241896.45"
"27",NA,"40-49","0","455","0.00","0.00","296123.78"
"28",NA,"50-59","0","716","0.00","0.00","188179.22"
"29",NA,"60-69","0","261","0.00","0.00","516231.12"
"30",NA,"70-79","0","133","0.00","0.00","1013055.05"
"31",NA,"80+","0","303","0.00","0.00","444674.33"
