"","**Group**","**C_ARRH_AESI**","**counts**","**persontime**","**IR**","**lb**","**ub**"
"1","2019/2020 before COVID-19 infection","Total (all ages/gender)","54","2089616","943.88","709.07","1231.56"
"2",NA,"Gender specific",NA,NA,NA,NA,NA
"3",NA,"F","26","1069408","888.01","580.08","1301.15"
"4",NA,"M","28","1020208","1002.44","666.12","1448.81"
"5",NA,"Age specific (years)",NA,NA,NA,NA,NA
"6",NA,"0-4","0","66037","0.00","0.00","2040.32"
"7",NA,"5-11","0","130124","0.00","0.00","1035.45"
"8",NA,"12-17","0","115900","0.00","0.00","1162.52"
"9",NA,"18-24","2","124164","588.33","71.25","2125.27"
"10",NA,"25-29","0","111074","0.00","0.00","1213.03"
"11",NA,"30-39","1","208438","175.23","4.44","976.33"
"12",NA,"40-49","0","320510","0.00","0.00","420.38"
"13",NA,"50-59","4","341092","428.33","116.71","1096.70"
"14",NA,"60-69","6","276977","791.22","290.36","1722.15"
"15",NA,"70-79","20","206679","3534.47","2158.94","5458.70"
"16",NA,"80+","21","188621","4066.49","2517.22","6216.06"
"17","2019/2020 after COVID-19 infection before vaccination","Total (all ages/gender)","0.00","3176","0.00","0.00","42423.28"
"18",NA,"Gender specific",NA,NA,NA,NA,NA
"19",NA,"F","0","2124","0.00","0.00","63435.18"
"20",NA,"M","0","1052","0.00","0.00","128076.35"
"21",NA,"Age specific (years)",NA,NA,NA,NA,NA
"22",NA,"5-11","0","102","0.00","0.00","1320944.33"
"23",NA,"12-17","0","97","0.00","0.00","1389034.25"
"24",NA,"18-24","0","333","0.00","0.00","404613.58"
"25",NA,"25-29","0","254","0.00","0.00","530457.96"
"26",NA,"30-39","0","557","0.00","0.00","241896.45"
"27",NA,"40-49","0","455","0.00","0.00","296123.78"
"28",NA,"50-59","0","716","0.00","0.00","188179.22"
"29",NA,"60-69","0","226","0.00","0.00","596178.42"
"30",NA,"70-79","0","133","0.00","0.00","1013055.05"
"31",NA,"80+","0","303","0.00","0.00","444674.33"
