"","**Group**","**C_MYOCARD_AESI**","**counts**","**persontime**","**IR**","**lb**","**ub**"
"1","2019/2020 before COVID-19 infection","Total (all ages/gender)","3.0","2109980","51.93","10.71","151.77"
"2",NA,"Gender specific",NA,NA,NA,NA,NA
"3",NA,"F","1","1078824","33.86","0.86","188.64"
"4",NA,"M","2","1031156","70.84","8.58","255.91"
"5",NA,"Age specific (years)",NA,NA,NA,NA,NA
"6",NA,"0-4","0","66037","0.00","0.00","2040.32"
"7",NA,"5-11","0","130124","0.00","0.00","1035.45"
"8",NA,"12-17","0","115900","0.00","0.00","1162.52"
"9",NA,"18-24","0","124645","0.00","0.00","1080.96"
"10",NA,"25-29","0","111074","0.00","0.00","1213.03"
"11",NA,"30-39","0","209055","0.00","0.00","644.50"
"12",NA,"40-49","0","321241","0.00","0.00","419.42"
"13",NA,"50-59","1","342160","106.75","2.70","594.76"
"14",NA,"60-69","1","278980","130.92","3.31","729.46"
"15",NA,"70-79","0","213643","0.00","0.00","630.66"
"16",NA,"80+","1","197121","185.29","4.69","1032.38"
"17","2019/2020 after COVID-19 infection before vaccination","Total (all ages/gender)","0.00","3176","0.00","0.00","42423.28"
"18",NA,"Gender specific",NA,NA,NA,NA,NA
"19",NA,"F","0","2124","0.00","0.00","63435.18"
"20",NA,"M","0","1052","0.00","0.00","128076.35"
"21",NA,"Age specific (years)",NA,NA,NA,NA,NA
"22",NA,"5-11","0","102","0.00","0.00","1320944.33"
"23",NA,"12-17","0","97","0.00","0.00","1389034.25"
"24",NA,"18-24","0","333","0.00","0.00","404613.58"
"25",NA,"25-29","0","254","0.00","0.00","530457.96"
"26",NA,"30-39","0","557","0.00","0.00","241896.45"
"27",NA,"40-49","0","455","0.00","0.00","296123.78"
"28",NA,"50-59","0","716","0.00","0.00","188179.22"
"29",NA,"60-69","0","226","0.00","0.00","596178.42"
"30",NA,"70-79","0","133","0.00","0.00","1013055.05"
"31",NA,"80+","0","303","0.00","0.00","444674.33"
