monday_week,A_duplicated_records,B_missing_date,C_date_before_start_vax,D_distance_btw_1_2_doses,E_distance_btw_2_3_doses,F_dose_after_3,G_dose_after_2,H_dose_not_in_persons,I_birth_date_absurd,J_no_observation_period,K_death_before_study_entry,L_no_observation_period_including_study_start,M_age_over18,N_insufficient_run_in,O_death_before_vax,P_exit_spell_before_vax,Q_study_end_before_vax,N
2020-12-28,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,6
2020-12-28,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,2
2021-01-04,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,43
2021-01-04,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,24
2021-01-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3
2021-01-11,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,34
2021-01-11,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,18
2021-01-18,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,17
2021-01-18,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,16
2021-01-25,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,45
2021-01-25,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,18
2021-02-01,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3
2021-02-01,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,43
2021-02-01,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,24
2021-02-08,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,43
2021-02-08,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,21
2021-02-15,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
2021-02-15,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,70
2021-02-15,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,30
2021-02-22,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
2021-02-22,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,63
2021-02-22,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,33
2021-03-01,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,98
2021-03-01,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,39
2021-03-08,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4
2021-03-08,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,110
2021-03-08,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,55
2021-03-15,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2
2021-03-15,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,82
2021-03-15,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,42
2021-03-22,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
2021-03-22,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,107
2021-03-22,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,57
2021-03-29,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10
2021-03-29,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,203
2021-03-29,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,111
2021-04-05,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2021-04-05,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,11
