meaning_of_first_event,coding_system_of_code_first_event,code_first_event,count_n
hospitalisation_primary,ICD9,42613,1
emergency_room_diagnosis,ICD9,4260,2
hospitalisation_primary,ICD9,4260,5
emergency_room_diagnosis,ICD9,4275,1
hospitalisation_primary,ICD9,4275,1
hospitalisation_secondary,ICD9,42731,17
hospitalisation_primary,ICD9,42731,5
hospitalisation_secondary,ICD9,42613,1
emergency_room_diagnosis,ICD9,42731,7
emergency_room_diagnosis,ICD9,4270,3
hospitalisation_primary,ICD9,4270,2
emergency_room_diagnosis,ICD9,42612,2
emergency_room_diagnosis,ICD9,4271,1
emergency_room_diagnosis,ICD9,42760,1
