meaning_of_first_event,coding_system_of_code_first_event,code_first_event,count_n
hospitalisation_secondary,ICD9,42731,20
emergency_room_diagnosis,ICD9,42732,3
hospitalisation_primary,ICD9,42731,4
exemption,ICD9,427,3
emergency_room_diagnosis,ICD9,42731,8
emergency_room_diagnosis,ICD9,42760,1
emergency_room_diagnosis,ICD9,4270,4
hospitalisation_primary,ICD9,4270,1
exemption,ICD9,426,1
hospitalisation_primary,ICD9,42732,1
hospitalisation_primary,ICD9,4260,1
hospitalisation_secondary,ICD9,42789,1
emergency_room_diagnosis,ICD9,4260,1
hospitalisation_secondary,ICD9,42654,1
hospitalisation_secondary,ICD9,42732,1
hospitalisation_secondary,ICD9,4263,1
