meaning_of_first_event,coding_system_of_code_first_event,code_first_event,count_n
hospitalisation_secondary,ICD9,4149,5
hospitalisation_primary,ICD9,41050,1
hospitalisation_secondary,ICD9,4148,3
hospitalisation_secondary,ICD9,41090,1
hospitalisation_primary,ICD9,41401,3
hospitalisation_secondary,ICD9,41401,5
hospitalisation_primary,ICD9,4111,1
hospitalisation_primary,ICD9,44023,1
hospitalisation_primary,ICD9,41071,2
emergency_room_diagnosis,ICD9,4111,1
hospitalisation_primary,ICD9,44021,1
hospitalisation_primary,ICD9,4139,1
hospitalisation_secondary,ICD9,4408,1
hospitalisation_secondary,ICD9,4139,2
hospitalisation_primary,ICD9,41021,2
emergency_room_diagnosis,ICD9,41091,1
exemption,ICD9,414,1
emergency_room_diagnosis,ICD9,41071,1
