sex,ageband_at_1_jan_2021,year,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b,IR_MIS_narrow,lb_MIS_narrow,ub_MIS_narrow,IR_KD_narrow,lb_KD_narrow,ub_KD_narrow,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_broad,lb_MIS_broad,ub_MIS_broad,IR_KD_broad,lb_KD_broad,ub_KD_broad,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_possible,lb_MYOCARD_possible,ub_MYOCARD_possible,IR_Myocardalone_narrow,lb_Myocardalone_narrow,ub_Myocardalone_narrow,IR_Myocardalone_possible,lb_Myocardalone_possible,ub_Myocardalone_possible,IR_PERICARD_narrow,lb_PERICARD_narrow,ub_PERICARD_narrow,IR_PERICARD_possible,lb_PERICARD_possible,ub_PERICARD_possible
0,0-4,2020,10965,10965,10965,10965,10965,10965,10965,10965,10965,10965,10965,10965,10965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12287.85,0,0,12287.85,0,0,12287.85,0,0,12287.85,0,0,12287.85,0,0,12287.85,0,0,12287.85,0,0,12287.85,0,0,12287.85,0,0,12287.85,0,0,12287.85,0,0,12287.85
0,0-4,2021,4399,4399,4399,4399,4399,4399,4399,4399,4399,4399,4399,4399,4399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30628.85,0,0,30628.85,0,0,30628.85,0,0,30628.85,0,0,30628.85,0,0,30628.85,0,0,30628.85,0,0,30628.85,0,0,30628.85,0,0,30628.85,0,0,30628.85,0,0,30628.85
1,0-4,2020,9867,9867,9867,9867,9867,9867,9867,9867,9867,9867,9867,9867,9867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13655.25,0,0,13655.25,0,0,13655.25,0,0,13655.25,0,0,13655.25,0,0,13655.25,0,0,13655.25,0,0,13655.25,0,0,13655.25,0,0,13655.25,0,0,13655.25,0,0,13655.25
1,0-4,2021,4443,4443,4443,4443,4443,4443,4443,4443,4443,4443,4443,4443,4443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30325.53,0,0,30325.53,0,0,30325.53,0,0,30325.53,0,0,30325.53,0,0,30325.53,0,0,30325.53,0,0,30325.53,0,0,30325.53,0,0,30325.53,0,0,30325.53,0,0,30325.53
0,5-11,2020,22558,22558,22558,22558,22558,22558,22558,22558,22558,22558,22558,22558,22558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5972.88,0,0,5972.88,0,0,5972.88,0,0,5972.88,0,0,5972.88,0,0,5972.88,0,0,5972.88,0,0,5972.88,0,0,5972.88,0,0,5972.88,0,0,5972.88,0,0,5972.88
0,5-11,2021,10150,10150,10150,10150,10150,10150,10150,10150,10150,10150,10150,10150,10150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13274.51,0,0,13274.51,0,0,13274.51,0,0,13274.51,0,0,13274.51,0,0,13274.51,0,0,13274.51,0,0,13274.51,0,0,13274.51,0,0,13274.51,0,0,13274.51,0,0,13274.51
1,5-11,2020,30927,30927,30927,30927,30927,30927,30927,30927,30927,30927,30927,30927,30927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4356.59,0,0,4356.59,0,0,4356.59,0,0,4356.59,0,0,4356.59,0,0,4356.59,0,0,4356.59,0,0,4356.59,0,0,4356.59,0,0,4356.59,0,0,4356.59,0,0,4356.59
1,5-11,2021,14275,14275,14275,14275,14275,14275,14275,14275,14275,14275,14275,14275,14275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9438.62,0,0,9438.62,0,0,9438.62,0,0,9438.62,0,0,9438.62,0,0,9438.62,0,0,9438.62,0,0,9438.62,0,0,9438.62,0,0,9438.62,0,0,9438.62,0,0,9438.62
0,12-17,2020,21095,21095,21095,21095,21095,21095,21095,21095,21095,21095,21095,21095,21095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6387.12,0,0,6387.12,0,0,6387.12,0,0,6387.12,0,0,6387.12,0,0,6387.12,0,0,6387.12,0,0,6387.12,0,0,6387.12,0,0,6387.12,0,0,6387.12,0,0,6387.12
0,12-17,2021,8279,8279,8279,8279,8279,8279,8279,8279,8279,8279,8279,8279,8279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16274.47,0,0,16274.47,0,0,16274.47,0,0,16274.47,0,0,16274.47,0,0,16274.47,0,0,16274.47,0,0,16274.47,0,0,16274.47,0,0,16274.47,0,0,16274.47,0,0,16274.47
1,12-17,2020,26739,26739,26739,26739,26739,26739,26739,26739,26739,26739,26739,26739,26739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5038.94,0,0,5038.94,0,0,5038.94,0,0,5038.94,0,0,5038.94,0,0,5038.94,0,0,5038.94,0,0,5038.94,0,0,5038.94,0,0,5038.94,0,0,5038.94,0,0,5038.94
1,12-17,2021,11142,11142,11142,11142,11142,11142,11142,11142,11142,11142,11142,11142,11142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12092.65,0,0,12092.65,0,0,12092.65,0,0,12092.65,0,0,12092.65,0,0,12092.65,0,0,12092.65,0,0,12092.65,0,0,12092.65,0,0,12092.65,0,0,12092.65,0,0,12092.65
0,18-24,2020,22340,22340,22340,22340,22340,22340,22340,22340,22340,22340,22340,22340,22340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6031.17,0,0,6031.17,0,0,6031.17,0,0,6031.17,0,0,6031.17,0,0,6031.17,0,0,6031.17,0,0,6031.17,0,0,6031.17,0,0,6031.17,0,0,6031.17,0,0,6031.17
0,18-24,2021,8546,8546,8546,8546,8546,8546,8546,8546,8546,8546,8546,8546,8546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15766.01,0,0,15766.01,0,0,15766.01,0,0,15766.01,0,0,15766.01,0,0,15766.01,0,0,15766.01,0,0,15766.01,0,0,15766.01,0,0,15766.01,0,0,15766.01,0,0,15766.01
1,18-24,2020,26417,26417,26417,26417,26417,26417,26417,26417,26417,26417,26417,26417,26417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5100.36,0,0,5100.36,0,0,5100.36,0,0,5100.36,0,0,5100.36,0,0,5100.36,0,0,5100.36,0,0,5100.36,0,0,5100.36,0,0,5100.36,0,0,5100.36,0,0,5100.36
1,18-24,2021,10306,10306,10306,10306,10306,10306,10306,10306,10306,10306,10306,10306,10306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13073.58,0,0,13073.58,0,0,13073.58,0,0,13073.58,0,0,13073.58,0,0,13073.58,0,0,13073.58,0,0,13073.58,0,0,13073.58,0,0,13073.58,0,0,13073.58,0,0,13073.58
1,25-29,2020,22149,22149,22149,22149,22149,22149,22149,22149,22149,22149,22149,22149,22149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6083.18,0,0,6083.18,0,0,6083.18,0,0,6083.18,0,0,6083.18,0,0,6083.18,0,0,6083.18,0,0,6083.18,0,0,6083.18,0,0,6083.18,0,0,6083.18,0,0,6083.18
1,25-29,2021,9449,9449,9449,9449,9449,9449,9449,9449,9449,9449,9449,9449,9449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14259.32,0,0,14259.32,0,0,14259.32,0,0,14259.32,0,0,14259.32,0,0,14259.32,0,0,14259.32,0,0,14259.32,0,0,14259.32,0,0,14259.32,0,0,14259.32,0,0,14259.32
0,25-29,2020,25206,25206,25206,25206,25206,25206,25206,25206,25206,25206,25206,25206,25206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5345.41,0,0,5345.41,0,0,5345.41,0,0,5345.41,0,0,5345.41,0,0,5345.41,0,0,5345.41,0,0,5345.41,0,0,5345.41,0,0,5345.41,0,0,5345.41,0,0,5345.41
0,25-29,2021,10749,10749,10749,10749,10749,10749,10749,10749,10749,10749,10749,10749,10749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12534.78,0,0,12534.78,0,0,12534.78,0,0,12534.78,0,0,12534.78,0,0,12534.78,0,0,12534.78,0,0,12534.78,0,0,12534.78,0,0,12534.78,0,0,12534.78,0,0,12534.78
1,30-39,2020,36989,36989,36989,36989,36989,36989,36989,36989,36989,36989,36989,36989,36989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3642.61,0,0,3642.61,0,0,3642.61,0,0,3642.61,0,0,3642.61,0,0,3642.61,0,0,3642.61,0,0,3642.61,0,0,3642.61,0,0,3642.61,0,0,3642.61,0,0,3642.61
1,30-39,2021,14428,14428,14428,14428,14428,14428,14428,14428,14428,14428,14428,14428,14428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9338.53,0,0,9338.53,0,0,9338.53,0,0,9338.53,0,0,9338.53,0,0,9338.53,0,0,9338.53,0,0,9338.53,0,0,9338.53,0,0,9338.53,0,0,9338.53,0,0,9338.53
0,30-39,2020,46011,46011,46011,46011,46011,46011,46011,46011,46011,46011,46011,46011,46011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2928.35,0,0,2928.35,0,0,2928.35,0,0,2928.35,0,0,2928.35,0,0,2928.35,0,0,2928.35,0,0,2928.35,0,0,2928.35,0,0,2928.35,0,0,2928.35,0,0,2928.35
0,30-39,2021,18083,18083,18083,18083,18083,18083,18083,18083,18083,18083,18083,18083,18083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7450.99,0,0,7450.99,0,0,7450.99,0,0,7450.99,0,0,7450.99,0,0,7450.99,0,0,7450.99,0,0,7450.99,0,0,7450.99,0,0,7450.99,0,0,7450.99,0,0,7450.99
1,40-49,2020,62623,62623,62623,62623,62623,62623,62623,62059,62623,62623,62623,62059,62623,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2151.55,0,0,2151.55,0,0,2151.55,0,0,2151.55,0,0,2151.55,0,0,2151.55,588.55,14.9,3279.21,0,0,2151.55,0,0,2151.55,0,0,2151.55,588.55,14.9,3279.21,0,0,2151.55
1,40-49,2021,24690,24690,24690,24690,24690,24690,24690,24325,24690,24690,24690,24325,24690,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5457.12,0,0,5457.12,0,0,5457.12,0,0,5457.12,0,0,5457.12,0,0,5457.12,1501.54,38.02,8366.05,0,0,5457.12,0,0,5457.12,0,0,5457.12,1501.54,38.02,8366.05,0,0,5457.12
0,40-49,2020,66025,66025,66025,66025,66025,66025,66025,66025,66025,66025,66025,66025,66025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2040.69,0,0,2040.69,0,0,2040.69,0,0,2040.69,0,0,2040.69,0,0,2040.69,0,0,2040.69,0,0,2040.69,0,0,2040.69,0,0,2040.69,0,0,2040.69,0,0,2040.69
0,40-49,2021,25765,25765,25765,25765,25765,25765,25765,25765,25765,25765,25765,25765,25765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5229.43,0,0,5229.43,0,0,5229.43,0,0,5229.43,0,0,5229.43,0,0,5229.43,0,0,5229.43,0,0,5229.43,0,0,5229.43,0,0,5229.43,0,0,5229.43,0,0,5229.43
0,50-59,2020,75535,75535,75535,75535,75535,75535,75535,75535,75535,75535,75535,75535,75535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1783.76,0,0,1783.76,0,0,1783.76,0,0,1783.76,0,0,1783.76,0,0,1783.76,0,0,1783.76,0,0,1783.76,0,0,1783.76,0,0,1783.76,0,0,1783.76,0,0,1783.76
0,50-59,2021,26319,26319,26319,26319,26319,26319,26319,26319,26319,26319,26319,26319,26319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5119.36,0,0,5119.36,0,0,5119.36,0,0,5119.36,0,0,5119.36,0,0,5119.36,0,0,5119.36,0,0,5119.36,0,0,5119.36,0,0,5119.36,0,0,5119.36,0,0,5119.36
1,50-59,2020,73030,73030,73030,73030,73030,73030,73030,72664,73030,73030,73030,72664,73030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1844.94,0,0,1844.94,0,0,1844.94,0,0,1844.94,0,0,1844.94,0,0,1844.94,0,0,1854.24,0,0,1844.94,0,0,1844.94,0,0,1844.94,0,0,1854.24,0,0,1844.94
1,50-59,2021,27778,27778,27778,27778,27778,27778,27778,27621,27778,27778,27778,27621,27778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4850.47,0,0,4850.47,0,0,4850.47,0,0,4850.47,0,0,4850.47,0,0,4850.47,0,0,4878.04,0,0,4850.47,0,0,4850.47,0,0,4850.47,0,0,4878.04,0,0,4850.47
1,60-69,2020,56984,56984,56984,56984,56984,56984,56984,56984,56984,56984,56984,56984,56984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2364.46,0,0,2364.46,0,0,2364.46,0,0,2364.46,0,0,2364.46,0,0,2364.46,0,0,2364.46,0,0,2364.46,0,0,2364.46,0,0,2364.46,0,0,2364.46,0,0,2364.46
1,60-69,2021,19299,19299,19299,19299,19299,19299,19299,19299,19299,19299,19299,19299,19299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6981.52,0,0,6981.52,0,0,6981.52,0,0,6981.52,0,0,6981.52,0,0,6981.52,0,0,6981.52,0,0,6981.52,0,0,6981.52,0,0,6981.52,0,0,6981.52,0,0,6981.52
