sex,ageband_at_date_vax_1,type_vax_1,history_covid,year,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b,IR_MIS_narrow,lb_MIS_narrow,ub_MIS_narrow,IR_KD_narrow,lb_KD_narrow,ub_KD_narrow,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_broad,lb_MIS_broad,ub_MIS_broad,IR_KD_broad,lb_KD_broad,ub_KD_broad,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_possible,lb_MYOCARD_possible,ub_MYOCARD_possible,IR_Myocardalone_narrow,lb_Myocardalone_narrow,ub_Myocardalone_narrow,IR_Myocardalone_possible,lb_Myocardalone_possible,ub_Myocardalone_possible,IR_PERICARD_narrow,lb_PERICARD_narrow,ub_PERICARD_narrow,IR_PERICARD_possible,lb_PERICARD_possible,ub_PERICARD_possible
0,50-59,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30712.63,0,0,30712.63,0,0,30712.63,0,0,30712.63,0,0,30712.63,0,0,30712.63,0,0,30712.63,0,0,30712.63,0,0,30712.63,0,0,30712.63,0,0,30712.63,0,0,30712.63
0,50-59,Pfizer,1,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826603.2,0,0,826603.2,0,0,826603.2,0,0,826603.2,0,0,826603.2,0,0,826603.2,0,0,826603.2,0,0,826603.2,0,0,826603.2,0,0,826603.2,0,0,826603.2,0,0,826603.2
1,70-79,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60042.92,0,0,60042.92,0,0,60042.92,0,0,60042.92,0,0,60042.92,0,0,60042.92,0,0,60042.92,0,0,60042.92,0,0,60042.92,0,0,60042.92,0,0,60042.92,0,0,60042.92
1,30-39,Moderna,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612437.83,0,0,612437.83,0,0,612437.83,0,0,612437.83,0,0,612437.83,0,0,612437.83,0,0,612437.83,0,0,612437.83,0,0,612437.83,0,0,612437.83,0,0,612437.83,0,0,612437.83
1,50-59,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71630.16,0,0,71630.16,0,0,71630.16,0,0,71630.16,0,0,71630.16,0,0,71630.16,0,0,73107.07,0,0,71630.16,0,0,71630.16,0,0,71630.16,0,0,73107.07,0,0,71630.16
0,80+,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12843.04,0,0,12843.04,0,0,12843.04,0,0,12843.04,0,0,12843.04,0,0,12843.04,0,0,12843.04,0,0,12843.04,0,0,12843.04,0,0,12843.04,0,0,12843.04,0,0,12843.04
0,40-49,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62493.66,0,0,62493.66,0,0,62493.66,0,0,62493.66,0,0,62493.66,0,0,62493.66,0,0,62493.66,0,0,62493.66,0,0,62493.66,0,0,62493.66,0,0,62493.66,0,0,62493.66
1,70-79,AstraZeneca,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45735.34,0,0,45735.34,0,0,45735.34,0,0,45735.34,0,0,45735.34,0,0,45735.34,0,0,45735.34,0,0,45735.34,0,0,45735.34,0,0,45735.34,0,0,45735.34,0,0,45735.34
0,60-69,Moderna,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123838.53,0,0,123838.53,0,0,123838.53,0,0,123838.53,0,0,123838.53,0,0,123838.53,0,0,123838.53,0,0,123838.53,0,0,123838.53,0,0,123838.53,0,0,123838.53,0,0,123838.53
1,40-49,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140937.58,0,0,140937.58,0,0,140937.58,0,0,140937.58,0,0,140937.58,0,0,140937.58,0,0,143489.16,0,0,140937.58,0,0,140937.58,0,0,140937.58,0,0,143489.16,0,0,140937.58
