sex,month,year,Ageband,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b,IR_MIS_narrow,lb_MIS_narrow,ub_MIS_narrow,IR_KD_narrow,lb_KD_narrow,ub_KD_narrow,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_broad,lb_MIS_broad,ub_MIS_broad,IR_KD_broad,lb_KD_broad,ub_KD_broad,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_possible,lb_MYOCARD_possible,ub_MYOCARD_possible,IR_Myocardalone_narrow,lb_Myocardalone_narrow,ub_Myocardalone_narrow,IR_Myocardalone_possible,lb_Myocardalone_possible,ub_Myocardalone_possible,IR_PERICARD_narrow,lb_PERICARD_narrow,ub_PERICARD_narrow,IR_PERICARD_possible,lb_PERICARD_possible,ub_PERICARD_possible
0,January,2020,0-4,1319,1319,1319,1319,1319,1319,1319,1319,1319,1319,1319,1319,1319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102150.36,0,0,102150.36,0,0,102150.36,0,0,102150.36,0,0,102150.36,0,0,102150.36,0,0,102150.36,0,0,102150.36,0,0,102150.36,0,0,102150.36,0,0,102150.36,0,0,102150.36
0,February,2020,0-4,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110620.95,0,0,110620.95,0,0,110620.95,0,0,110620.95,0,0,110620.95,0,0,110620.95,0,0,110620.95,0,0,110620.95,0,0,110620.95,0,0,110620.95,0,0,110620.95,0,0,110620.95
0,March,2020,0-4,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103484.12,0,0,103484.12,0,0,103484.12,0,0,103484.12,0,0,103484.12,0,0,103484.12,0,0,103484.12,0,0,103484.12,0,0,103484.12,0,0,103484.12,0,0,103484.12,0,0,103484.12
0,April,2020,0-4,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109541.73,0,0,109541.73,0,0,109541.73,0,0,109541.73,0,0,109541.73,0,0,109541.73,0,0,109541.73,0,0,109541.73,0,0,109541.73,0,0,109541.73,0,0,109541.73,0,0,109541.73
0,May,2020,0-4,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106008.12,0,0,106008.12,0,0,106008.12,0,0,106008.12,0,0,106008.12,0,0,106008.12,0,0,106008.12,0,0,106008.12,0,0,106008.12,0,0,106008.12,0,0,106008.12,0,0,106008.12
0,June,2020,0-4,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109541.73,0,0,109541.73,0,0,109541.73,0,0,109541.73,0,0,109541.73,0,0,109541.73,0,0,109541.73,0,0,109541.73,0,0,109541.73,0,0,109541.73,0,0,109541.73,0,0,109541.73
0,July,2020,0-4,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106008.12,0,0,106008.12,0,0,106008.12,0,0,106008.12,0,0,106008.12,0,0,106008.12,0,0,106008.12,0,0,106008.12,0,0,106008.12,0,0,106008.12,0,0,106008.12,0,0,106008.12
0,August,2020,0-4,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106008.12,0,0,106008.12,0,0,106008.12,0,0,106008.12,0,0,106008.12,0,0,106008.12,0,0,106008.12,0,0,106008.12,0,0,106008.12,0,0,106008.12,0,0,106008.12,0,0,106008.12
0,September,2020,0-4,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114669.21,0,0,114669.21,0,0,114669.21,0,0,114669.21,0,0,114669.21,0,0,114669.21,0,0,114669.21,0,0,114669.21,0,0,114669.21,0,0,114669.21,0,0,114669.21,0,0,114669.21
0,October,2020,0-4,1195,1195,1195,1195,1195,1195,1195,1195,1195,1195,1195,1195,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112750.06,0,0,112750.06,0,0,112750.06,0,0,112750.06,0,0,112750.06,0,0,112750.06,0,0,112750.06,0,0,112750.06,0,0,112750.06,0,0,112750.06,0,0,112750.06,0,0,112750.06
