sex,month,year,Ageband,Persontime,Persontime_covid_severity_1_plus,Persontime_covid_severity_2_plus,Persontime_covid_severity_3_plus,Persontime_covid_severity_4_plus,covid_severity_1_plus_b,covid_severity_2_plus_b,covid_severity_3_plus_b,covid_severity_4_plus_b,IR_covid_severity_1_plus,lb_covid_severity_1_plus,ub_covid_severity_1_plus,IR_covid_severity_2_plus,lb_covid_severity_2_plus,ub_covid_severity_2_plus,IR_covid_severity_3_plus,lb_covid_severity_3_plus,ub_covid_severity_3_plus,IR_covid_severity_4_plus,lb_covid_severity_4_plus,ub_covid_severity_4_plus
0,10,2020,12-17,1,0,1,1,1,1,0,0,0,0,0,0,0,0,134736322.06,0,0,134736322.06,0,0,134736322.06
0,11,2020,12-17,30,0,30,30,30,0,0,0,0,,,0,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74
0,11,2020,5-11,25,0,25,25,25,1,0,0,0,0,0,0,0,0,5389452.88,0,0,5389452.88,0,0,5389452.88
0,12,2020,12-17,31,2,31,31,31,0,0,0,0,0,0,67368161.03,0,0,4346332.97,0,0,4346332.97,0,0,4346332.97
0,12,2020,5-11,38,0,38,38,38,1,0,0,0,0,0,0,0,0,3545692.69,0,0,3545692.69,0,0,3545692.69
0,1,2021,12-17,57,31,57,57,57,1,0,0,0,1178225.81,29830.09,6564654.03,0,0,2363795.12,0,0,2363795.12,0,0,2363795.12
0,1,2021,5-11,62,27,62,62,62,0,0,0,0,0,0,4990234.15,0,0,2173166.48,0,0,2173166.48,0,0,2173166.48
0,2,2021,12-17,56,28,56,56,56,0,0,0,0,0,0,4812011.5,0,0,2406005.75,0,0,2406005.75,0,0,2406005.75
0,2,2021,5-11,56,34,56,56,56,0,0,0,0,0,0,3962833,0,0,2406005.75,0,0,2406005.75,0,0,2406005.75
0,3,2021,12-17,62,56,62,62,62,0,0,0,0,0,0,2406005.75,0,0,2173166.48,0,0,2173166.48,0,0,2173166.48
0,3,2021,5-11,62,62,62,62,62,0,0,0,0,0,0,2173166.48,0,0,2173166.48,0,0,2173166.48,0,0,2173166.48
0,4,2021,12-17,60,60,60,60,60,0,0,0,0,0,0,2245605.37,0,0,2245605.37,0,0,2245605.37,0,0,2245605.37
0,4,2021,5-11,60,60,60,60,60,0,0,0,0,0,0,2245605.37,0,0,2245605.37,0,0,2245605.37,0,0,2245605.37
0,5,2021,12-17,62,62,62,62,62,0,0,0,0,0,0,2173166.48,0,0,2173166.48,0,0,2173166.48,0,0,2173166.48
0,5,2021,5-11,62,62,62,62,62,0,0,0,0,0,0,2173166.48,0,0,2173166.48,0,0,2173166.48,0,0,2173166.48
0,6,2021,12-17,56,56,56,56,56,0,0,0,0,0,0,2406005.75,0,0,2406005.75,0,0,2406005.75,0,0,2406005.75
0,6,2021,5-11,60,60,60,60,60,0,0,0,0,0,0,2245605.37,0,0,2245605.37,0,0,2245605.37,0,0,2245605.37
1,12,2020,12-17,35,0,31,31,35,2,1,1,0,0,0,0,1178225.81,29830.09,6564654.03,1178225.81,29830.09,6564654.03,0,0,3849609.2
1,1,2021,12-17,62,2,31,31,62,0,0,0,0,0,0,67368161.03,0,0,4346332.97,0,0,4346332.97,0,0,2173166.48
1,2,2021,12-17,56,31,31,31,56,0,0,0,0,0,0,4346332.97,0,0,4346332.97,0,0,4346332.97,0,0,2406005.75
1,3,2021,12-17,62,62,62,62,62,0,0,0,0,0,0,2173166.48,0,0,2173166.48,0,0,2173166.48,0,0,2173166.48
1,4,2021,12-17,60,60,60,60,60,0,0,0,0,0,0,2245605.37,0,0,2245605.37,0,0,2245605.37,0,0,2245605.37
1,5,2021,12-17,62,62,62,62,62,0,0,0,0,0,0,2173166.48,0,0,2173166.48,0,0,2173166.48,0,0,2173166.48
1,6,2021,12-17,60,60,60,60,60,0,0,0,0,0,0,2245605.37,0,0,2245605.37,0,0,2245605.37,0,0,2245605.37
both_sexes,10,2020,12-17,1,0,1,1,1,1,0,0,0,0,0,0,0,0,134736322.06,0,0,134736322.06,0,0,134736322.06
both_sexes,11,2020,12-17,30,0,30,30,30,0,0,0,0,,,0,0,0,4491210.74,0,0,4491210.74,0,0,4491210.74
both_sexes,11,2020,5-11,25,0,25,25,25,1,0,0,0,0,0,0,0,0,5389452.88,0,0,5389452.88,0,0,5389452.88
both_sexes,12,2020,12-17,66,2,62,62,66,2,1,1,0,36525000,4423346.95,131940858.53,589112.9,14915.05,3282327.01,589112.9,14915.05,3282327.01,0,0,2041459.43
both_sexes,12,2020,5-11,38,0,38,38,38,1,0,0,0,0,0,0,0,0,3545692.69,0,0,3545692.69,0,0,3545692.69
both_sexes,1,2021,12-17,119,33,88,88,119,1,0,0,0,1106818.18,28022.21,6166796.21,0,0,1531094.57,0,0,1531094.57,0,0,1132238
both_sexes,1,2021,5-11,62,27,62,62,62,0,0,0,0,0,0,4990234.15,0,0,2173166.48,0,0,2173166.48,0,0,2173166.48
both_sexes,2,2021,12-17,112,59,87,87,112,0,0,0,0,0,0,2283666.48,0,0,1548693.36,0,0,1548693.36,0,0,1203002.88
both_sexes,2,2021,5-11,56,34,56,56,56,0,0,0,0,0,0,3962833,0,0,2406005.75,0,0,2406005.75,0,0,2406005.75
both_sexes,3,2021,12-17,124,118,124,124,124,0,0,0,0,0,0,1141833.24,0,0,1086583.24,0,0,1086583.24,0,0,1086583.24
both_sexes,3,2021,5-11,62,62,62,62,62,0,0,0,0,0,0,2173166.48,0,0,2173166.48,0,0,2173166.48,0,0,2173166.48
