sex,month,year,Ageband,Persontime,Persontime_covid_severity_1_plus,Persontime_covid_severity_2_plus,Persontime_covid_severity_3_plus,Persontime_covid_severity_4_plus,covid_severity_1_plus_b,covid_severity_2_plus_b,covid_severity_3_plus_b,covid_severity_4_plus_b,IR_covid_severity_1_plus,lb_covid_severity_1_plus,ub_covid_severity_1_plus,IR_covid_severity_2_plus,lb_covid_severity_2_plus,ub_covid_severity_2_plus,IR_covid_severity_3_plus,lb_covid_severity_3_plus,ub_covid_severity_3_plus,IR_covid_severity_4_plus,lb_covid_severity_4_plus,ub_covid_severity_4_plus
0,1,2020,0-4,1309,1309,1309,1309,1309,0,0,0,0,0,0,102930.73,0,0,102930.73,0,0,102930.73,0,0,102930.73
0,1,2020,12-17,1918,1918,1918,1918,1918,0,0,0,0,0,0,70248.34,0,0,70248.34,0,0,70248.34,0,0,70248.34
0,1,2020,5-11,1870,1870,1870,1870,1870,0,0,0,0,0,0,72051.51,0,0,72051.51,0,0,72051.51,0,0,72051.51
0,2,2020,0-4,1189,1189,1189,1189,1189,0,0,0,0,0,0,113319.03,0,0,113319.03,0,0,113319.03,0,0,113319.03
0,2,2020,12-17,1788,1788,1788,1788,1788,0,0,0,0,0,0,75355.88,0,0,75355.88,0,0,75355.88,0,0,75355.88
0,2,2020,5-11,1750,1750,1750,1750,1750,0,0,0,0,0,0,76992.18,0,0,76992.18,0,0,76992.18,0,0,76992.18
0,3,2020,0-4,1264,1264,1264,1264,1264,0,0,0,0,0,0,106595.19,0,0,106595.19,0,0,106595.19,0,0,106595.19
0,3,2020,12-17,1926,1926,1926,1926,1926,0,0,0,0,0,0,69956.55,0,0,69956.55,0,0,69956.55,0,0,69956.55
0,3,2020,5-11,1814,1814,1814,1814,1814,0,0,0,0,0,0,74275.81,0,0,74275.81,0,0,74275.81,0,0,74275.81
0,4,2020,0-4,1152,1152,1152,1152,1152,0,0,0,0,0,0,116958.61,0,0,116958.61,0,0,116958.61,0,0,116958.61
0,4,2020,12-17,1809,1809,1809,1809,1809,0,0,0,0,0,0,74481.11,0,0,74481.11,0,0,74481.11,0,0,74481.11
0,4,2020,5-11,1788,1788,1788,1788,1788,0,0,0,0,0,0,75355.88,0,0,75355.88,0,0,75355.88,0,0,75355.88
0,5,2020,0-4,1178,1178,1178,1178,1178,0,0,0,0,0,0,114377.18,0,0,114377.18,0,0,114377.18,0,0,114377.18
0,5,2020,12-17,1837,1837,1837,1837,1837,0,0,0,0,0,0,73345.85,0,0,73345.85,0,0,73345.85,0,0,73345.85
0,5,2020,5-11,1860,1860,1860,1860,1860,0,0,0,0,0,0,72438.88,0,0,72438.88,0,0,72438.88,0,0,72438.88
0,6,2020,0-4,1122,1122,1122,1122,1122,0,0,0,0,0,0,120085.85,0,0,120085.85,0,0,120085.85,0,0,120085.85
0,6,2020,12-17,1752,1752,1752,1752,1752,0,0,0,0,0,0,76904.29,0,0,76904.29,0,0,76904.29,0,0,76904.29
0,6,2020,5-11,1818,1818,1818,1818,1818,0,0,0,0,0,0,74112.39,0,0,74112.39,0,0,74112.39,0,0,74112.39
0,7,2020,0-4,1116,1116,1116,1116,1116,0,0,0,0,0,0,120731.47,0,0,120731.47,0,0,120731.47,0,0,120731.47
