Datasource,Vax_dose2,Month_vax2,Followup_vax2,Age_P25,Age_P50,Age_p75,Age_mean,Age_min,Age_max
TEST,Pfizer,6,1911,54,64,69,61,17,82
TEST,Pfizer,5,21508,70,78,82,74,15,98
TEST,AstraZeneca,6,2077,71,75,78,72,23,80
TEST,Pfizer,1,7617,37,53,64,55,20,93
TEST,Pfizer,2,9888,37,50,62,52,21,95
TEST,Pfizer,3,17072,46,62,88,65,21,99
TEST,Pfizer,4,21267,83,85,87,84,34,99
TEST,Moderna,4,3687,51,63,72,61,23,83
TEST,Moderna,6,1420,44,57,66,53,19,77
TEST,Moderna,5,2778,58,68,73,64,26,82
TEST,AstraZeneca,5,5007,39,47,53,45,24,64
TEST,Moderna,3,1064,26,53,62,47,18,73
TEST,Moderna,2,661,23,32,52,38,21,62
