sex,month,Ageband,Persontime,Persontime_covid_severity_1_plus,Persontime_covid_severity_2_plus,Persontime_covid_severity_3_plus,Persontime_covid_severity_4_plus,covid_severity_1_plus_b,covid_severity_2_plus_b,covid_severity_3_plus_b,covid_severity_4_plus_b
0,2020-01,0-4,4019,4019,4019,4019,4019,0,0,0,0
0,2020-01,12-17,5999,5999,5999,5999,5999,0,0,0,0
0,2020-01,5-11,6594,6594,6594,6594,6594,0,0,0,0
0,2020-02,0-4,3632,3632,3632,3632,3632,0,0,0,0
0,2020-02,12-17,5634,5634,5634,5634,5634,0,0,0,0
0,2020-02,5-11,6179,6179,6179,6179,6179,0,0,0,0
0,2020-03,0-4,3764,3764,3764,3764,3764,0,0,0,0
0,2020-03,12-17,6029,6029,6029,6029,6029,0,0,0,0
0,2020-03,5-11,6586,6586,6586,6586,6586,0,0,0,0
0,2020-04,0-4,3490,3490,3490,3490,3490,0,0,0,0
0,2020-04,12-17,5764,5764,5764,5764,5764,0,0,0,0
0,2020-04,5-11,6391,6391,6391,6391,6391,0,0,0,0
0,2020-05,0-4,3564,3564,3564,3564,3564,0,0,0,0
0,2020-05,12-17,5819,5819,5819,5819,5819,0,0,0,0
0,2020-05,5-11,6604,6604,6604,6604,6604,0,0,0,0
0,2020-06,0-4,3402,3402,3402,3402,3402,0,0,0,0
0,2020-06,12-17,5637,5637,5637,5637,5637,0,0,0,0
0,2020-06,5-11,6381,6381,6381,6381,6381,0,0,0,0
0,2020-07,0-4,3413,3413,3413,3413,3413,0,0,0,0
0,2020-07,12-17,5815,5815,5815,5815,5815,0,0,0,0
0,2020-07,5-11,6656,6656,6656,6656,6656,0,0,0,0
0,2020-08,0-4,3333,3333,3333,3333,3333,0,0,0,0
0,2020-08,12-17,5699,5699,5699,5699,5699,0,0,0,0
0,2020-08,5-11,6624,6624,6624,6624,6624,0,0,0,0
0,2020-09,0-4,3074,3074,3074,3074,3074,0,0,0,0
0,2020-09,12-17,5476,5476,5476,5476,5476,0,0,0,0
0,2020-09,5-11,6417,6417,6417,6417,6417,0,0,0,0
0,2020-10,0-4,3083,3083,3083,3083,3083,0,0,0,0
0,2020-10,12-17,5591,5590,5591,5591,5591,1,0,0,0
0,2020-10,5-11,6656,6656,6656,6656,6656,0,0,0,0
0,2020-11,0-4,2960,2960,2960,2960,2960,0,0,0,0
0,2020-11,12-17,5284,5283,5284,5284,5284,1,0,0,0
0,2020-11,5-11,6363,6361,6363,6363,6363,2,0,0,0
0,2020-12,0-4,2888,2888,2888,2888,2888,0,0,0,0
0,2020-12,12-17,5449,5447,5449,5449,5449,2,0,0,0
0,2020-12,5-11,6522,6518,6522,6522,6522,4,0,0,0
0,2021-01,0-4,2724,2723,2724,2724,2724,1,0,0,0
0,2021-01,12-17,5221,5220,5221,5221,5221,1,0,0,0
0,2021-01,5-11,6416,6415,6416,6416,6416,1,0,0,0
0,2021-02,0-4,2425,2425,2425,2425,2425,0,0,0,0
0,2021-02,12-17,4677,4677,4677,4677,4677,0,0,0,0
0,2021-02,5-11,5770,5769,5770,5770,5770,1,0,0,0
0,2021-03,0-4,2662,2662,2662,2662,2662,0,0,0,0
0,2021-03,12-17,5241,5240,5241,5241,5241,1,0,0,0
0,2021-03,5-11,6230,6229,6230,6230,6230,1,0,0,0
0,2021-04,0-4,2496,2496,2496,2496,2496,0,0,0,0
0,2021-04,12-17,5000,5000,5000,5000,5000,0,0,0,0
0,2021-04,5-11,6021,6020,6021,6021,6021,1,0,0,0
0,2021-05,0-4,2542,2542,2542,2542,2542,0,0,0,0
0,2021-05,12-17,5055,5055,5055,5055,5055,0,0,0,0
0,2021-05,5-11,6202,6202,6202,6202,6202,0,0,0,0
0,2021-06,0-4,2435,2435,2435,2435,2435,0,0,0,0
0,2021-06,12-17,4742,4742,4742,4742,4742,0,0,0,0
0,2021-06,5-11,5938,5938,5938,5938,5938,0,0,0,0
1,2020-01,0-4,3783,3783,3783,3783,3783,0,0,0,0
1,2020-01,12-17,7555,7555,7555,7555,7555,0,0,0,0
1,2020-01,5-11,8782,8782,8782,8782,8782,0,0,0,0
1,2020-02,0-4,3492,3492,3492,3492,3492,0,0,0,0
1,2020-02,12-17,7073,7073,7073,7073,7073,0,0,0,0
1,2020-02,5-11,8154,8154,8154,8154,8154,0,0,0,0
1,2020-03,0-4,3689,3689,3689,3689,3689,0,0,0,0
1,2020-03,12-17,7517,7517,7517,7517,7517,0,0,0,0
1,2020-03,5-11,8666,8666,8666,8666,8666,0,0,0,0
1,2020-04,0-4,3547,3547,3547,3547,3547,0,0,0,0
1,2020-04,12-17,7230,7229,7230,7230,7230,1,0,0,0
1,2020-04,5-11,8307,8307,8307,8307,8307,0,0,0,0
1,2020-05,0-4,3606,3606,3606,3606,3606,0,0,0,0
1,2020-05,12-17,7355,7355,7355,7355,7355,0,0,0,0
1,2020-05,5-11,8549,8549,8549,8549,8549,0,0,0,0
1,2020-06,0-4,3315,3315,3315,3315,3315,0,0,0,0
1,2020-06,12-17,7044,7044,7044,7044,7044,0,0,0,0
1,2020-06,5-11,8301,8301,8301,8301,8301,0,0,0,0
1,2020-07,0-4,3384,3384,3384,3384,3384,0,0,0,0
1,2020-07,12-17,7241,7241,7241,7241,7241,0,0,0,0
1,2020-07,5-11,8552,8552,8552,8552,8552,0,0,0,0
1,2020-08,0-4,3351,3351,3351,3351,3351,0,0,0,0
1,2020-08,12-17,7199,7199,7199,7199,7199,0,0,0,0
1,2020-08,5-11,8508,8508,8508,8508,8508,0,0,0,0
1,2020-09,0-4,3153,3153,3153,3153,3153,0,0,0,0
1,2020-09,12-17,6998,6998,6998,6998,6998,0,0,0,0
