sex,month,Ageband,Persontime,Persontime_covid_severity_1_plus,Persontime_covid_severity_2_plus,Persontime_covid_severity_3_plus,Persontime_covid_severity_4_plus,covid_severity_1_plus_b,covid_severity_2_plus_b,covid_severity_3_plus_b,covid_severity_4_plus_b
0,2020-10,12-17,1,0,1,1,1,1,0,0,0
0,2020-11,12-17,35,5,35,35,35,0,0,0,0
0,2020-11,5-11,36,11,36,36,36,1,0,0,0
0,2020-12,12-17,94,65,94,94,94,0,0,0,0
0,2020-12,5-11,90,52,90,90,90,1,0,0,0
0,2021-01,0-4,31,31,31,31,31,0,0,0,0
0,2021-01,12-17,150,124,150,150,150,1,0,0,0
0,2021-01,5-11,211,176,211,211,211,0,0,0,0
0,2021-02,0-4,28,28,28,28,28,0,0,0,0
0,2021-02,12-17,120,92,120,120,120,0,0,0,0
0,2021-02,5-11,198,176,198,198,198,0,0,0,0
0,2021-03,0-4,23,23,23,23,23,0,0,0,0
0,2021-03,12-17,137,131,137,137,137,0,0,0,0
0,2021-03,5-11,279,279,279,279,279,0,0,0,0
0,2021-04,12-17,150,150,150,150,150,0,0,0,0
0,2021-04,5-11,304,304,304,304,304,0,0,0,0
0,2021-05,12-17,155,155,155,155,155,0,0,0,0
0,2021-05,5-11,341,341,341,341,341,0,0,0,0
0,2021-06,12-17,146,146,146,146,146,0,0,0,0
0,2021-06,5-11,330,330,330,330,330,0,0,0,0
1,2020-04,12-17,4,4,4,4,4,0,0,0,0
1,2020-05,12-17,31,31,31,31,31,0,0,0,0
1,2020-06,12-17,30,30,30,30,30,0,0,0,0
1,2020-07,12-17,31,31,31,31,31,0,0,0,0
1,2020-08,12-17,31,31,31,31,31,0,0,0,0
1,2020-09,12-17,30,30,30,30,30,0,0,0,0
1,2020-10,12-17,31,31,31,31,31,0,0,0,0
1,2020-11,12-17,30,30,30,30,30,0,0,0,0
1,2020-11,5-11,2,2,2,2,2,0,0,0,0
1,2020-12,0-4,20,20,20,20,20,0,0,0,0
1,2020-12,12-17,122,87,118,118,122,2,1,1,0
1,2020-12,5-11,31,31,31,31,31,0,0,0,0
1,2021-01,0-4,31,31,31,31,31,0,0,0,0
1,2021-01,12-17,201,141,170,170,201,0,0,0,0
1,2021-01,5-11,31,31,31,31,31,0,0,0,0
1,2021-02,0-4,28,28,28,28,28,0,0,0,0
1,2021-02,12-17,267,242,242,242,267,0,0,0,0
1,2021-02,5-11,34,34,34,34,34,0,0,0,0
1,2021-03,0-4,31,31,31,31,31,0,0,0,0
1,2021-03,12-17,356,356,356,356,356,0,0,0,0
1,2021-03,5-11,62,62,62,62,62,0,0,0,0
1,2021-04,0-4,30,30,30,30,30,0,0,0,0
1,2021-04,12-17,330,330,330,330,330,0,0,0,0
1,2021-04,5-11,60,60,60,60,60,0,0,0,0
1,2021-05,0-4,31,31,31,31,31,0,0,0,0
1,2021-05,12-17,341,341,341,341,341,0,0,0,0
1,2021-05,5-11,62,62,62,62,62,0,0,0,0
1,2021-06,0-4,30,30,30,30,30,0,0,0,0
1,2021-06,12-17,325,325,325,325,325,0,0,0,0
1,2021-06,5-11,60,60,60,60,60,0,0,0,0
