sex,type_vax,Dose,Period,history_covid,month,Ageband,Persontime,Persontime_covid_severity_1_plus,Persontime_covid_severity_2_plus,Persontime_covid_severity_3_plus,Persontime_covid_severity_4_plus,covid_severity_1_plus_b,covid_severity_2_plus_b,covid_severity_3_plus_b,covid_severity_4_plus_b
0,Pfizer,1,28,0,2021-04,12-17,10,10,10,10,10,0,0,0,0
0,Pfizer,1,28,0,2021-05,12-17,26,26,26,26,26,0,0,0,0
0,Pfizer,1,28,0,2021-06,12-17,148,148,148,148,148,0,0,0,0
0,Pfizer,1,28,1,2021-06,12-17,4,4,4,4,4,0,0,0,0
0,Pfizer,1,60,0,2021-06,12-17,12,12,12,12,12,0,0,0,0
0,Pfizer,2,28,0,2021-05,12-17,18,18,18,18,18,0,0,0,0
0,Pfizer,2,28,0,2021-06,12-17,13,13,13,13,13,0,0,0,0
0,Pfizer,2,60,0,2021-06,12-17,20,20,20,20,20,0,0,0,0
1,Moderna,1,28,0,2021-06,12-17,1,1,1,1,1,0,0,0,0
1,Pfizer,1,28,0,2021-04,12-17,20,1,20,20,20,1,0,0,0
1,Pfizer,1,28,0,2021-05,12-17,1,0,1,1,1,0,0,0,0
1,Pfizer,1,28,0,2021-06,12-17,143,143,143,143,143,0,0,0,0
1,Pfizer,1,28,1,2021-06,12-17,5,5,5,5,5,0,0,0,0
1,Pfizer,2,28,0,2021-05,12-17,7,0,7,7,7,0,0,0,0
