sex,dose,type_vax,COVID19,month,Ageband,Persontime,year
F,0,,0,January,50-59,19507,2019
F,0,,0,February,50-59,17630,2019
F,0,,0,March,50-59,19497,2019
F,0,,0,April,50-59,18972,2019
F,0,,0,May,50-59,19551,2019
F,0,,0,June,50-59,18903,2019
F,0,,0,July,50-59,19582,2019
F,0,,0,August,50-59,19676,2019
F,0,,0,September,50-59,19168,2019
F,0,,0,October,50-59,19877,2019
F,0,,0,November,50-59,19237,2019
F,0,,0,December,50-59,19855,2019
F,0,,0,January,50-59,19865,2020
F,0,,0,February,50-59,18567,2020
F,0,,0,March,50-59,19858,2020
F,0,,0,April,50-59,19333,2020
F,0,,0,May,50-59,20089,2020
F,0,,0,June,50-59,19460,2020
F,0,,0,July,50-59,20124,2020
F,0,,0,August,50-59,20137,2020
F,0,,0,September,50-59,19431,2020
F,0,,0,October,50-59,19982,2020
F,0,,0,November,50-59,19238,2020
F,0,,0,December,50-59,19621,2020
F,0,,1,January,50-59,399,2021
F,0,,1,February,50-59,571,2021
F,0,,1,March,50-59,681,2021
F,0,,1,April,50-59,582,2021
F,0,,1,May,50-59,516,2021
F,0,,1,June,50-59,225,2021
F,1,pfizer,1,June,50-59,344,2021
M,0,,0,October,18-24,7563,2019
M,0,,0,November,18-24,7369,2019
M,0,,0,December,18-24,7656,2019
M,0,,0,January,18-24,7601,2020
M,0,,0,February,18-24,6993,2020
M,0,,0,March,18-24,7476,2020
M,0,,0,April,18-24,7239,2020
M,0,,0,May,18-24,7593,2020
M,0,,0,June,18-24,7465,2020
M,0,,0,July,18-24,7757,2020
M,0,,0,August,18-24,7828,2020
M,0,,0,September,18-24,7580,2020
M,0,,0,October,18-24,7716,2020
M,0,,0,November,18-24,7398,2020
M,0,,0,December,18-24,7582,2020
M,0,,0,January,18-24,7495,2021
M,0,,0,February,18-24,6707,2021
M,0,,0,March,18-24,7349,2021
M,0,,0,April,18-24,7086,2021
M,0,,0,May,18-24,7125,2021
M,0,,0,June,18-24,5899,2021
M,0,,0,January,18-24,7541,2019
M,0,,0,February,18-24,6760,2019
M,0,,0,March,18-24,7570,2019
M,0,,0,April,18-24,7418,2019
M,0,,0,May,18-24,7741,2019
M,0,,0,June,18-24,7500,2019
M,0,,0,July,18-24,7681,2019
M,0,,0,August,18-24,7607,2019
M,0,,0,September,18-24,7360,2019
F,0,,0,January,70-79,13613,2019
F,0,,0,February,70-79,12385,2019
F,0,,0,March,70-79,13653,2019
F,0,,0,April,70-79,13292,2019
F,0,,0,May,70-79,13722,2019
F,0,,0,June,70-79,13189,2019
F,0,,0,July,70-79,13494,2019
F,0,,0,August,70-79,13456,2019
F,0,,0,September,70-79,13128,2019
F,0,,0,October,70-79,13562,2019
F,0,,0,November,70-79,13172,2019
F,0,,0,December,70-79,13627,2019
F,0,,0,January,70-79,13664,2020
F,0,,0,February,70-79,12894,2020
F,0,,0,March,70-79,13801,2020
F,0,,0,April,70-79,13413,2020
F,0,,0,May,70-79,13898,2020
F,0,,0,June,70-79,13495,2020
F,0,,0,July,70-79,13919,2020
F,0,,0,August,70-79,13826,2020
F,0,,0,September,70-79,13326,2020
F,0,,0,October,70-79,13732,2020
F,0,,0,November,70-79,13191,2020
F,0,,0,December,70-79,13623,2020
F,0,,0,January,70-79,13623,2021
F,0,,0,February,70-79,12253,2021
F,0,,0,March,70-79,13368,2021
F,0,,0,April,70-79,8651,2021
F,0,,0,May,70-79,3516,2021
F,1,astrazeneca,0,May,70-79,5966,2021
F,1,astrazeneca,0,June,70-79,5234,2021
M,0,,0,January,0-4,4210,2019
M,0,,0,February,0-4,3772,2019
M,0,,0,March,0-4,4125,2019
M,0,,0,April,0-4,3895,2019
M,0,,0,May,0-4,3941,2019
M,0,,0,June,0-4,3872,2019
M,0,,0,July,0-4,4027,2019
M,0,,0,August,0-4,4074,2019
M,0,,0,September,0-4,3956,2019
M,0,,0,October,0-4,3994,2019
M,0,,0,November,0-4,3780,2019
M,0,,0,December,0-4,3838,2019
M,0,,0,January,0-4,3784,2020
M,0,,0,February,0-4,3551,2020
M,0,,0,March,0-4,3853,2020
M,0,,0,April,0-4,3850,2020
M,0,,0,May,0-4,4012,2020
M,0,,0,June,0-4,3802,2020
M,0,,0,July,0-4,3961,2020
M,0,,0,August,0-4,3955,2020
M,0,,0,September,0-4,3803,2020
M,0,,0,October,0-4,3840,2020
M,0,,0,November,0-4,3676,2020
M,0,,0,December,0-4,3656,2020
M,0,,0,January,0-4,3645,2021
M,0,,0,February,0-4,3281,2021
M,0,,0,March,0-4,3676,2021
M,0,,0,April,0-4,3502,2021
M,0,,0,May,0-4,3629,2021
M,0,,0,June,0-4,3550,2021
F,0,,0,December,0-4,3503,2020
F,0,,0,January,0-4,3475,2021
F,0,,0,February,0-4,3193,2021
F,0,,0,March,0-4,3523,2021
F,0,,0,April,0-4,3357,2021
F,0,,0,May,0-4,3565,2021
F,0,,0,June,0-4,3494,2021
F,0,,0,January,0-4,3778,2019
F,0,,0,February,0-4,3569,2019
F,0,,0,March,0-4,4048,2019
F,0,,0,April,0-4,3983,2019
F,0,,0,May,0-4,4187,2019
F,0,,0,June,0-4,4032,2019
F,0,,0,July,0-4,4132,2019
F,0,,0,August,0-4,4218,2019
F,0,,0,September,0-4,4140,2019
F,0,,0,October,0-4,4261,2019
F,0,,0,November,0-4,4006,2019
F,0,,0,December,0-4,4120,2019
F,0,,0,January,0-4,4007,2020
F,0,,0,February,0-4,3678,2020
F,0,,0,March,0-4,3937,2020
F,0,,0,April,0-4,3670,2020
