sex,ageband_at_date_vax_1,type_vax_1,history_covid,month,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b
0,50-59,Pfizer,1,2021-06,435,435,435,435,435,435,435,435,435,435,435,435,435,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,AstraZeneca,0,2021-05,5958,5958,5958,5958,5958,5958,5958,5958,5958,5958,5958,5958,5958,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,AstraZeneca,0,2021-06,5875,5875,5875,5875,5875,5875,5875,5875,5875,5875,5875,5875,5875,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,Pfizer,0,2021-05,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,Pfizer,0,2021-06,6478,6478,6478,6478,6478,6478,6478,6478,6478,6478,6478,6478,6478,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,Pfizer,1,2021-05,256,256,256,256,256,256,256,256,256,256,256,256,256,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,Pfizer,0,2021-04,558,558,558,558,558,558,558,558,558,558,558,558,558,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,Pfizer,0,2021-05,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,Pfizer,0,2021-06,3656,3656,3656,3656,3656,3656,3656,3656,3656,3656,3656,3656,3656,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,AstraZeneca,0,2021-04,109,109,109,109,109,109,109,109,109,109,109,109,109,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,AstraZeneca,0,2021-05,124,124,124,124,124,124,124,124,124,124,124,124,124,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,AstraZeneca,0,2021-06,92,92,92,92,92,92,92,92,92,92,92,92,92,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,Pfizer,0,2021-06,6165,6165,6165,6165,6165,6165,6165,6165,6165,6165,6165,6165,6165,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,AstraZeneca,0,2021-04,3690,3690,3690,3690,3690,3690,3690,3690,3690,3690,3690,3690,3690,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,Pfizer,0,2021-01,436,436,436,436,436,436,436,436,436,436,436,436,436,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,Pfizer,0,2021-02,957,957,957,957,957,957,957,957,957,957,957,957,957,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,Pfizer,0,2021-03,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,Pfizer,0,2021-04,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,Pfizer,0,2021-01,260,260,260,260,260,260,260,260,260,260,260,260,260,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,Pfizer,0,2021-02,465,465,465,465,465,465,465,465,465,465,465,465,465,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,Pfizer,0,2021-03,698,698,698,698,698,698,698,698,698,698,698,698,698,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,Pfizer,0,2021-04,750,750,750,750,750,750,750,750,750,750,750,750,750,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,Pfizer,0,2021-05,2618,2618,2618,2618,2618,2618,2618,2618,2618,2618,2618,2618,2618,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,Pfizer,0,2021-06,6414,6414,6414,6414,6414,6414,6414,6414,6414,6414,6414,6414,6414,0,0,0,0,0,0,0,0,0,0,0,0
1,30-39,Moderna,0,2021-06,615,615,615,615,615,615,615,615,615,615,615,615,615,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,Pfizer,0,2021-03,2736,2736,2736,2736,2736,2736,2736,2736,2736,2736,2736,2736,2736,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,Pfizer,0,2021-04,8501,8501,8501,8501,8480,8501,8480,8501,8501,8501,8501,8501,8501,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,Pfizer,0,2021-05,11283,11283,11283,11283,11252,11283,11252,11283,11283,11283,11283,11283,11283,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,Pfizer,0,2021-06,11017,11017,11017,11017,10987,11017,10987,11017,11017,11017,11017,11017,11017,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,Pfizer,0,2021-06,5847,5847,5847,5847,5847,5847,5847,5817,5847,5847,5847,5817,5847,0,0,0,0,0,0,0,0,0,0,0,0
1,80+,Pfizer,0,2021-01,199,199,199,199,199,199,199,199,199,199,199,199,199,0,0,0,0,0,0,0,0,0,0,0,0
1,80+,Pfizer,0,2021-02,258,258,258,258,258,258,258,258,258,258,258,258,258,0,0,0,0,0,0,0,0,0,0,0,0
1,80+,Pfizer,0,2021-03,1713,1713,1713,1713,1704,1713,1704,1713,1713,1713,1713,1713,1713,0,0,0,1,0,1,0,0,0,0,0,0
1,80+,Pfizer,0,2021-04,5907,5907,5907,5907,5902,5907,5902,5907,5907,5907,5907,5907,5907,0,0,0,0,0,0,0,0,0,0,0,0
1,80+,Pfizer,0,2021-05,8112,8112,8112,8112,8112,8112,8112,8112,8112,8112,8112,8112,8112,0,0,0,0,0,0,0,0,0,0,0,0
1,80+,Pfizer,0,2021-06,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,Pfizer,0,2021-06,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,0,0,0,0,0,0,0,0,0,0,0,0
1,40-49,Moderna,1,2021-06,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0
1,40-49,Pfizer,1,2021-06,86,86,86,86,86,86,86,86,86,86,86,86,86,0,0,0,0,0,0,0,0,0,0,0,0
1,40-49,Pfizer,0,2021-06,2937,2937,2937,2937,2937,2937,2937,2920,2937,2937,2937,2920,2937,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,Pfizer,0,2021-06,649,649,649,649,649,649,649,649,649,649,649,649,649,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,Moderna,0,2021-06,535,535,535,535,535,535,535,535,535,535,535,535,535,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,Pfizer,0,2021-06,3811,3811,3811,3811,3811,3811,3811,3811,3811,3811,3811,3811,3811,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,AstraZeneca,0,2021-05,1355,1355,1355,1355,1355,1355,1355,1355,1355,1355,1355,1355,1355,0,0,0,0,0,0,0,0,0,0,0,0
