sex,dose,type_vax,month,Ageband,Persontime,Persontime_B_COAGDIS_AESI,Persontime_B_DIC_AESI,Persontime_B_HAEMOPHAGOLYNPHOHISTIO_AESI,Persontime_B_ITP_AESI,Persontime_B_TTS_AESI,Persontime_C_ARRH_AESI,Persontime_C_CAD_AESI,Persontime_C_MYOCARD_AESI,Persontime_C_PERICARD_AESI,Persontime_D_LIVERACUTE_AESI,Persontime_D_PANCRACUTE_AESI,Persontime_E_DM1_AESI,Persontime_E_THYROIDAUTOIMM_AESI,Persontime_E_THYROIDSUBACUTE_AESI,Persontime_G_KIACUTE_AESI,Persontime_Im_KAWASAKI_AESI,Persontime_M_RHABDOMYOLISIS_AESI,Persontime_N_ADEM_AESI,Persontime_N_BELLP_AESI,Persontime_N_CONVULGEN_AESI,Persontime_N_CVST_AESI,Persontime_N_GBS_AESI,Persontime_N_HEARINGLOSS_AESI,Persontime_N_MENINGOENC_AESI,Persontime_N_MYELITISTRANSV_AESI,Persontime_N_NARCOLEPSY_AESI,Persontime_N_STROKEHEMO_AESI,Persontime_O_DEATHSUDDEN_AESI,Persontime_O_MIS_AESI,Persontime_R_ARDS_AESI,Persontime_Sk_ERYTHMULTI_AESI,Persontime_Sk_SCAR_AESI,Persontime_SO_ANOSMIAAGEUSIA_AESI,Persontime_V_CHILBLAIN_AESI,Persontime_V_MICROANGIO_AESI,Persontime_V_THROMBOSISARTERIALALGOR_AESI,Persontime_V_VASCULITISSINGLEORG_AESI,Persontime_V_VTEALGORITHM_AESI,Persontime_C_VALVULAR_COV,Persontime_D_DIVERTICULITIS_AESI,Persontime_D_GALLSTONES_COV,Persontime_D_LIVERCIRRHOSIS_COV,Persontime_E_GOUT_COV,Persontime_G_UTI_COV,Persontime_I_CLOSTRIDIUMD_COV,Persontime_I_INFLUENZA_COV,Persontime_Im_SJOGRENS_COV,Persontime_M_FRACTURES_COV,Persontime_M_OSTEOARTHRITIS_COV,Persontime_M_OSTEOMYELITIS_COV,Persontime_M_REACTIVEARTHRITIS_COV,Persontime_Ment_ORGPSYCHOSIS_COV,Persontime_N_TRIGEMINALNEURALGIA_COV,Persontime_SO_CONJUNCTIVITIS_COV,Persontime_SO_OTITISEXT_COV,Persontime_V_RENOVASCULAR_COV,B_COAGDIS_AESI_b,B_DIC_AESI_b,B_HAEMOPHAGOLYNPHOHISTIO_AESI_b,B_ITP_AESI_b,B_TTS_AESI_b,C_ARRH_AESI_b,C_CAD_AESI_b,C_MYOCARD_AESI_b,C_PERICARD_AESI_b,D_LIVERACUTE_AESI_b,D_PANCRACUTE_AESI_b,E_DM1_AESI_b,E_THYROIDAUTOIMM_AESI_b,E_THYROIDSUBACUTE_AESI_b,G_KIACUTE_AESI_b,Im_KAWASAKI_AESI_b,M_RHABDOMYOLISIS_AESI_b,N_ADEM_AESI_b,N_BELLP_AESI_b,N_CONVULGEN_AESI_b,N_CVST_AESI_b,N_GBS_AESI_b,N_HEARINGLOSS_AESI_b,N_MENINGOENC_AESI_b,N_MYELITISTRANSV_AESI_b,N_NARCOLEPSY_AESI_b,N_STROKEHEMO_AESI_b,O_DEATHSUDDEN_AESI_b,O_MIS_AESI_b,R_ARDS_AESI_b,Sk_ERYTHMULTI_AESI_b,Sk_SCAR_AESI_b,SO_ANOSMIAAGEUSIA_AESI_b,V_CHILBLAIN_AESI_b,V_MICROANGIO_AESI_b,V_THROMBOSISARTERIALALGOR_AESI_b,V_VASCULITISSINGLEORG_AESI_b,V_VTEALGORITHM_AESI_b,C_VALVULAR_COV_b,D_DIVERTICULITIS_AESI_b,D_GALLSTONES_COV_b,D_LIVERCIRRHOSIS_COV_b,E_GOUT_COV_b,G_UTI_COV_b,I_CLOSTRIDIUMD_COV_b,I_INFLUENZA_COV_b,Im_SJOGRENS_COV_b,M_FRACTURES_COV_b,M_OSTEOARTHRITIS_COV_b,M_OSTEOMYELITIS_COV_b,M_REACTIVEARTHRITIS_COV_b,Ment_ORGPSYCHOSIS_COV_b,N_TRIGEMINALNEURALGIA_COV_b,SO_CONJUNCTIVITIS_COV_b,SO_OTITISEXT_COV_b,V_RENOVASCULAR_COV_b,Persontime_Im_ANAPHYLAXIS_AESI,Im_ANAPHYLAXIS_AESI_b
F,0,,2019-01,0-4,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,3778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3778,0
F,0,,2019-01,12-17,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,5902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5902,0
F,0,,2019-01,18-24,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,6201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6201,0
F,0,,2019-01,25-29,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5770,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5832,0
F,0,,2019-01,30-39,12763,12763,12763,12763,12763,12763,12763,12763,12763,12763,12763,12763,12763,12639,12763,12763,12763,12763,12763,12763,12763,12763,12763,12763,12763,12763,12763,12763,12763,12763,12763,12763,12763,12763,12763,12763,12763,12763,12763,12763,12763,12763,12763,12763,12763,12763,12763,12763,12763,12763,12763,12763,12763,12763,12763,12763,12763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12763,0
F,0,,2019-01,40-49,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19763,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19794,19763,19794,19794,19794,19794,19794,19794,19763,19794,19794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19794,0
F,0,,2019-01,5-11,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,6917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6917,0
F,0,,2019-01,50-59,19507,19507,19507,19507,19507,19507,19476,19507,19507,19507,19507,19507,19507,19383,19507,19507,19507,19507,19507,19507,19507,19507,19507,19507,19507,19507,19507,19507,19507,19507,19507,19507,19507,19507,19507,19507,19507,19507,19466,19445,19507,19507,19507,19507,19507,19507,19507,19476,19507,19507,19507,19507,19507,19507,19476,19507,19507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19507,0
F,0,,2019-01,60-69,15275,15275,15275,15275,15275,15275,15244,15275,15275,15275,15275,15275,15275,15275,15275,15275,15275,15275,15275,15275,15275,15275,15275,15275,15275,15275,15275,15275,15275,15275,15275,15275,15275,15275,15275,15275,15275,15275,15267,15244,15275,15275,15275,15275,15275,15275,15275,15275,15275,15275,15275,15275,15275,15275,15275,15275,15275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15275,0
F,0,,2019-01,70-79,13613,13613,13613,13613,13613,13613,13520,13613,13613,13613,13613,13613,13613,13613,13613,13613,13613,13613,13613,13613,13613,13613,13613,13613,13613,13613,13613,13613,13613,13613,13613,13613,13613,13613,13613,13613,13613,13613,13529,13613,13613,13613,13613,13613,13613,13613,13613,13613,13613,13613,13613,13613,13613,13613,13613,13613,13613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13613,0
