"",Parameters,IT-ARS,IT-ARS
"","",N,%
AstraZeneca dose 1,Persons,699,17.6%
AstraZeneca dose 2,Persons,322,46.1%
Other vaccine dose 2,Persons,11,1.6%
Amongst persons with AstraZeneca dose 2 distance,Min,64,""
Amongst persons with AstraZeneca dose 2 distance,P25,82,""
Amongst persons with AstraZeneca dose 2 distance,P50,84,""
Amongst persons with AstraZeneca dose 2 distance,P75,85,""
Amongst persons with AstraZeneca dose 2 distance,Max,89,""
Janssen dose 1,Persons,118,3%
Janssen dose 2,Persons,0,0%
Other vaccine dose 2,Persons,1,0.8%
Moderna dose 1,Persons,414,10.4%
Moderna dose 2,Persons,197,47.6%
Other vaccine dose 2,Persons,0,0%
Amongst persons with Moderna dose 2 distance,Min,23,""
Amongst persons with Moderna dose 2 distance,P25,27,""
Amongst persons with Moderna dose 2 distance,P50,28,""
Amongst persons with Moderna dose 2 distance,P75,31,""
Amongst persons with Moderna dose 2 distance,Max,46,""
Pfizer dose 1,Persons,2740,69%
Pfizer dose 2,Persons,1176,42.9%
Other vaccine dose 2,Persons,2,0.1%
Amongst persons with Pfizer dose 2 distance,Min,16,""
Amongst persons with Pfizer dose 2 distance,P25,20,""
Amongst persons with Pfizer dose 2 distance,P50,21,""
Amongst persons with Pfizer dose 2 distance,P75,23,""
Amongst persons with Pfizer dose 2 distance,Max,110,""
