 ,Parameters,Pfizer,perc_Pfizer,Moderna,perc_Moderna,AstraZeneca,perc_AstraZeneca
"","",N,%,N,%,N,%
Study population,N,1202,69.4%,198,11.4%,331,19.1%
Person-years of follow-up after second dose,PY,220,82.7%,26,9.8%,20,7.5%
Month of second vaccination,"",1,"",2,"",5,""
2021 January,N,54,4.5%,0,0%,0,0%
2021 February,N,70,5.8%,5,2.5%,0,0%
2021 March,N,160,13.3%,10,5.1%,0,0%
2021 April,N,286,23.8%,54,27.3%,0,0%
2021 May,N,456,37.9%,56,28.3%,120,36.3%
2021 June,N,176,14.6%,73,36.9%,211,63.7%
Age in years,Min,15,"",18,"",23,""
Age in years,P25,61,"",48,"",48,""
Age in years,P50,77,"",63,"",71,""
Age in years,Mean,71,"",57,"",62,""
Age in years,P75,84,"",70,"",76,""
Age in years,Max,99,"",83,"",80,""
Person years across sex,Female,130,59.4%,11,40.7%,13,65%
Person years across sex,Male,89,40.6%,16,59.3%,7,35%
