 ,Parameters,Italy_ARS,perc_Italy_ARS
"","",N,%
Study population,N,32,""
Person years of follow-up,PY,15,""
Month of first diagnosis,2020-04,1,3.1
Month of first diagnosis,2020-10,1,3.1
Month of first diagnosis,2020-11,4,12.5
Month of first diagnosis,2020-12,11,34.4
Month of first diagnosis,2021-01,6,18.8
Month of first diagnosis,2021-02,5,15.6
Month of first diagnosis,2021-03,3,9.4
Month of first diagnosis,2021-04,1,3.1
Age in years,Min,2,""
Age in years,P25,8,""
Age in years,P50,12,""
Age in years,Mean,11,""
Age in years,P75,13,""
Age in years,Max,17,""
Age in categories,0-4,2,6.2%
Age in categories,5-11,12,37.5%
Age in categories,12-17,18,56.2%
Age in categories,18-24,0,0%
Age in categories,25-29,0,0%
Age in categories,30-39,0,0%
Age in categories,40-49,0,0%
Age in categories,50-59,0,0%
Age in categories,60-69,0,0%
Age in categories,70-79,0,0%
Age in categories,80+,0,0%
Person years across age categories,0-4,1,6.7%
Person years across age categories,5-11,9,60%
Person years across age categories,12-17,6,40%
At risk population at first covid diagnosis,Cardiovascular disease,0,0%
At risk population at first covid diagnosis,Cancer,0,0%
At risk population at first covid diagnosis,Chronic lung disease,5,15.6%
At risk population at first covid diagnosis,HIV,0,0%
At risk population at first covid diagnosis,Chronic kidney disease,0,0%
At risk population at first covid diagnosis,Diabetes,0,0%
At risk population at first covid diagnosis,Severe obesity,0,0%
At risk population at first covid diagnosis,Sickle cell disease,0,0%
At risk population at first covid diagnosis,Use of immunosuppressants,0,0%
At risk population at first covid diagnosis,Any risk factors,5,15.6%
