 ,Parameters,Italy_ARS,perc_Italy_ARS
"","",N,%
Study population,N,1189,""
Person years of follow-up,PY,1638,""
Age in years,Min,0,""
Age in years,P25,5,""
Age in years,P50,9,""
Age in years,Mean,9,""
Age in years,P75,13,""
Age in years,Max,17,""
Age in categories,0-4,255,21.4%
Age in categories,5-11,498,41.9%
Age in categories,12-17,436,36.7%
Person years across age categories,Followup_0-4,367,22.4%
Person years across age categories,Followup_5-11,722,44.1%
Person years across age categories,Followup_12-17,549,33.5%
Person years across sex,Male,735,44.9%
Person years across sex,Female,903,55.1%
At risk population at January 1-2020,Cardiovascular disease,0,0%
At risk population at January 1-2020,Cancer,1,0.1%
At risk population at January 1-2020,Chronic lung disease,4,0.3%
At risk population at January 1-2020,HIV,0,0%
At risk population at January 1-2020,Chronic kidney disease,1,0.1%
At risk population at January 1-2020,Diabetes,0,0%
At risk population at January 1-2020,Severe obesity,0,0%
At risk population at January 1-2020,Sickle cell disease,1,0.1%
At risk population at January 1-2020,Use of immunosuppressants,0,0%
At risk population at January 1-2020,Any risk factors,7,0.6%
