DAP,AESI,Month in 2020,Person years,IR narrow,LL narrow,UL narrow
TEST,MYOCARD_narrow,January,0,0,0,556.2
TEST,MYOCARD_narrow,February,1,161.72,4.09,901.07
TEST,MYOCARD_narrow,March,0,0,0,559.49
TEST,MYOCARD_narrow,April,0,0,0,580.29
TEST,MYOCARD_narrow,May,0,0,0,563.57
TEST,MYOCARD_narrow,June,0,0,0,584.65
TEST,MYOCARD_narrow,July,0,0,0,567.48
TEST,MYOCARD_narrow,August,0,0,0,569.2
TEST,MYOCARD_narrow,September,0,0,0,590.32
TEST,MYOCARD_narrow,October,0,0,0,573.67
TEST,MYOCARD_narrow,November,0,0,0,596.09
TEST,MYOCARD_narrow,December,0,0,0,582.19
TEST,PERICARD_narrow,January,0,0,0,556.2
TEST,PERICARD_narrow,February,1,161.72,4.09,901.07
TEST,PERICARD_narrow,March,0,0,0,559.49
TEST,PERICARD_narrow,April,0,0,0,580.29
TEST,PERICARD_narrow,May,0,0,0,563.57
TEST,PERICARD_narrow,June,0,0,0,584.65
TEST,PERICARD_narrow,July,0,0,0,567.48
TEST,PERICARD_narrow,August,0,0,0,569.2
TEST,PERICARD_narrow,September,0,0,0,590.32
TEST,PERICARD_narrow,October,0,0,0,573.67
TEST,PERICARD_narrow,November,0,0,0,596.09
TEST,PERICARD_narrow,December,0,0,0,582.19
TEST,MIS_KD_narrow,January,0,0,0,555.99
TEST,MIS_KD_narrow,February,0,0,0,596.29
TEST,MIS_KD_narrow,March,0,0,0,559.2
TEST,MIS_KD_narrow,April,0,0,0,579.99
TEST,MIS_KD_narrow,May,0,0,0,563.28
TEST,MIS_KD_narrow,June,0,0,0,584.34
TEST,MIS_KD_narrow,July,0,0,0,567.18
TEST,MIS_KD_narrow,August,0,0,0,568.9
TEST,MIS_KD_narrow,September,0,0,0,590.01
TEST,MIS_KD_narrow,October,0,0,0,573.37
TEST,MIS_KD_narrow,November,0,0,0,595.77
TEST,MIS_KD_narrow,December,0,0,0,581.88
