DAP,AESI,Sex,Age in 2020,Person years,IR narrow,LL narrow,UL narrow
TEST,MIS_KD_narrow,Female,0-4,0,0,0,744399.57
TEST,MIS_KD_narrow,Male,0-4,0,0,0,670329.96
TEST,MIS_KD_narrow,Female,5-11,0,0,0,79725.63
TEST,MIS_KD_narrow,Male,5-11,0,0,0,393965.85
TEST,MIS_KD_narrow,Female,12-17,0,0,0,136372.8
TEST,MIS_KD_narrow,Male,12-17,0,0,0,62377.93
TEST,MIS_KD_narrow,Female,18-24,0,0,0,91782.24
TEST,MIS_KD_narrow,Male,18-24,0,0,0,52817.06
TEST,MIS_KD_narrow,Female,25-29,0,0,0,87095.23
TEST,MIS_KD_narrow,Male,25-29,0,0,0,127470.5
TEST,MIS_KD_narrow,Female,30-39,0,0,0,60692.04
TEST,MIS_KD_narrow,Male,30-39,0,0,0,43830.94
TEST,MIS_KD_narrow,Female,40-49,0,0,0,37826.03
TEST,MIS_KD_narrow,Male,40-49,0,0,0,73666.66
TEST,MIS_KD_narrow,Female,50-59,0,0,0,36974.84
TEST,MIS_KD_narrow,Male,50-59,0,0,0,43323.58
TEST,MIS_KD_narrow,Female,60-69,0,0,0,46205.87
TEST,MIS_KD_narrow,Male,60-69,0,0,0,88293.79
TEST,MIS_KD_narrow,Female,70-79,0,0,0,209869.66
TEST,MIS_KD_narrow,Male,70-79,0,0,0,365139.08
TEST,MIS_KD_narrow,Female,80+,0,0,0,80439.6
TEST,MIS_KD_narrow,Male,80+,0,0,0,200799.29
TEST,MYOCARD_narrow,Female,0-4,0,0,0,744399.57
TEST,MYOCARD_narrow,Male,0-4,0,0,0,670329.96
TEST,MYOCARD_narrow,Female,5-11,0,0,0,79725.63
TEST,MYOCARD_narrow,Male,5-11,0,0,0,393965.85
TEST,MYOCARD_narrow,Female,12-17,0,0,0,136372.8
TEST,MYOCARD_narrow,Male,12-17,0,0,0,62377.93
TEST,MYOCARD_narrow,Female,18-24,0,0,0,91782.24
TEST,MYOCARD_narrow,Male,18-24,0,0,0,52817.06
TEST,MYOCARD_narrow,Female,25-29,0,0,0,87095.23
TEST,MYOCARD_narrow,Male,25-29,0,0,0,127470.5
TEST,MYOCARD_narrow,Female,30-39,0,0,0,60692.04
TEST,MYOCARD_narrow,Male,30-39,0,0,0,43830.94
TEST,MYOCARD_narrow,Female,40-49,0,0,0,37826.03
TEST,MYOCARD_narrow,Male,40-49,0,0,0,73666.66
TEST,MYOCARD_narrow,Female,50-59,0,0,0,36974.84
TEST,MYOCARD_narrow,Male,50-59,0,0,0,43323.58
TEST,MYOCARD_narrow,Female,60-69,0,0,0,46205.87
TEST,MYOCARD_narrow,Male,60-69,1,25120.36,635.99,139961.67
TEST,MYOCARD_narrow,Female,70-79,0,0,0,209869.66
TEST,MYOCARD_narrow,Male,70-79,0,0,0,365139.08
TEST,MYOCARD_narrow,Female,80+,0,0,0,80439.6
TEST,MYOCARD_narrow,Male,80+,0,0,0,200799.29
TEST,PERICARD_narrow,Female,0-4,0,0,0,744399.57
TEST,PERICARD_narrow,Male,0-4,0,0,0,670329.96
TEST,PERICARD_narrow,Female,5-11,0,0,0,79725.63
TEST,PERICARD_narrow,Male,5-11,0,0,0,393965.85
TEST,PERICARD_narrow,Female,12-17,0,0,0,136372.8
TEST,PERICARD_narrow,Male,12-17,0,0,0,62377.93
TEST,PERICARD_narrow,Female,18-24,0,0,0,91782.24
TEST,PERICARD_narrow,Male,18-24,0,0,0,52817.06
TEST,PERICARD_narrow,Female,25-29,0,0,0,87095.23
TEST,PERICARD_narrow,Male,25-29,0,0,0,127470.5
TEST,PERICARD_narrow,Female,30-39,0,0,0,60692.04
TEST,PERICARD_narrow,Male,30-39,0,0,0,43830.94
TEST,PERICARD_narrow,Female,40-49,0,0,0,37826.03
TEST,PERICARD_narrow,Male,40-49,0,0,0,73666.66
TEST,PERICARD_narrow,Female,50-59,0,0,0,36974.84
TEST,PERICARD_narrow,Male,50-59,0,0,0,43323.58
TEST,PERICARD_narrow,Female,60-69,0,0,0,46205.87
TEST,PERICARD_narrow,Male,60-69,1,25120.36,635.99,139961.67
TEST,PERICARD_narrow,Female,70-79,0,0,0,209869.66
TEST,PERICARD_narrow,Male,70-79,0,0,0,365139.08
TEST,PERICARD_narrow,Female,80+,0,0,0,80439.6
TEST,PERICARD_narrow,Male,80+,0,0,0,200799.29
