DAP,AESI,Sex,Age in 2020,history_covid,Person years,IR narrow,LL narrow,UL narrow
TEST,MIS_KD_narrow,Female,18-24,0,0,0,0,623779.27
TEST,MIS_KD_narrow,Male,18-24,0,0,0,0,357390.77
TEST,MIS_KD_narrow,Female,25-29,0,0,0,0,106426.79
TEST,MIS_KD_narrow,Male,25-29,0,0,0,0,335164.98
TEST,MIS_KD_narrow,Female,30-39,0,0,0,0,50805.55
TEST,MIS_KD_narrow,Male,30-39,0,0,0,0,126039.59
TEST,MIS_KD_narrow,Female,40-49,0,0,0,0,25255.17
TEST,MIS_KD_narrow,Female,40-49,1,0,0,0,1060915.92
TEST,MIS_KD_narrow,Male,40-49,0,0,0,0,45289.52
TEST,MIS_KD_narrow,Female,50-59,0,0,0,0,28461.41
TEST,MIS_KD_narrow,Female,50-59,1,0,0,0,1192356.83
TEST,MIS_KD_narrow,Male,50-59,0,0,0,0,37364.48
TEST,MIS_KD_narrow,Male,50-59,1,0,0,0,552198.04
TEST,MIS_KD_narrow,Female,60-69,0,0,0,0,30122.14
TEST,MIS_KD_narrow,Female,60-69,1,0,0,0,1604003.83
TEST,MIS_KD_narrow,Male,60-69,0,0,0,0,37551.93
TEST,MIS_KD_narrow,Male,60-69,1,0,0,0,2994140.49
TEST,MIS_KD_narrow,Female,70-79,0,0,0,0,8567.74
TEST,MIS_KD_narrow,Female,70-79,1,0,0,0,632564.89
TEST,MIS_KD_narrow,Male,70-79,0,0,0,0,11756.07
TEST,MIS_KD_narrow,Male,70-79,1,0,0,0,1566701.42
TEST,MYOCARD_narrow,Female,18-24,0,0,0,0,623779.27
TEST,MYOCARD_narrow,Male,18-24,0,0,0,0,357390.77
TEST,MYOCARD_narrow,Female,25-29,0,0,0,0,106426.79
TEST,MYOCARD_narrow,Male,25-29,0,0,0,0,335164.98
TEST,MYOCARD_narrow,Female,30-39,0,0,0,0,50805.55
TEST,MYOCARD_narrow,Male,30-39,0,0,0,0,126039.59
TEST,MYOCARD_narrow,Female,40-49,0,0,0,0,25255.17
TEST,MYOCARD_narrow,Female,40-49,1,0,0,0,1060915.92
TEST,MYOCARD_narrow,Male,40-49,0,0,0,0,45289.52
TEST,MYOCARD_narrow,Female,50-59,0,0,0,0,28461.41
TEST,MYOCARD_narrow,Female,50-59,1,0,0,0,1192356.83
TEST,MYOCARD_narrow,Male,50-59,0,0,0,0,37364.48
TEST,MYOCARD_narrow,Male,50-59,1,0,0,0,552198.04
TEST,MYOCARD_narrow,Female,60-69,0,0,0,0,30122.14
TEST,MYOCARD_narrow,Female,60-69,1,0,0,0,1604003.83
TEST,MYOCARD_narrow,Male,60-69,0,0,0,0,37551.93
TEST,MYOCARD_narrow,Male,60-69,1,0,0,0,2994140.49
TEST,MYOCARD_narrow,Female,70-79,0,0,0,0,8567.74
TEST,MYOCARD_narrow,Female,70-79,1,0,0,0,632564.89
TEST,MYOCARD_narrow,Male,70-79,0,0,0,0,11756.07
TEST,MYOCARD_narrow,Male,70-79,1,0,0,0,1566701.42
TEST,PERICARD_narrow,Female,18-24,0,0,0,0,623779.27
TEST,PERICARD_narrow,Male,18-24,0,0,0,0,357390.77
TEST,PERICARD_narrow,Female,25-29,0,0,0,0,106426.79
TEST,PERICARD_narrow,Male,25-29,0,0,0,0,335164.98
TEST,PERICARD_narrow,Female,30-39,0,0,0,0,50805.55
TEST,PERICARD_narrow,Male,30-39,0,0,0,0,126039.59
TEST,PERICARD_narrow,Female,40-49,0,0,0,0,25255.17
TEST,PERICARD_narrow,Female,40-49,1,0,0,0,1060915.92
TEST,PERICARD_narrow,Male,40-49,0,0,0,0,45289.52
TEST,PERICARD_narrow,Female,50-59,0,0,0,0,28461.41
TEST,PERICARD_narrow,Female,50-59,1,0,0,0,1192356.83
TEST,PERICARD_narrow,Male,50-59,0,0,0,0,37364.48
TEST,PERICARD_narrow,Male,50-59,1,0,0,0,552198.04
TEST,PERICARD_narrow,Female,60-69,0,0,0,0,30122.14
TEST,PERICARD_narrow,Female,60-69,1,0,0,0,1604003.83
TEST,PERICARD_narrow,Male,60-69,0,0,0,0,37551.93
TEST,PERICARD_narrow,Male,60-69,1,0,0,0,2994140.49
TEST,PERICARD_narrow,Female,70-79,0,0,0,0,8567.74
TEST,PERICARD_narrow,Female,70-79,1,0,0,0,632564.89
TEST,PERICARD_narrow,Male,70-79,0,0,0,0,11756.07
TEST,PERICARD_narrow,Male,70-79,1,0,0,0,1566701.42
