DAP,AESI,Sex,Age in 2020,history_covid,Person years,IR narrow,LL narrow,UL narrow
TEST,MIS_KD_narrow,Female,18-24,0,0,0,0,168842.51
TEST,MIS_KD_narrow,Male,18-24,0,0,0,0,235553.01
TEST,MIS_KD_narrow,Female,25-29,0,0,0,0,396283.3
TEST,MIS_KD_narrow,Male,25-29,0,0,0,0,381689.3
TEST,MIS_KD_narrow,Female,30-39,0,0,0,0,151559.42
TEST,MIS_KD_narrow,Male,30-39,0,0,0,0,128320.31
TEST,MIS_KD_narrow,Female,40-49,0,0,0,0,141529.75
TEST,MIS_KD_narrow,Female,40-49,1,0,0,0,1320944.33
TEST,MIS_KD_narrow,Male,40-49,1,0,0,0,11228026.84
TEST,MIS_KD_narrow,Male,40-49,0,0,0,0,88759.11
TEST,MIS_KD_narrow,Female,50-59,0,0,0,0,54482.94
TEST,MIS_KD_narrow,Female,50-59,1,0,0,0,1663411.38
TEST,MIS_KD_narrow,Male,50-59,0,0,0,0,48466.3
TEST,MIS_KD_narrow,Female,60-69,0,0,0,0,60939.09
TEST,MIS_KD_narrow,Female,60-69,1,0,0,0,1213840.74
TEST,MIS_KD_narrow,Male,60-69,0,0,0,0,52983.22
TEST,MIS_KD_narrow,Female,70-79,0,0,0,0,82660.32
TEST,MIS_KD_narrow,Male,70-79,0,0,0,0,47610.01
TEST,MIS_KD_narrow,Male,70-79,1,0,0,0,1464525.24
TEST,MIS_KD_narrow,Female,80+,0,0,0,0,463011.42
TEST,MIS_KD_narrow,Male,80+,0,0,0,0,831705.69
TEST,MYOCARD_narrow,Female,18-24,0,0,0,0,168842.51
TEST,MYOCARD_narrow,Male,18-24,0,0,0,0,235553.01
TEST,MYOCARD_narrow,Female,25-29,0,0,0,0,396283.3
TEST,MYOCARD_narrow,Male,25-29,0,0,0,0,381689.3
TEST,MYOCARD_narrow,Female,30-39,0,0,0,0,151559.42
TEST,MYOCARD_narrow,Male,30-39,0,0,0,0,128320.31
TEST,MYOCARD_narrow,Female,40-49,0,0,0,0,141529.75
TEST,MYOCARD_narrow,Female,40-49,1,0,0,0,1320944.33
TEST,MYOCARD_narrow,Male,40-49,1,0,0,0,11228026.84
TEST,MYOCARD_narrow,Male,40-49,0,0,0,0,88759.11
TEST,MYOCARD_narrow,Female,50-59,0,0,0,0,54482.94
TEST,MYOCARD_narrow,Female,50-59,1,0,0,0,1663411.38
TEST,MYOCARD_narrow,Male,50-59,0,0,0,0,48888.36
TEST,MYOCARD_narrow,Female,60-69,0,0,0,0,60939.09
TEST,MYOCARD_narrow,Female,60-69,1,0,0,0,1213840.74
TEST,MYOCARD_narrow,Male,60-69,0,0,0,0,52983.22
TEST,MYOCARD_narrow,Female,70-79,0,0,0,0,82660.32
TEST,MYOCARD_narrow,Male,70-79,0,0,0,0,47610.01
TEST,MYOCARD_narrow,Male,70-79,1,0,0,0,1464525.24
TEST,MYOCARD_narrow,Female,80+,0,0,0,0,463011.42
TEST,MYOCARD_narrow,Male,80+,0,0,0,0,831705.69
TEST,PERICARD_narrow,Female,18-24,0,0,0,0,168842.51
TEST,PERICARD_narrow,Male,18-24,0,0,0,0,235553.01
TEST,PERICARD_narrow,Female,25-29,0,0,0,0,396283.3
TEST,PERICARD_narrow,Male,25-29,0,0,0,0,381689.3
TEST,PERICARD_narrow,Female,30-39,0,0,0,0,151559.42
TEST,PERICARD_narrow,Male,30-39,0,0,0,0,128320.31
TEST,PERICARD_narrow,Female,40-49,0,0,0,0,141529.75
TEST,PERICARD_narrow,Female,40-49,1,0,0,0,1320944.33
TEST,PERICARD_narrow,Male,40-49,1,0,0,0,11228026.84
TEST,PERICARD_narrow,Male,40-49,0,0,0,0,88759.11
TEST,PERICARD_narrow,Female,50-59,0,0,0,0,54482.94
TEST,PERICARD_narrow,Female,50-59,1,0,0,0,1663411.38
TEST,PERICARD_narrow,Male,50-59,0,0,0,0,48888.36
TEST,PERICARD_narrow,Female,60-69,0,0,0,0,60939.09
TEST,PERICARD_narrow,Female,60-69,1,0,0,0,1213840.74
TEST,PERICARD_narrow,Male,60-69,0,0,0,0,52983.22
TEST,PERICARD_narrow,Female,70-79,0,0,0,0,82660.32
TEST,PERICARD_narrow,Male,70-79,0,0,0,0,47610.01
TEST,PERICARD_narrow,Male,70-79,1,0,0,0,1464525.24
TEST,PERICARD_narrow,Female,80+,0,0,0,0,463011.42
TEST,PERICARD_narrow,Male,80+,0,0,0,0,831705.69
