DAP,AESI,Sex,Age in 2020,history_covid,Person years,IR narrow,LL narrow,UL narrow
TEST,MIS_KD_narrow,Female,12-17,0,0,0,0,549944.17
TEST,MIS_KD_narrow,Female,12-17,1,0,0,0,33684080.52
TEST,MIS_KD_narrow,Male,12-17,0,0,0,0,797256.34
TEST,MIS_KD_narrow,Male,12-17,1,0,0,0,26947264.41
TEST,MIS_KD_narrow,Female,18-24,0,0,0,0,64652.75
TEST,MIS_KD_narrow,Female,18-24,1,0,0,0,3368408.05
TEST,MIS_KD_narrow,Male,18-24,0,0,0,0,102305.48
TEST,MIS_KD_narrow,Male,18-24,1,0,0,0,3062189.14
TEST,MIS_KD_narrow,Female,25-29,0,0,0,0,61862.41
TEST,MIS_KD_narrow,Female,25-29,1,0,0,0,499023.42
TEST,MIS_KD_narrow,Male,25-29,0,0,0,0,71744.58
TEST,MIS_KD_narrow,Male,25-29,1,0,0,0,2406005.75
TEST,MIS_KD_narrow,Female,30-39,0,0,0,0,28969.32
TEST,MIS_KD_narrow,Female,30-39,1,0,0,0,2105255.03
TEST,MIS_KD_narrow,Male,30-39,0,0,0,0,43859.48
TEST,MIS_KD_narrow,Male,30-39,1,0,0,0,716682.56
TEST,MIS_KD_narrow,Female,40-49,0,0,0,0,14924.27
TEST,MIS_KD_narrow,Female,40-49,1,0,0,0,294827.84
TEST,MIS_KD_narrow,Male,40-49,1,0,0,0,778822.67
TEST,MIS_KD_narrow,Male,40-49,0,0,0,0,29328.76
TEST,MIS_KD_narrow,Female,50-59,1,0,0,0,125452.81
TEST,MIS_KD_narrow,Female,50-59,0,0,0,0,9841.23
TEST,MIS_KD_narrow,Male,50-59,0,0,0,0,14547.22
TEST,MIS_KD_narrow,Male,50-59,1,0,0,0,635548.69
TEST,MIS_KD_narrow,Female,60-69,0,0,0,0,13058.38
TEST,MIS_KD_narrow,Female,60-69,1,0,0,0,389411.34
TEST,MIS_KD_narrow,Male,60-69,0,0,0,0,12024.66
TEST,MIS_KD_narrow,Male,60-69,1,0,0,0,732262.62
TEST,MIS_KD_narrow,Female,70-79,0,0,0,0,15262.38
TEST,MIS_KD_narrow,Female,70-79,1,0,0,0,687430.21
TEST,MIS_KD_narrow,Male,70-79,0,0,0,0,18597.15
TEST,MIS_KD_narrow,Female,80+,0,0,0,0,3950.05
TEST,MIS_KD_narrow,Female,80+,1,0,0,0,204766.45
TEST,MIS_KD_narrow,Male,80+,0,0,0,0,5618.7
TEST,MIS_KD_narrow,Male,80+,1,0,0,0,288514.61
TEST,MYOCARD_narrow,Female,12-17,0,0,0,0,549944.17
TEST,MYOCARD_narrow,Female,12-17,1,0,0,0,33684080.52
TEST,MYOCARD_narrow,Male,12-17,0,0,0,0,797256.34
TEST,MYOCARD_narrow,Male,12-17,1,0,0,0,26947264.41
TEST,MYOCARD_narrow,Female,18-24,0,0,0,0,64652.75
TEST,MYOCARD_narrow,Female,18-24,1,0,0,0,3368408.05
TEST,MYOCARD_narrow,Male,18-24,0,0,0,0,102305.48
TEST,MYOCARD_narrow,Male,18-24,1,0,0,0,3062189.14
TEST,MYOCARD_narrow,Female,25-29,0,0,0,0,61862.41
TEST,MYOCARD_narrow,Female,25-29,1,0,0,0,499023.42
TEST,MYOCARD_narrow,Male,25-29,0,0,0,0,71744.58
TEST,MYOCARD_narrow,Male,25-29,1,0,0,0,2406005.75
TEST,MYOCARD_narrow,Female,30-39,0,0,0,0,28969.32
TEST,MYOCARD_narrow,Female,30-39,1,0,0,0,2105255.03
TEST,MYOCARD_narrow,Male,30-39,0,0,0,0,43859.48
TEST,MYOCARD_narrow,Male,30-39,1,0,0,0,716682.56
TEST,MYOCARD_narrow,Female,40-49,0,0,0,0,14924.27
TEST,MYOCARD_narrow,Female,40-49,1,0,0,0,294827.84
TEST,MYOCARD_narrow,Male,40-49,1,0,0,0,778822.67
TEST,MYOCARD_narrow,Male,40-49,0,0,0,0,29437.69
TEST,MYOCARD_narrow,Female,50-59,1,0,0,0,125452.81
TEST,MYOCARD_narrow,Female,50-59,0,0,0,0,9841.23
TEST,MYOCARD_narrow,Male,50-59,0,0,0,0,14607.15
TEST,MYOCARD_narrow,Male,50-59,1,0,0,0,635548.69
TEST,MYOCARD_narrow,Female,60-69,0,0,0,0,13058.38
TEST,MYOCARD_narrow,Female,60-69,1,0,0,0,389411.34
TEST,MYOCARD_narrow,Male,60-69,0,0,0,0,12024.66
TEST,MYOCARD_narrow,Male,60-69,1,0,0,0,816583.77
TEST,MYOCARD_narrow,Female,70-79,0,0,0,0,15262.38
TEST,MYOCARD_narrow,Female,70-79,1,0,0,0,687430.21
TEST,MYOCARD_narrow,Male,70-79,0,0,0,0,18597.15
