 ,Parameters,Pfizer,perc_Pfizer,Moderna,perc_Moderna
"","",N,%,N,%
Study population,N,44,97.8%,1,2.2%
Person-years of follow-up,PY,1,100%,0,0%
Month of first vaccination,"",4,"",6,""
2021 April,N,2,4.5%,0,0%
2021 May,N,1,2.3%,0,0%
2021 June,N,41,93.2%,1,100%
Age in years,Min,15,"",17,""
Age in years,P25,16,"",17,""
Age in years,P50,17,"",17,""
Age in years,Mean,16,"",17,""
Age in years,P75,17,"",17,""
Age in years,Max,17,"",17,""
Age in categories,12-17,44,100%,1,100%
Person years across age categories,12-17,1,100%,0,NaN%
Person years across sex,Female,1,100%,0,NaN%
Person years across sex,Male,0,0%,0,NaN%
COVID-19 diagnosis/test in past year,"N, %",2,4.5%,0,0%
At risk population at date of vaccination,Cardiovascular disease,4,9.1%,0,0%
At risk population at date of vaccination,Cancer,1,2.3%,0,0%
At risk population at date of vaccination,Chronic lung disease,6,13.6%,0,0%
At risk population at date of vaccination,HIV,0,0%,0,0%
At risk population at date of vaccination,Chronic kidney disease,0,0%,0,0%
At risk population at date of vaccination,Diabetes,0,0%,0,0%
At risk population at date of vaccination,Severe obesity,0,0%,0,0%
At risk population at date of vaccination,Sickle cell disease,0,0%,0,0%
At risk population at date of vaccination,Use of immunosuppressants,2,4.5%,0,0%
At risk population at date of vaccination,Any risk factors,8,18.2%,0,0%
