DAP,AESI/NCO,Coding system,Code,Meaning,Count
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,325,hospitalisation_primary,2
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,43401,hospitalisation_primary,12
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,41041,hospitalisation_primary,4
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,41011,hospitalisation_primary,2
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,41071,hospitalisation_primary,15
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,43411,hospitalisation_primary,9
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,434,exemption,3
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,43311,hospitalisation_primary,4
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,43311,hospitalisation_secondary,3
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,41000,hospitalisation_primary,1
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,41002,hospitalisation_secondary,1
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,43400,hospitalisation_primary,3
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,41042,hospitalisation_primary,1
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,43391,hospitalisation_primary,1
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,452,hospitalisation_secondary,4
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,41090,hospitalisation_primary,1
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,43401,hospitalisation_secondary,3
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,45111,hospitalisation_secondary,2
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,43491,hospitalisation_primary,4
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,41050,hospitalisation_primary,1
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,431,hospitalisation_primary,13
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,41031,hospitalisation_primary,3
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,41001,hospitalisation_primary,3
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,43491,hospitalisation_secondary,1
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,4538,hospitalisation_secondary,2
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,41090,hospitalisation_secondary,2
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,2874,hospitalisation_secondary,1
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,431,hospitalisation_secondary,3
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,45119,hospitalisation_secondary,2
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,45342,hospitalisation_secondary,4
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,28731,hospitalisation_primary,1
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,41010,hospitalisation_secondary,2
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,43411,hospitalisation_secondary,1
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,41022,hospitalisation_secondary,2
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,41021,hospitalisation_primary,2
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,43381,hospitalisation_secondary,1
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,45184,hospitalisation_secondary,1
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,453,exemption,2
TEST_HOSP,B_COAGDIS_AESI,ICD9CM,45341,hospitalisation_secondary,2
TEST_HOSP,B_ITP_AESI,ICD9CM,28731,hospitalisation_primary,1
TEST_HOSP,B_TTS_AESI,ICD9CM,325,hospitalisation_primary,4
TEST_HOSP,B_TTS_AESI,ICD9CM,43401,hospitalisation_primary,16
TEST_HOSP,B_TTS_AESI,ICD9CM,41041,hospitalisation_primary,4
TEST_HOSP,B_TTS_AESI,ICD9CM,41011,hospitalisation_primary,2
TEST_HOSP,B_TTS_AESI,ICD9CM,41071,hospitalisation_primary,15
TEST_HOSP,B_TTS_AESI,ICD9CM,434,exemption,3
TEST_HOSP,B_TTS_AESI,ICD9CM,43411,hospitalisation_primary,9
TEST_HOSP,B_TTS_AESI,ICD9CM,43311,hospitalisation_primary,8
TEST_HOSP,B_TTS_AESI,ICD9CM,43311,hospitalisation_secondary,6
TEST_HOSP,B_TTS_AESI,ICD9CM,41000,hospitalisation_primary,1
TEST_HOSP,B_TTS_AESI,ICD9CM,41002,hospitalisation_secondary,1
TEST_HOSP,B_TTS_AESI,ICD9CM,43400,hospitalisation_primary,3
TEST_HOSP,B_TTS_AESI,ICD9CM,41042,hospitalisation_primary,1
TEST_HOSP,B_TTS_AESI,ICD9CM,43391,hospitalisation_primary,1
TEST_HOSP,B_TTS_AESI,ICD9CM,452,hospitalisation_secondary,8
TEST_HOSP,B_TTS_AESI,ICD9CM,41090,hospitalisation_primary,1
TEST_HOSP,B_TTS_AESI,ICD9CM,43401,hospitalisation_secondary,4
TEST_HOSP,B_TTS_AESI,ICD9CM,45111,hospitalisation_secondary,2
TEST_HOSP,B_TTS_AESI,ICD9CM,43491,hospitalisation_primary,6
TEST_HOSP,B_TTS_AESI,ICD9CM,41050,hospitalisation_primary,1
TEST_HOSP,B_TTS_AESI,ICD9CM,41031,hospitalisation_primary,3
TEST_HOSP,B_TTS_AESI,ICD9CM,41001,hospitalisation_primary,3
TEST_HOSP,B_TTS_AESI,ICD9CM,43491,hospitalisation_secondary,1
TEST_HOSP,B_TTS_AESI,ICD9CM,4538,hospitalisation_secondary,4
TEST_HOSP,B_TTS_AESI,ICD9CM,41090,hospitalisation_secondary,4
TEST_HOSP,B_TTS_AESI,ICD9CM,45119,hospitalisation_secondary,2
TEST_HOSP,B_TTS_AESI,ICD9CM,45342,hospitalisation_secondary,10
TEST_HOSP,B_TTS_AESI,ICD9CM,41010,hospitalisation_secondary,4
TEST_HOSP,B_TTS_AESI,ICD9CM,43411,hospitalisation_secondary,1
TEST_HOSP,B_TTS_AESI,ICD9CM,41022,hospitalisation_secondary,6
TEST_HOSP,B_TTS_AESI,ICD9CM,41021,hospitalisation_primary,2
TEST_HOSP,B_TTS_AESI,ICD9CM,43381,hospitalisation_secondary,1
TEST_HOSP,B_TTS_AESI,ICD9CM,45184,hospitalisation_secondary,1
TEST_HOSP,B_TTS_AESI,ICD9CM,453,exemption,4
TEST_HOSP,B_TTS_AESI,ICD9CM,45341,hospitalisation_secondary,4
TEST_HOSP,C_ARRH_AESI,ICD9CM,42613,hospitalisation_primary,2
TEST_HOSP,C_ARRH_AESI,ICD9CM,4279,hospitalisation_secondary,2
TEST_HOSP,C_ARRH_AESI,ICD9CM,4260,hospitalisation_primary,11
TEST_HOSP,C_ARRH_AESI,ICD9CM,427,exemption,39
TEST_HOSP,C_ARRH_AESI,ICD9CM,42731,hospitalisation_secondary,118
TEST_HOSP,C_ARRH_AESI,ICD9CM,4275,hospitalisation_secondary,5
TEST_HOSP,C_ARRH_AESI,ICD9CM,4275,hospitalisation_primary,1
TEST_HOSP,C_ARRH_AESI,ICD9CM,4260,hospitalisation_secondary,3
TEST_HOSP,C_ARRH_AESI,ICD9CM,42731,hospitalisation_primary,16
TEST_HOSP,C_ARRH_AESI,ICD9CM,42732,hospitalisation_primary,2
TEST_HOSP,C_ARRH_AESI,ICD9CM,426,exemption,7
TEST_HOSP,C_ARRH_AESI,ICD9CM,42613,hospitalisation_secondary,2
TEST_HOSP,C_ARRH_AESI,ICD9CM,42781,hospitalisation_primary,4
TEST_HOSP,C_ARRH_AESI,ICD9CM,4270,hospitalisation_primary,3
TEST_HOSP,C_ARRH_AESI,ICD9CM,42732,hospitalisation_secondary,4
TEST_HOSP,C_ARRH_AESI,ICD9CM,42654,hospitalisation_secondary,2
TEST_HOSP,C_ARRH_AESI,ICD9CM,4271,hospitalisation_primary,3
TEST_HOSP,C_ARRH_AESI,ICD9CM,4262,hospitalisation_secondary,1
TEST_HOSP,C_ARRH_AESI,ICD9CM,4263,hospitalisation_secondary,2
TEST_HOSP,C_ARRH_AESI,ICD9CM,42741,hospitalisation_primary,1
TEST_HOSP,C_ARRH_AESI,ICD9CM,42789,hospitalisation_primary,2
TEST_HOSP,C_ARRH_AESI,ICD9CM,4264,hospitalisation_secondary,1
TEST_HOSP,C_ARRH_AESI,ICD9CM,42789,hospitalisation_secondary,1
TEST_HOSP,C_ARRH_AESI,ICD9CM,4271,hospitalisation_secondary,1
TEST_HOSP,C_ARRH_AESI,ICD9CM,42769,hospitalisation_primary,1
TEST_HOSP,C_ARRH_AESI,ICD9CM,42741,hospitalisation_secondary,1
TEST_HOSP,C_ARRH_AESI,ICD9CM,42781,hospitalisation_secondary,1
TEST_HOSP,C_CAD_AESI,ICD9CM,41041,hospitalisation_primary,4
TEST_HOSP,C_CAD_AESI,ICD9CM,41011,hospitalisation_primary,2
TEST_HOSP,C_CAD_AESI,ICD9CM,41071,hospitalisation_primary,15
TEST_HOSP,C_CAD_AESI,ICD9CM,41000,hospitalisation_primary,1
TEST_HOSP,C_CAD_AESI,ICD9CM,41002,hospitalisation_secondary,1
TEST_HOSP,C_CAD_AESI,ICD9CM,41042,hospitalisation_primary,1
TEST_HOSP,C_CAD_AESI,ICD9CM,41090,hospitalisation_primary,1
TEST_HOSP,C_CAD_AESI,ICD9CM,41050,hospitalisation_primary,1
TEST_HOSP,C_CAD_AESI,ICD9CM,4139,hospitalisation_primary,8
TEST_HOSP,C_CAD_AESI,ICD9CM,41031,hospitalisation_primary,3
TEST_HOSP,C_CAD_AESI,ICD9CM,4139,hospitalisation_secondary,6
TEST_HOSP,C_CAD_AESI,ICD9CM,41001,hospitalisation_primary,3
TEST_HOSP,C_CAD_AESI,ICD9CM,41090,hospitalisation_secondary,2
TEST_HOSP,C_CAD_AESI,ICD9CM,4131,hospitalisation_primary,1
TEST_HOSP,C_CAD_AESI,ICD9CM,41010,hospitalisation_secondary,2
TEST_HOSP,C_CAD_AESI,ICD9CM,41022,hospitalisation_secondary,2
TEST_HOSP,C_CAD_AESI,ICD9CM,41021,hospitalisation_primary,2
TEST_HOSP,C_MYOCARD_AESI,ICD9CM,4294,hospitalisation_secondary,1
TEST_HOSP,C_MYOCARD_AESI,ICD9CM,4294,hospitalisation_primary,3
TEST_HOSP,C_MYOCARD_AESI,ICD9CM,4293,hospitalisation_secondary,1
TEST_HOSP,C_MYOCARD_AESI,ICD9CM,42979,hospitalisation_secondary,1
TEST_HOSP,C_MYOCARD_AESI,ICD9CM,4299,hospitalisation_secondary,3
TEST_HOSP,C_PERICARD_AESI,ICD9CM,42091,hospitalisation_secondary,1
TEST_HOSP,C_PERICARD_AESI,ICD9CM,4110,hospitalisation_secondary,2
TEST_HOSP,C_PERICARD_AESI,ICD9CM,42090,hospitalisation_secondary,1
TEST_HOSP,C_PERICARD_AESI,ICD9CM,42099,hospitalisation_primary,1
TEST_HOSP,C_PERICARD_AESI,ICD9CM,42099,hospitalisation_secondary,4
TEST_HOSP,D_LIVERACUTE_AESI,ICD9CM,5722,hospitalisation_primary,3
TEST_HOSP,D_PANCRACUTE_AESI,ICD9CM,5770,hospitalisation_primary,11
TEST_HOSP,D_PANCRACUTE_AESI,ICD9CM,5770,hospitalisation_secondary,1
TEST_HOSP,E_DM1_AESI,ICD9CM,25001,hospitalisation_primary,2
TEST_HOSP,E_DM1_AESI,ICD9CM,25071,hospitalisation_secondary,1
TEST_HOSP,E_DM1_AESI,ICD9CM,25001,hospitalisation_secondary,3
TEST_HOSP,E_DM1_AESI,ICD9CM,25011,hospitalisation_secondary,1
TEST_HOSP,E_DM1_AESI,ICD9CM,25013,hospitalisation_primary,1
TEST_HOSP,E_THYROIDAUTOIMM_AESI,ICD9CM,245.2,exemption,50
TEST_HOSP,E_THYROIDAUTOIMM_AESI,ICD9CM,2452,hospitalisation_secondary,4
TEST_HOSP,G_KIACUTE_AESI,ICD9CM,5849,hospitalisation_secondary,31
TEST_HOSP,G_KIACUTE_AESI,ICD9CM,5849,hospitalisation_primary,17
TEST_HOSP,G_KIACUTE_AESI,ICD9CM,586,hospitalisation_secondary,6
TEST_HOSP,G_KIACUTE_AESI,ICD9CM,5845,hospitalisation_primary,3
TEST_HOSP,G_KIACUTE_AESI,ICD9CM,5846,hospitalisation_primary,1
TEST_HOSP,G_KIACUTE_AESI,ICD9CM,586,hospitalisation_primary,1
TEST_HOSP,Im_ANAPHYLAXIS_AESI,ICD9CM,99568,hospitalisation_primary,1
TEST_HOSP,Im_KAWASAKI_AESI,ICD9CM,4461,hospitalisation_primary,2
TEST_HOSP,M_RHABDOMYOLISIS_AESI,ICD9CM,72888,hospitalisation_secondary,2
TEST_HOSP,M_RHABDOMYOLISIS_AESI,ICD9CM,72888,hospitalisation_primary,1
TEST_HOSP,N_BELLP_AESI,ICD9CM,3510,hospitalisation_secondary,1
TEST_HOSP,N_CONVULGEN_AESI,ICD9CM,34510,hospitalisation_secondary,3
TEST_HOSP,N_CONVULGEN_AESI,ICD9CM,78039,hospitalisation_secondary,3
TEST_HOSP,N_CONVULGEN_AESI,ICD9CM,34511,hospitalisation_secondary,2
TEST_HOSP,N_CONVULGEN_AESI,ICD9CM,3453,hospitalisation_secondary,1
TEST_HOSP,N_CONVULGEN_AESI,ICD9CM,34510,hospitalisation_primary,3
TEST_HOSP,N_CONVULGEN_AESI,ICD9CM,78031,hospitalisation_primary,1
TEST_HOSP,N_CVST_AESI,ICD9CM,325,hospitalisation_primary,1
TEST_HOSP,N_GBS_AESI,ICD9CM,3570,hospitalisation_primary,2
TEST_HOSP,N_HEARINGLOSS_AESI,ICD9CM,38911,hospitalisation_primary,1
TEST_HOSP,N_STROKEHEMO_AESI,ICD9CM,431,hospitalisation_primary,13
TEST_HOSP,N_STROKEHEMO_AESI,ICD9CM,431,hospitalisation_secondary,3
TEST_HOSP,R_ARDS_AESI,ICD9CM,51891,hospitalisation_primary,1
TEST_HOSP,R_ARDS_AESI,ICD9CM,51882,hospitalisation_secondary,5
TEST_HOSP,R_ARDS_AESI,ICD9CM,51891,hospitalisation_secondary,6
TEST_HOSP,R_ARDS_AESI,ICD9CM,51882,hospitalisation_primary,2
