"","**Characteristic**","**TEST_HOSP**"
"1","Study population","8321 (100%)"
"2","person_id",NA
"3","ECVM210900001","1 (<0.1%)"
"4","ECVM210900002","1 (<0.1%)"
"5","ECVM210900003","1 (<0.1%)"
"6","ECVM210900004","1 (<0.1%)"
"7","ECVM210900005","1 (<0.1%)"
"8","ECVM210900006","1 (<0.1%)"
"9","ECVM210900007","1 (<0.1%)"
"10","ECVM210900008","1 (<0.1%)"
"11","ECVM210900010","1 (<0.1%)"
"12","ECVM210900011","1 (<0.1%)"
"13","ECVM210900013","1 (<0.1%)"
"14","ECVM210900014","1 (<0.1%)"
"15","ECVM210900015","1 (<0.1%)"
"16","ECVM210900016","1 (<0.1%)"
"17","ECVM210900017","1 (<0.1%)"
"18","ECVM210900018","1 (<0.1%)"
"19","ECVM210900019","1 (<0.1%)"
"20","ECVM210900020","1 (<0.1%)"
"21","ECVM210900021","1 (<0.1%)"
"22","ECVM210900022","1 (<0.1%)"
"23","ECVM210900023","1 (<0.1%)"
"24","ECVM210900024","1 (<0.1%)"
"25","ECVM210900025","1 (<0.1%)"
"26","ECVM210900026","1 (<0.1%)"
"27","ECVM210900027","1 (<0.1%)"
"28","ECVM210900028","1 (<0.1%)"
"29","ECVM210900029","1 (<0.1%)"
"30","ECVM210900030","1 (<0.1%)"
"31","ECVM210900031","1 (<0.1%)"
"32","ECVM210900032","1 (<0.1%)"
"33","ECVM210900033","1 (<0.1%)"
"34","ECVM210900034","1 (<0.1%)"
"35","ECVM210900035","1 (<0.1%)"
"36","ECVM210900036","1 (<0.1%)"
"37","ECVM210900038","1 (<0.1%)"
"38","ECVM210900039","1 (<0.1%)"
"39","ECVM210900040","1 (<0.1%)"
"40","ECVM210900041","1 (<0.1%)"
"41","ECVM210900042","1 (<0.1%)"
"42","ECVM210900043","1 (<0.1%)"
"43","ECVM210900045","1 (<0.1%)"
"44","ECVM210900046","1 (<0.1%)"
"45","ECVM210900048","1 (<0.1%)"
"46","ECVM210900049","1 (<0.1%)"
"47","ECVM210900050","1 (<0.1%)"
"48","ECVM210900051","1 (<0.1%)"
"49","ECVM210900052","1 (<0.1%)"
"50","ECVM210900054","1 (<0.1%)"
"51","ECVM210900056","1 (<0.1%)"
"52","ECVM210900057","1 (<0.1%)"
"53","ECVM210900058","1 (<0.1%)"
"54","ECVM210900059","1 (<0.1%)"
"55","ECVM210900060","1 (<0.1%)"
"56","ECVM210900061","1 (<0.1%)"
"57","ECVM210900062","1 (<0.1%)"
"58","ECVM210900063","1 (<0.1%)"
