"","**Characteristic**","**TEST_HOSP**"
"1","Study population","8321 (100%)"
"2","pfizer dose 1","2817 (33.85%)"
"3","pfizer dose 2","1063 (37.74%)"
"4","other dose 2","2 (0.07%)"
"5","novavax dose 2","0 (0.00%)"
"6","moderna dose 2","0 (0.00%)"
"7","astrazeneca dose 2","2 (0.07%)"
"8","janssen dose 2","0 (0.00%)"
"9","unk dose 2","0 (0.00%)"
"10","Amongst persons with pfizer dose 2 distance",NA
"11","Minimum","19"
"12","25%","20"
"13","50%","22"
"14","75%","24"
"15","Maximum","110"
"16","Amongst persons with other dose 2 distance",NA
"17","Minimum","35"
"18","25%","41"
"19","50%","46"
"20","75%","52"
"21","Maximum","58"
"22","pfizer dose 3","5 (0.18%)"
"23","other dose 3","0 (0.00%)"
"24","novavax dose 3","0 (0.00%)"
"25","moderna dose 3","0 (0.00%)"
"26","astrazeneca dose 3","0 (0.00%)"
"27","janssen dose 3","0 (0.00%)"
"28","unk dose 3","0 (0.00%)"
"29","Amongst persons with pfizer dose 3 distance",NA
"30","Minimum","59"
"31","25%","65"
"32","50%","124"
"33","75%","151"
"34","Maximum","155"
"35","novavax dose 1","0 (0.00%)"
"36","moderna dose 1","432 (5.19%)"
"37","moderna dose 2","200 (46.30%)"
"38","other dose 2","0 (0.00%)"
"39","pfizer dose 2","0 (0.00%)"
"40","novavax dose 2","0 (0.00%)"
"41","astrazeneca dose 2","0 (0.00%)"
"42","janssen dose 2","0 (0.00%)"
"43","unk dose 2","0 (0.00%)"
"44","Amongst persons with moderna dose 2 distance",NA
"45","Minimum","23.0"
"46","25%","27.0"
"47","50%","28.0"
"48","75%","31.0"
"49","Maximum","46.0"
"50","moderna dose 3","0 (0.00%)"
"51","other dose 3","0 (0.00%)"
"52","pfizer dose 3","0 (0.00%)"
"53","novavax dose 3","0 (0.00%)"
"54","astrazeneca dose 3","0 (0.00%)"
"55","janssen dose 3","0 (0.00%)"
"56","unk dose 3","0 (0.00%)"
"57","astrazeneca dose 1","722 (8.68%)"
"58","astrazeneca dose 2","334 (46.26%)"
"59","other dose 2","12 (1.66%)"
"60","pfizer dose 2","12 (1.66%)"
"61","novavax dose 2","0 (0.00%)"
"62","moderna dose 2","0 (0.00%)"
"63","janssen dose 2","0 (0.00%)"
"64","unk dose 2","0 (0.00%)"
"65","Amongst persons with astrazeneca dose 2 distance",NA
"66","Minimum","64.00"
"67","25%","82.00"
"68","50%","84.00"
"69","75%","85.00"
"70","Maximum","89.00"
"71","Amongst persons with other dose 2 distance",NA
"72","Minimum","81.00"
"73","25%","82.00"
"74","50%","83.50"
"75","75%","84.25"
"76","Maximum","87.00"
"77","astrazeneca dose 3","0 (0.00%)"
"78","other dose 3","1 (0.14%)"
"79","pfizer dose 3","1 (0.14%)"
"80","novavax dose 3","0 (0.00%)"
"81","moderna dose 3","0 (0.00%)"
"82","janssen dose 3","0 (0.00%)"
"83","unk dose 3","0 (0.00%)"
"84","janssen dose 1","126 (1.51%)"
"85","janssen dose 2","0 (0.00%)"
"86","other dose 2","1 (0.79%)"
"87","pfizer dose 2","1 (0.79%)"
"88","novavax dose 2","0 (0.00%)"
"89","moderna dose 2","0 (0.00%)"
"90","astrazeneca dose 2","0 (0.00%)"
"91","unk dose 2","0 (0.00%)"
"92","janssen dose 3","0 (0.00%)"
"93","other dose 3","0 (0.00%)"
"94","pfizer dose 3","0 (0.00%)"
"95","novavax dose 3","0 (0.00%)"
"96","moderna dose 3","0 (0.00%)"
"97","astrazeneca dose 3","0 (0.00%)"
"98","unk dose 3","0 (0.00%)"
"99","unk dose 1","0 (0.00%)"
