"","**Group**","**B_COAGDIS_AESI**","**counts**","**persontime**","**IR**","**lb**","**ub**"
"1","2019/2020 before COVID-19 infection","Total (all ages/gender)","60","5606266","390.90","298.30","503.17"
"2",NA,"Gender specific",NA,NA,NA,NA,NA
"3",NA,"F","32","2883224","405.38","277.28","572.27"
"4",NA,"M","28","2723042","375.57","249.57","542.81"
"5",NA,"Age specific (years)",NA,NA,NA,NA,NA
"6",NA,"0-4","1","185055","197.37","5.00","1099.70"
"7",NA,"5-11","0","359019","0.00","0.00","375.29"
"8",NA,"12-17","0","307015","0.00","0.00","438.86"
"9",NA,"18-24","0","329043","0.00","0.00","409.48"
"10",NA,"25-29","0","274254","0.00","0.00","491.28"
"11",NA,"30-39","0","573161","0.00","0.00","235.08"
"12",NA,"40-49","4","862466","169.40","46.16","433.73"
"13",NA,"50-59","3","911719","120.19","24.79","351.23"
"14",NA,"60-69","10","702191","520.16","249.44","956.59"
"15",NA,"70-79","24","580373","1510.41","967.75","2247.37"
"16",NA,"80+","18","521970","1259.56","746.49","1990.64"
"17","2019/2020 after COVID-19 infection before vaccination","Total (all ages/gender)","0.00","6081","0.00","0.00","22156.94"
"18",NA,"Gender specific",NA,NA,NA,NA,NA
"19",NA,"F","0","3996","0.00","0.00","33717.80"
"20",NA,"M","0","2085","0.00","0.00","64621.74"
"21",NA,"Age specific (years)",NA,NA,NA,NA,NA
"22",NA,"0-4","0","20","0.00","0.00","6736816.10"
"23",NA,"5-11","0","198","0.00","0.00","680486.48"
"24",NA,"12-17","0","470","0.00","0.00","286673.03"
"25",NA,"18-24","0","476","0.00","0.00","283059.50"
"26",NA,"25-29","0","658","0.00","0.00","204766.45"
"27",NA,"30-39","0","778","0.00","0.00","173182.93"
"28",NA,"40-49","0","1131","0.00","0.00","119130.26"
"29",NA,"50-59","0","971","0.00","0.00","138760.37"
"30",NA,"60-69","0","605","0.00","0.00","222704.66"
"31",NA,"70-79","0","172","0.00","0.00","783350.71"
"32",NA,"80+","0","602","0.00","0.00","223814.49"
