"","**Group**","**E_THYROIDAUTOIMM_AESI**","**counts**","**persontime**","**IR**","**lb**","**ub**"
"1","2019/2020 before COVID-19 infection","Total (all ages/gender)","16","5608783","104.19","59.56","169.20"
"2",NA,"Gender specific",NA,NA,NA,NA,NA
"3",NA,"F","14","2880078","177.55","97.07","297.89"
"4",NA,"M","2","2728705","26.77","3.24","96.71"
"5",NA,"Age specific (years)",NA,NA,NA,NA,NA
"6",NA,"0-4","0","185601","0.00","0.00","725.95"
"7",NA,"5-11","0","359019","0.00","0.00","375.29"
"8",NA,"12-17","1","305731","119.47","3.02","665.63"
"9",NA,"18-24","1","328863","111.06","2.81","618.81"
"10",NA,"25-29","1","272623","133.98","3.39","746.47"
"11",NA,"30-39","3","569719","192.33","39.66","562.07"
"12",NA,"40-49","4","860144","169.86","46.28","434.90"
"13",NA,"50-59","5","908365","201.05","65.28","469.18"
"14",NA,"60-69","0","704272","0.00","0.00","191.31"
"15",NA,"70-79","1","585145","62.42","1.58","347.78"
"16",NA,"80+","0","529301","0.00","0.00","254.56"
"17","2019/2020 after COVID-19 infection before vaccination","Total (all ages/gender)","0.00","6033","0.00","0.00","22333.22"
"18",NA,"Gender specific",NA,NA,NA,NA,NA
"19",NA,"F","0","3855","0.00","0.00","34951.06"
"20",NA,"M","0","2178","0.00","0.00","61862.41"
"21",NA,"Age specific (years)",NA,NA,NA,NA,NA
"22",NA,"0-4","0","20","0.00","0.00","6736816.10"
"23",NA,"5-11","0","198","0.00","0.00","680486.48"
"24",NA,"12-17","0","470","0.00","0.00","286673.03"
"25",NA,"18-24","0","476","0.00","0.00","283059.50"
"26",NA,"25-29","0","658","0.00","0.00","204766.45"
"27",NA,"30-39","0","778","0.00","0.00","173182.93"
"28",NA,"40-49","0","1131","0.00","0.00","119130.26"
"29",NA,"50-59","0","813","0.00","0.00","165727.33"
"30",NA,"60-69","0","622","0.00","0.00","216617.88"
"31",NA,"70-79","0","186","0.00","0.00","724388.83"
"32",NA,"80+","0","681","0.00","0.00","197850.69"
