"","**Group**","**N_CONVULGEN_AESI**","**counts**","**persontime**","**IR**","**lb**","**ub**"
"1","2019/2020 before COVID-19 infection","Total (all ages/gender)","11","5621088","71.48","35.68","127.89"
"2",NA,"Gender specific",NA,NA,NA,NA,NA
"3",NA,"F","7","2891320","88.43","35.55","182.20"
"4",NA,"M","4","2729768","53.52","14.58","137.04"
"5",NA,"Age specific (years)",NA,NA,NA,NA,NA
"6",NA,"0-4","3","184287","594.59","122.62","1737.64"
"7",NA,"5-11","1","358746","101.81","2.58","567.27"
"8",NA,"12-17","0","307015","0.00","0.00","438.86"
"9",NA,"18-24","0","329043","0.00","0.00","409.48"
"10",NA,"25-29","0","274254","0.00","0.00","491.28"
"11",NA,"30-39","0","573161","0.00","0.00","235.08"
"12",NA,"40-49","1","863205","42.31","1.07","235.75"
"13",NA,"50-59","0","913216","0.00","0.00","147.54"
"14",NA,"60-69","1","704779","51.82","1.31","288.75"
"15",NA,"70-79","1","585514","62.38","1.58","347.57"
"16",NA,"80+","4","527868","276.77","75.41","708.65"
"17","2019/2020 after COVID-19 infection before vaccination","Total (all ages/gender)","0.00","6147","0.00","0.00","21919.04"
"18",NA,"Gender specific",NA,NA,NA,NA,NA
"19",NA,"F","0","3969","0.00","0.00","33947.17"
"20",NA,"M","0","2178","0.00","0.00","61862.41"
"21",NA,"Age specific (years)",NA,NA,NA,NA,NA
"22",NA,"0-4","0","20","0.00","0.00","6736816.10"
"23",NA,"5-11","0","198","0.00","0.00","680486.48"
"24",NA,"12-17","0","470","0.00","0.00","286673.03"
"25",NA,"18-24","0","476","0.00","0.00","283059.50"
"26",NA,"25-29","0","658","0.00","0.00","204766.45"
"27",NA,"30-39","0","778","0.00","0.00","173182.93"
"28",NA,"40-49","0","1131","0.00","0.00","119130.26"
"29",NA,"50-59","0","971","0.00","0.00","138760.37"
"30",NA,"60-69","0","622","0.00","0.00","216617.88"
"31",NA,"70-79","0","186","0.00","0.00","724388.83"
"32",NA,"80+","0","637","0.00","0.00","211516.99"
