"","**Group**","**N_STROKEHEMO_AESI**","**counts**","**persontime**","**IR**","**lb**","**ub**"
"1","2019/2020 before COVID-19 infection","Total (all ages/gender)","9.0","5622537","58.47","26.73","110.99"
"2",NA,"Gender specific",NA,NA,NA,NA,NA
"3",NA,"F","6","2892241","75.77","27.81","164.92"
"4",NA,"M","3","2730296","40.13","8.28","117.29"
"5",NA,"Age specific (years)",NA,NA,NA,NA,NA
"6",NA,"0-4","0","185601","0.00","0.00","725.95"
"7",NA,"5-11","0","359019","0.00","0.00","375.29"
"8",NA,"12-17","0","307015","0.00","0.00","438.86"
"9",NA,"18-24","0","329043","0.00","0.00","409.48"
"10",NA,"25-29","0","274254","0.00","0.00","491.28"
"11",NA,"30-39","0","573161","0.00","0.00","235.08"
"12",NA,"40-49","1","863283","42.31","1.07","235.73"
"13",NA,"50-59","1","912754","40.02","1.01","222.96"
"14",NA,"60-69","2","704528","103.69","12.56","374.55"
"15",NA,"70-79","5","584495","312.45","101.45","729.15"
"16",NA,"80+","0","529384","0.00","0.00","254.52"
"17","2019/2020 after COVID-19 infection before vaccination","Total (all ages/gender)","0.00","6160","0.00","0.00","21872.78"
"18",NA,"Gender specific",NA,NA,NA,NA,NA
"19",NA,"F","0","3996","0.00","0.00","33717.80"
"20",NA,"M","0","2164","0.00","0.00","62262.63"
"21",NA,"Age specific (years)",NA,NA,NA,NA,NA
"22",NA,"0-4","0","20","0.00","0.00","6736816.10"
"23",NA,"5-11","0","198","0.00","0.00","680486.48"
"24",NA,"12-17","0","470","0.00","0.00","286673.03"
"25",NA,"18-24","0","476","0.00","0.00","283059.50"
"26",NA,"25-29","0","658","0.00","0.00","204766.45"
"27",NA,"30-39","0","778","0.00","0.00","173182.93"
"28",NA,"40-49","0","1131","0.00","0.00","119130.26"
"29",NA,"50-59","0","971","0.00","0.00","138760.37"
"30",NA,"60-69","0","605","0.00","0.00","222704.66"
"31",NA,"70-79","0","172","0.00","0.00","783350.71"
"32",NA,"80+","0","681","0.00","0.00","197850.69"
