"","**Group**","**C_VALVULAR_COV**","**counts**","**persontime**","**IR**","**lb**","**ub**"
"1","2019/2020 before COVID-19 infection","Total (all ages/gender)","26","5614517","169.14","110.49","247.83"
"2",NA,"Gender specific",NA,NA,NA,NA,NA
"3",NA,"F","12","2888051","151.76","78.42","265.10"
"4",NA,"M","14","2726466","187.55","102.54","314.68"
"5",NA,"Age specific (years)",NA,NA,NA,NA,NA
"6",NA,"0-4","0","185601","0.00","0.00","725.95"
"7",NA,"5-11","0","359019","0.00","0.00","375.29"
"8",NA,"12-17","0","307015","0.00","0.00","438.86"
"9",NA,"18-24","0","329043","0.00","0.00","409.48"
"10",NA,"25-29","0","274254","0.00","0.00","491.28"
"11",NA,"30-39","0","573161","0.00","0.00","235.08"
"12",NA,"40-49","0","863774","0.00","0.00","155.99"
"13",NA,"50-59","1","911421","40.07","1.01","223.28"
"14",NA,"60-69","4","702430","207.99","56.67","532.54"
"15",NA,"70-79","7","582870","438.65","176.36","903.78"
"16",NA,"80+","14","525929","972.28","531.55","1631.32"
"17","2019/2020 after COVID-19 infection before vaccination","Total (all ages/gender)","0.00","6156","0.00","0.00","21886.99"
"18",NA,"Gender specific",NA,NA,NA,NA,NA
"19",NA,"F","0","4013","0.00","0.00","33574.96"
"20",NA,"M","0","2143","0.00","0.00","62872.76"
"21",NA,"Age specific (years)",NA,NA,NA,NA,NA
"22",NA,"0-4","0","20","0.00","0.00","6736816.10"
"23",NA,"5-11","0","198","0.00","0.00","680486.48"
"24",NA,"12-17","0","470","0.00","0.00","286673.03"
"25",NA,"18-24","0","476","0.00","0.00","283059.50"
"26",NA,"25-29","0","658","0.00","0.00","204766.45"
"27",NA,"30-39","0","778","0.00","0.00","173182.93"
"28",NA,"40-49","0","1131","0.00","0.00","119130.26"
"29",NA,"50-59","0","971","0.00","0.00","138760.37"
"30",NA,"60-69","0","587","0.00","0.00","229533.77"
"31",NA,"70-79","0","186","0.00","0.00","724388.83"
"32",NA,"80+","0","681","0.00","0.00","197850.69"
