"","**Group**","**D_GALLSTONES_COV**","**counts**","**persontime**","**IR**","**lb**","**ub**"
"1","2019/2020 before COVID-19 infection","Total (all ages/gender)","38","5609931","247.41","175.08","339.59"
"2",NA,"Gender specific",NA,NA,NA,NA,NA
"3",NA,"F","23","2883379","291.35","184.69","437.17"
"4",NA,"M","15","2726552","200.94","112.46","331.42"
"5",NA,"Age specific (years)",NA,NA,NA,NA,NA
"6",NA,"0-4","0","185601","0.00","0.00","725.95"
"7",NA,"5-11","0","359019","0.00","0.00","375.29"
"8",NA,"12-17","0","307015","0.00","0.00","438.86"
"9",NA,"18-24","0","329043","0.00","0.00","409.48"
"10",NA,"25-29","1","273905","133.35","3.38","742.97"
"11",NA,"30-39","1","572767","63.77","1.61","355.30"
"12",NA,"40-49","12","859010","510.24","263.65","891.28"
"13",NA,"50-59","3","911826","120.17","24.78","351.19"
"14",NA,"60-69","3","703456","155.77","32.12","455.22"
"15",NA,"70-79","10","581790","627.80","301.06","1154.55"
"16",NA,"80+","8","526499","554.99","239.60","1093.55"
"17","2019/2020 after COVID-19 infection before vaccination","Total (all ages/gender)","0.00","6191","0.00","0.00","21763.26"
"18",NA,"Gender specific",NA,NA,NA,NA,NA
"19",NA,"F","0","4013","0.00","0.00","33574.96"
"20",NA,"M","0","2178","0.00","0.00","61862.41"
"21",NA,"Age specific (years)",NA,NA,NA,NA,NA
"22",NA,"0-4","0","20","0.00","0.00","6736816.10"
"23",NA,"5-11","0","198","0.00","0.00","680486.48"
"24",NA,"12-17","0","470","0.00","0.00","286673.03"
"25",NA,"18-24","0","476","0.00","0.00","283059.50"
"26",NA,"25-29","0","658","0.00","0.00","204766.45"
"27",NA,"30-39","0","778","0.00","0.00","173182.93"
"28",NA,"40-49","0","1131","0.00","0.00","119130.26"
"29",NA,"50-59","0","971","0.00","0.00","138760.37"
"30",NA,"60-69","0","622","0.00","0.00","216617.88"
"31",NA,"70-79","0","186","0.00","0.00","724388.83"
"32",NA,"80+","0","681","0.00","0.00","197850.69"
