"","**Group**","**G_UTI_COV**","**counts**","**persontime**","**IR**","**lb**","**ub**"
"1","2019/2020 before COVID-19 infection","Total (all ages/gender)","34","5613621","221.22","153.20","309.13"
"2",NA,"Gender specific",NA,NA,NA,NA,NA
"3",NA,"F","17","2886544","215.11","125.31","344.41"
"4",NA,"M","17","2727077","227.69","132.64","364.55"
"5",NA,"Age specific (years)",NA,NA,NA,NA,NA
"6",NA,"0-4","2","184288","396.39","48.00","1431.90"
"7",NA,"5-11","0","359019","0.00","0.00","375.29"
"8",NA,"12-17","0","307015","0.00","0.00","438.86"
"9",NA,"18-24","0","329043","0.00","0.00","409.48"
"10",NA,"25-29","2","273742","266.86","32.32","963.98"
"11",NA,"30-39","1","572182","63.83","1.62","355.66"
"12",NA,"40-49","2","862600","84.69","10.26","305.91"
"13",NA,"50-59","2","912484","80.06","9.70","289.19"
"14",NA,"60-69","1","704732","51.83","1.31","288.77"
"15",NA,"70-79","5","584454","312.47","101.46","729.20"
"16",NA,"80+","19","524062","1324.22","797.27","2067.94"
"17","2019/2020 after COVID-19 infection before vaccination","Total (all ages/gender)","0.00","6174","0.00","0.00","21823.18"
"18",NA,"Gender specific",NA,NA,NA,NA,NA
"19",NA,"F","0","3996","0.00","0.00","33717.80"
"20",NA,"M","0","2178","0.00","0.00","61862.41"
"21",NA,"Age specific (years)",NA,NA,NA,NA,NA
"22",NA,"0-4","0","20","0.00","0.00","6736816.10"
"23",NA,"5-11","0","198","0.00","0.00","680486.48"
"24",NA,"12-17","0","470","0.00","0.00","286673.03"
"25",NA,"18-24","0","476","0.00","0.00","283059.50"
"26",NA,"25-29","0","658","0.00","0.00","204766.45"
"27",NA,"30-39","0","778","0.00","0.00","173182.93"
"28",NA,"40-49","0","1131","0.00","0.00","119130.26"
"29",NA,"50-59","0","971","0.00","0.00","138760.37"
"30",NA,"60-69","0","622","0.00","0.00","216617.88"
"31",NA,"70-79","0","169","0.00","0.00","797256.34"
"32",NA,"80+","0","681","0.00","0.00","197850.69"
