"","**Group**","**B_TTS_AESI**","**counts**","**persontime**","**IR**","**lb**","**ub**"
"1","2019/2020 before COVID-19 infection","Total (all ages/gender)","52","5608343","338.66","252.92","444.10"
"2",NA,"Gender specific",NA,NA,NA,NA,NA
"3",NA,"F","26","2884801","329.19","215.04","482.34"
"4",NA,"M","26","2723542","348.68","227.77","510.90"
"5",NA,"Age specific (years)",NA,NA,NA,NA,NA
"6",NA,"0-4","1","185055","197.37","5.00","1099.70"
"7",NA,"5-11","0","359019","0.00","0.00","375.29"
"8",NA,"12-17","0","307015","0.00","0.00","438.86"
"9",NA,"18-24","0","329043","0.00","0.00","409.48"
"10",NA,"25-29","0","274254","0.00","0.00","491.28"
"11",NA,"30-39","0","573161","0.00","0.00","235.08"
"12",NA,"40-49","3","862957","126.98","26.19","371.08"
"13",NA,"50-59","3","911719","120.19","24.79","351.23"
"14",NA,"60-69","7","703117","363.63","146.20","749.22"
"15",NA,"70-79","20","580869","1257.60","768.17","1942.26"
"16",NA,"80+","18","522134","1259.16","746.26","1990.01"
"17","2019/2020 after COVID-19 infection before vaccination","Total (all ages/gender)","0.00","6112","0.00","0.00","22044.56"
"18",NA,"Gender specific",NA,NA,NA,NA,NA
"19",NA,"F","0","4013","0.00","0.00","33574.96"
"20",NA,"M","0","2099","0.00","0.00","64190.72"
"21",NA,"Age specific (years)",NA,NA,NA,NA,NA
"22",NA,"0-4","0","20","0.00","0.00","6736816.10"
"23",NA,"5-11","0","198","0.00","0.00","680486.48"
"24",NA,"12-17","0","470","0.00","0.00","286673.03"
"25",NA,"18-24","0","476","0.00","0.00","283059.50"
"26",NA,"25-29","0","658","0.00","0.00","204766.45"
"27",NA,"30-39","0","778","0.00","0.00","173182.93"
"28",NA,"40-49","0","1131","0.00","0.00","119130.26"
"29",NA,"50-59","0","971","0.00","0.00","138760.37"
"30",NA,"60-69","0","622","0.00","0.00","216617.88"
"31",NA,"70-79","0","186","0.00","0.00","724388.83"
"32",NA,"80+","0","602","0.00","0.00","223814.49"
